series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
Other,2026,18,2026-05-31,Provincial,sichuan,sccpc18th,provincial-contest/2026/sichuan,,
Other,2026,19,2026-05-31,Provincial,neimenggu,nmcpc19th,,,
Other,2026,9,2026-05-31,Provincial,guangxi,gxcpc9th,,,
Other,2026,18,2026-05-31,School,sdutpc18,sdutpc18,,,
Other,2026,18,2026-05-30,Warmup,sichuan,,provincial-contest/2026/sichuan-warmup,,
CCPC,2026,12,2026-05-30,Invitational,fuzhou,ccpc2026invitational-fuzhou,,,
Other,2026,13,2026-05-30,Provincial,fujian,fjcpc13th,,,
CCPC,2026,12,2026-05-24,Invitational,nanchang,ccpc2026invitational-nanchang,ccpc/12th/nanchang-invitational,,
Other,2026,20,2026-05-24,Provincial,northeast,northeastcpc20th,provincial-contest/2026/northeastern,,
Other,2026,16,2026-05-24,Provincial,shandong,sdcpc16th,provincial-contest/2026/shandong,,
Other,2026,17,2026-05-24,Provincial,henan,haicpc17th,provincial-contest/2026/henan-icpc,,
CCPC,2026,12,2026-05-24,Invitational,qinhuangdao,ccpc2026invitational-qinhuangdao,,,
Other,2026,10,2026-05-24,Provincial,hebei,hecpc10th,,,
Other,2026,19,2026-05-24,Provincial,jilin,jlcpc19th,,,
CCPC,2026,12,2026-05-23,Warmup,nanchang,,ccpc/12th/nanchang-invitational-warmup,,
Other,2026,,2026-05-23,Provincial,jilin,,provincial-contest/2026/jilin,,
Other,2026,,2026-05-23,Warmup,henanicpc,,provincial-contest/2026/henan-icpc-warmup,,
Other,2026,,2026-05-23,Warmup,shandong,,provincial-contest/2026/shandong-warmup,,
Other,2026,20,2026-05-23,Warmup,northeast,,provincial-contest/2026/northeastern-warmup,,
Other,2026,,2026-05-22,Warmup,jilin,,provincial-contest/2026/jilin-warmup,,
ICPC,2026,51,2026-05-17,Invitational,jiangxi,,icpc/51st/jiangxi-invitational,,
ICPC,2026,51,2026-05-17,Invitational,wuhan,icpc2026invitational-wuhan,icpc/51st/wuhan-invitational,,
Other,2026,11,2026-05-17,Provincial,jiangsu,jscpc11th,provincial-contest/2026/jiangsu,,
ICPC,2026,51,2026-05-17,Invitational,nanchang,icpc2026invitational-nanchang,,,
Other,2026,,2026-05-17,Provincial,jiangxi,jxcpc2026,,,
Other,2026,7,2026-05-17,Provincial,hbcpc,hbcpc7th,,,
Other,2026,23,2026-05-17,Provincial,guangdong,gdcpc23rd,,,
ICPC,2026,51,2026-05-16,Warmup,jiangxi,,icpc/51st/jiangxi-invitational-warmup,,
ICPC,2026,51,2026-05-16,Warmup,wuhan,,icpc/51st/wuhan-invitational-warmup,,
Other,2026,,2026-05-16,Warmup,jiangsu,,provincial-contest/2026/jiangsu-warmup,,
Other,2026,14,2026-05-16,Provincial,shaanxi,sncpc14th,provincial-contest/2026/shaanxi,,
Other,2026,8,2026-05-10,Provincial,henan,haccpc8th,provincial-contest/2026/henan,,
Other,2026,,2026-05-10,Provincial,beijing,bjcpc2026,,,
Other,2026,21,2026-05-10,Provincial,heilongjiang,hlcpc21st,,,
Other,2026,3,2026-05-10,Final,ucupfinals,ucup3rdfinals,,,
ICPC,2026,51,2026-05-02,Warmup,xian,,icpc/51st/xian-invitational-warmup,,
ICPC,2026,51,2026-05-02,Invitational,xian,icpc2026invitational-xi_an,icpc/51st/xian-invitational,,
CCPC,2025,11,2026-04-26,Final,final,ccpc2025final,,2046522266744168448,11_CCPC_总决赛
Other,2026,,2026-04-25,Warmup,zhejiang,,provincial-contest/2026/zhejiang-warmup,,
Other,2026,23,2026-04-25,Provincial,zhejiang,zjcpc23rd,provincial-contest/2026/zhejiang,,
ICPC,2026,51,2026-04-11,Warmup,shenzhen,,icpc/51st/shenzhen-invitational-warmup,,
ICPC,2026,51,2026-04-11,Invitational,shenzhen,icpc2026invitational-shenzhen,icpc/51st/shenzhen-invitational,,
ICPC,2025,50,2026-02-02,Final,ecfinal,icpc2025ecfinal,icpc/50th/ecfinal,,50_ICPC_ECFinal
ICPC,2025,50,2026-02-01,Warmup,ecfinal,,icpc/50th/ecfinal-warmup,,
ICPC,2025,50,2025-11-30,Regional,hongkong,icpc2025hongkong,icpc/50th/hongkong,,50_ICPC_香港
CCPC,2025,11,2025-11-30,Regional,chongqing,ccpc2025chongqing,ccpc/11th/chongqing,,11_CCPC_重庆
Other,2025,19,2025-11-30,Provincial,shaoxing,,,1992863483790479360,
ICPC,2025,50,2025-11-29,Warmup,hongkong,,icpc/50th/hongkong-warmup,,
CCPC,2025,11,2025-11-29,Warmup,chongqing,,ccpc/11th/chongqing-warmup,,
ICPC,2025,50,2025-11-23,Regional,shanghai,icpc2025shanghai,icpc/50th/shanghai,,50_ICPC_上海
CCPC,2025,11,2025-11-23,Regional,zhengzhou,ccpc2025zhengzhou,ccpc/11th/zhengzhou,,11_CCPC_郑州
ICPC,2025,50,2025-11-22,Warmup,shanghai,,icpc/50th/shanghai-warmup,,
CCPC,2025,11,2025-11-22,Warmup,zhengzhou,,ccpc/11th/zhengzhou-invitational-warmup,,
ICPC,2025,50,2025-11-16,Regional,shenyang,icpc2025shenyang,icpc/50th/shenyang,,50_ICPC_沈阳
CCPC,2025,11,2025-11-16,Regional,jinan,ccpc2025jinan,ccpc/11th/jinan,,11_CCPC_济南
ICPC,2025,50,2025-11-15,Warmup,shenyang,,icpc/50th/shenyang-warmup,,
CCPC,2025,11,2025-11-15,Warmup,jinan,,ccpc/11th/jinan-warmup,,
Other,2025,6,2025-11-15,Provincial,liaoning,,provincial-contest/2025/liaoning,,
Other,2025,6,2025-11-14,Warmup,liaoning,,provincial-contest/2025/liaoning-warmup,,
ICPC,2025,50,2025-11-09,Regional,nanjing,icpc2025nanjing,icpc/50th/nanjing,,50_ICPC_南京
CCPC,2025,11,2025-11-09,Regional,harbin,ccpc2025harbin,ccpc/11th/harbin,,11_CCPC_哈尔滨
ICPC,2025,50,2025-11-08,Warmup,nanjing,,icpc/50th/nanjing-warmup,,
CCPC,2025,11,2025-11-08,Warmup,harbin,,ccpc/11th/harbin-warmup,,
