series,year,ordinal,date,category,name,rankland_id,xcpcio_id,pta_id,archive_id
CCPC,2025,11,2026-04-26,Final,final,ccpc2025final,,2046522266744168448,11_CCPC_总决赛
ICPC,2025,50,2026-02-02,Final,ecfinal,icpc2025ecfinal,icpc/50th/ecfinal,,50_ICPC_ECFinal
ICPC,2025,50,2025-11-30,Regional,hongkong,icpc2025hongkong,icpc/50th/hongkong,,50_ICPC_香港
CCPC,2025,11,2025-11-30,Regional,chongqing,ccpc2025chongqing,ccpc/11th/chongqing,,11_CCPC_重庆
ICPC,2025,50,2025-11-23,Regional,shanghai,icpc2025shanghai,icpc/50th/shanghai,,50_ICPC_上海
CCPC,2025,11,2025-11-23,Regional,zhengzhou,ccpc2025zhengzhou,ccpc/11th/zhengzhou,,11_CCPC_郑州
ICPC,2025,50,2025-11-16,Regional,shenyang,icpc2025shenyang,icpc/50th/shenyang,,50_ICPC_沈阳
CCPC,2025,11,2025-11-16,Regional,jinan,ccpc2025jinan,ccpc/11th/jinan,,11_CCPC_济南
ICPC,2025,50,2025-11-09,Regional,nanjing,icpc2025nanjing,icpc/50th/nanjing,,50_ICPC_南京
CCPC,2025,11,2025-11-09,Regional,harbin,ccpc2025harbin,ccpc/11th/harbin,,11_CCPC_哈尔滨
ICPC,2025,50,2025-11-02,Regional,wuhan,icpc2025wuhan,icpc/50th/wuhan,,50_ICPC_武汉
ICPC,2025,50,2025-10-26,Regional,chengdu,icpc2025chengdu,icpc/50th/chengdu,,50_ICPC_成都
ICPC,2025,50,2025-10-19,Regional,xian,icpc2025xi_an,icpc/50th/xian,,50_ICPC_西安
CCPC,2025,11,2025-09-20,Online,online,,,1967841176776331264,11_CCPC_online
ICPC,2025,50,2025-09-14,Online,online2,,,1964904761885741056,50_ICPC_online2
ICPC,2025,50,2025-09-07,Online,online1,,,1962439589388427264,50_ICPC_online1
CCPC,2024,10,2025-05-11,Final,final,ccpc2024final,,1919646713470414848,
ICPC,2024,49,2024-12-28,Final,ecfinal,icpc2024ecfinal,icpc/49th/ecfinal,,49_ICPC_ECFinal
ICPC,2024,49,2024-12-22,Regional,hongkong,icpc2024hongkong,icpc/49th/hongkong,,49_ICPC_香港
ICPC,2024,49,2024-12-01,Regional,kunming,icpc2024kunming,icpc/49th/kunming,,49_ICPC_昆明
ICPC,2024,49,2024-11-24,Regional,shenyang,icpc2024shenyang,icpc/49th/shenyang,,49_ICPC_沈阳
ICPC,2024,49,2024-11-17,Regional,shanghai,icpc2024shanghai,icpc/49th/shanghai,,49_ICPC_上海
CCPC,2024,10,2024-11-17,Regional,zhengzhou,ccpc2024zhengzhou,ccpc/10th/zhengzhou,,10_CCPC_郑州
ICPC,2024,49,2024-11-10,Regional,hangzhou,icpc2024hangzhou,icpc/49th/hangzhou,,49_ICPC_杭州
CCPC,2024,10,2024-11-10,Regional,chongqing,ccpc2024chongqing,ccpc/10th/chongqing,,10_CCPC_重庆
ICPC,2024,49,2024-11-03,Regional,nanjing,icpc2024nanjing,icpc/49th/nanjing,,49_ICPC_南京
ICPC,2024,49,2024-10-27,Regional,chengdu,icpc2024chengdu,icpc/49th/chengdu,,49_ICPC_成都
CCPC,2024,10,2024-10-27,Regional,jinan,ccpc2024jinan,ccpc/10th/jinan,,10_CCPC_济南
CCPC,2024,10,2024-10-20,Regional,harbin,ccpc2024harbin,ccpc/10th/harbin,,10_CCPC_哈尔滨
ICPC,2024,49,2024-09-21,Online,online2,,icpc/49th/online-qualification-2,1835981416207253504,49_ICPC_online2
ICPC,2024,49,2024-09-15,Online,online1,,icpc/49th/online-qualification-1,1831362571373408256,49_ICPC_online1
CCPC,2024,10,2024-09-08,Online,online,,ccpc/10th/online-qualification,1830898870598004736,10_CCPC_online
CCPC,2023,9,2024-03-31,Final,final,ccpc2023final,ccpc/9th/final,,9_CCPC_总决赛
ICPC,2023,48,2024-01-13,Final,ecfinal,icpc2023ecfinal,icpc/48th/ecfinal,,48_ICPC_ECFinal
ICPC,2023,48,2023-12-10,Regional,hangzhou,icpc2023hangzhou,icpc/48th/hangzhou,,48_ICPC_杭州
ICPC,2023,48,2023-12-03,Regional,jinan,icpc2023jinan,icpc/48th/jinan,,48_ICPC_济南
ICPC,2023,48,2023-11-26,Regional,hefei,icpc2023hefei,icpc/48th/hefei,,48_ICPC_合肥
ICPC,2023,48,2023-11-19,Regional,macau,icpc2023macau,icpc/48th/macau,,48_ICPC_澳门
ICPC,2023,48,2023-11-12,Regional,shenyang,icpc2023shenyang,icpc/48th/shenyang,,48_ICPC_沈阳
