Contest,Rank,School,Team Name,Field,Rankland,XCPCIO,PTA,Archive,PDF,Resolution
ICPC_2025_Regional_hongkong,106,五邑大学,The Doctor's team and there ape-man captain,school,Wuyi University,Wuyi University,,,,五邑大学
ICPC_2025_Regional_hongkong,125,台州大学,Long may the sun shine,school,台州大学,台州大学,,台州学院,,台州大学
ICPC_2025_Regional_wuhan,U19,香港科技大学（广州）,请输入文本,member1,梁君豪,梁君豪,,苏泓燃,,梁君豪
ICPC_2025_Regional_wuhan,U19,香港科技大学（广州）,请输入文本,member2,刘秋悦,刘秋悦,,陆梓炀,,刘秋悦
ICPC_2025_Regional_wuhan,U19,香港科技大学（广州）,请输入文本,member3,张思达,张思达,,刘佳未,,张思达
ICPC_2025_Regional_wuhan,U19,香港科技大学（广州）,请输入文本,coach,,熊辉,,罗国杰,,熊辉
ICPC_2025_Regional_xian,89,重庆大学,三模哈希米,member2,杨展途,周骁坤,,周骁坤,,杨展途
ICPC_2025_Regional_xian,89,重庆大学,三模哈希米,member3,葛轩铭,杨展途,,杨展途,,葛轩铭
ICPC_2025_Regional_xian,120,哈尔滨工业大学,长崎不爽世,medal,,Bronze,,Silver,,Silver
ICPC_2025_Regional_xian,121,北京交通大学,交一发先,medal,,Silver,,Bronze,,Bronze
CCPC_2025_Online_online,763,中国矿业大学,矿兵出击,member2,,,赵 际云,赵 际云,,赵际云
ICPC_2025_Regional_hongkong,64,香港科技大学,HKUST5,member2,AWADALLA,"AWADALLA, bdelrahman HossamEldin A. A.",,AWADALLA,,"AWADALLA, bdelrahman HossamEldin A. A."
ICPC_2025_Regional_hongkong,64,香港科技大学,HKUST5,member3,bdelrahman HossamEldin A. A.,Vu Duy Tung,,bdelrahman HossamEldin A. A.,,Vu Duy Tung
ICPC_2025_Regional_xian,185,浙江财经大学,不吃香菜,team_name,不吃香菜(acm版),不吃香菜,,不吃香菜,,不吃香菜
ICPC_2025_Regional_xian,185,浙江财经大学,不吃香菜(acm版),team_name,不吃香菜(acm版),不吃香菜,,不吃香菜,,不吃香菜
ICPC_2024_Regional_hongkong,7,南京航空航天大学,BUG,member2,Junqi Lyu,Junqi Lyu,,吕俊琪,,
ICPC_2024_Regional_hongkong,28,香港中文大学,HKTV,school,The Chinese University of Hong Kong,The Chinese University of Hong Kong,,香港中文大學,,
ICPC_2024_Regional_hongkong,42,Guangdong Technion Israel Institute of Technology,one paper of pure white kites,school,Guangdong Technion Israel Institute of Technology,Guangdong Technion Israel Institute of Technology,,广东以色列理工学院,,
ICPC_2024_Regional_hongkong,47,Guangxi University of Foreign Languages,We are really vegetables,school,Guangxi University of Foreign Languages,Guangxi University of Foreign Languages,,广西外国语学院,,
ICPC_2024_Regional_hongkong,50,"Beijing Jiaotong University, Weihai",DBL,school,"Beijing Jiaotong University, Weihai","Beijing Jiaotong University, Weihai",,北京交通大学威海校区,,
ICPC_2024_Regional_hongkong,67,江南大学,Taboo Laevatein,member1,Wanli Dong,Wanli Dong,,唐宇喆,,
ICPC_2024_Regional_hongkong,67,江南大学,Taboo Laevatein,member3,Chuanzheng Shi,Chuanzheng Shi,,董万里,,
ICPC_2024_Regional_hongkong,70,Hankou University,tomorrow is another day,school,Hankou University,Hankou University,,汉口学院,,
ICPC_2024_Regional_hongkong,72,香港中文大学（深圳）,New Folder,member2,Huu Quyen Dang,Huu Quyen Dang,,邓有权,,
ICPC_2024_Regional_hongkong,75,Guangdong University of Finance,ShitCoding ,school,Guangdong University of Finance,Guangdong University of Finance,,广东金融学院,,
ICPC_2024_Regional_hongkong,88,Zhuhai College of Science and Technology,Three Palus' Grand Adventure,school,Zhuhai College of Science and Technology,Zhuhai College of Science and Technology,,珠海科技学院,,
ICPC_2024_Regional_hongkong,90,西安交通大学,what captain npy buy today,member1,Mut Fei Lin,Mut Fei Lin,,林沫非,,
ICPC_2024_Regional_hongkong,108,西安交通大学,Nap Now,member3,Jimmy Wang,Jimmy Wang,,王君睿,,
ICPC_2024_Regional_hongkong,109,西南财经大学,/give cup&cat minecraft:sticky_piston 1e6,school,Southwestern University of Finance and Economics,Southwestern University of Finance and Economics,,安阳工学院,,
ICPC_2024_Regional_hongkong,116,Chongqing Metropolitan College of Science and Technology,Meet The Dawn,school,Chongqing Metropolitan College of Science and Technology,Chongqing Metropolitan College of Science and Technology,,重庆城市科技学院,,
