学校,ICPC网络赛1,ICPC网络赛2,CCPC网络赛,ICPC西安,ICPC成都,ICPC武汉,CCPC哈尔滨,ICPC南京,CCPC济南,ICPC沈阳,CCPC郑州,ICPC上海,CCPC重庆,ICPC香港,ICPC ECFinal,CCPC总决赛
北京大学,1684.0,1890.0,2052.0,2118.0,2172.0,2294.0,2398.0,2434.0,2525.0,2601.0,2673.0,2738.0,2804.0,2860,2770,2837
清华大学,1617.0,1808.0,1955.0,2068.0,2200.0,2270.0,2261.0,2380.0,2353.0,2353.0,2419.0,2419.0,2322.0,2240,2418,2499
浙江大学,1650.0,1771.0,1908.0,1954.0,1997.0,2048.0,2087.0,2071.0,2137.0,2247.0,2247.0,2295.0,2359.0,2359,2378,2436
复旦大学,1631.0,1799.0,1799.0,1869.0,1974.0,2023.0,1991.0,2106.0,2177.0,2157.0,2197.0,2305.0,2305.0,2390,2418,2374
中山大学,1578.0,1737.0,1870.0,1969.0,1985.0,2087.0,2065.0,2075.0,2075.0,2031.0,2117.0,2184.0,2255.0,2186,2226,2302
上海交通大学,1524.0,1662.0,1750.0,1957.0,2076.0,2092.0,2140.0,2118.0,2121.0,2149.0,2164.0,2252.0,2182.0,2264,2377,2275
哈尔滨工业大学,1598.0,1728.0,1809.0,1809.0,1794.0,1933.0,1933.0,1923.0,2062.0,2134.0,2124.0,1979.0,2019.0,2123,2162,2238
中国科学技术大学,1564.0,1681.0,1795.0,1894.0,1969.0,1964.0,2017.0,2094.0,2008.0,2084.0,2170.0,2166.0,2139.0,2139,2182,2119
杭州电子科技大学,1573.0,1631.0,1783.0,1895.0,1848.0,1887.0,2005.0,1969.0,1927.0,1906.0,1893.0,1898.0,2095.0,2097,2057,2115
武汉大学,1538.0,1667.0,1729.0,1744.0,1833.0,1833.0,1789.0,1909.0,1924.0,2066.0,2018.0,2060.0,2064.0,1986,2002,2107
电子科技大学,1607.0,1607.0,1685.0,1707.0,1707.0,1818.0,1818.0,1921.0,2086.0,2077.0,2001.0,2037.0,2006.0,1983,2052,2089
东北大学,1528.0,1694.0,1741.0,1700.0,1823.0,1876.0,1798.0,1796.0,1715.0,1715.0,1929.0,1909.0,2024.0,2024,2068,2078
南京大学,1560.0,1735.0,1806.0,1855.0,1889.0,1910.0,1912.0,1927.0,1965.0,2021.0,2063.0,2123.0,2022.0,2026,2040,2068
香港中文大学,,1533.0,1533.0,1533.0,1668.0,1821.0,1821.0,1733.0,1733.0,1862.0,1862.0,1961.0,1961.0,1932,2052,2052
中国人民大学,1520.0,1617.0,1712.0,1745.0,1786.0,1868.0,1781.0,1858.0,1897.0,1966.0,2011.0,1882.0,1859.0,1887,1947,2045
北京交通大学,1506.0,1564.0,1728.0,1745.0,1707.0,1738.0,1944.0,1871.0,1970.0,1987.0,2054.0,1936.0,1936.0,1936,1884,2011
北京航空航天大学,1535.0,1644.0,1734.0,1786.0,1869.0,1862.0,2005.0,1957.0,1928.0,1953.0,2007.0,2023.0,1953.0,1986,1966,2008
西安交通大学,1552.0,1628.0,1683.0,1679.0,1723.0,1786.0,1858.0,1865.0,1829.0,1981.0,1939.0,1958.0,1922.0,1985,2005,2005
北京理工大学,1493.0,1589.0,1657.0,1781.0,1790.0,1790.0,1747.0,1810.0,1803.0,1823.0,1770.0,1832.0,1983.0,1983,2022,2001
香港科技大学广州,1584.0,1649.0,1673.0,1645.0,1601.0,1598.0,1738.0,1850.0,1888.0,1895.0,1930.0,1930.0,2010.0,2041,1973,1990
香港中文大学（深圳）,1568.0,1636.0,1694.0,1619.0,1619.0,1654.0,1606.0,1727.0,1816.0,1771.0,1671.0,1612.0,1594.0,1815,1906,1955
四川大学,1515.0,1643.0,1719.0,1807.0,1811.0,1856.0,1858.0,1929.0,2003.0,1951.0,1941.0,1894.0,1821.0,1758,1851,1952
华中科技大学,1503.0,1585.0,1674.0,1754.0,1812.0,1872.0,1868.0,1905.0,1959.0,1958.0,1999.0,2013.0,1975.0,1833,1849,1936
吉林大学,1540.0,1677.0,1787.0,1806.0,1758.0,1895.0,1830.0,1798.0,1846.0,1828.0,1949.0,1947.0,1928.0,2006,2062,1936
同济大学,1486.0,1614.0,1704.0,1667.0,1653.0,1764.0,1802.0,1793.0,1758.0,1896.0,1876.0,1843.0,1957.0,1943,1886,1922
南方科技大学,1590.0,1673.0,1774.0,1795.0,1854.0,1730.0,1744.0,1744.0,1857.0,1808.0,1800.0,1864.0,1907.0,1982,1989,1906
西北工业大学,1533.0,1624.0,1641.0,1588.0,1682.0,1722.0,1664.0,1755.0,1701.0,1815.0,1779.0,1895.0,1952.0,1854,1819,1887
山东大学,1501.0,1558.0,1624.0,1634.0,1751.0,1795.0,1846.0,1843.0,1843.0,1921.0,1863.0,1922.0,1984.0,1833,1887,1879
东南大学,1522.0,1613.0,1754.0,1856.0,1763.0,1787.0,1768.0,1696.0,1689.0,1725.0,1822.0,1763.0,1786.0,1861,1903,1871
北京邮电大学,1502.0,1587.0,1637.0,1724.0,1734.0,1717.0,1833.0,1866.0,1950.0,1929.0,1913.0,1967.0,1886.0,1898,1902,1857
广东工业大学,1543.0,1684.0,1773.0,1741.0,1871.0,1848.0,1758.0,1897.0,1897.0,1790.0,1780.0,1786.0,1926.0,1805,1905,1847
湘潭大学,1492.0,1568.0,1559.0,1504.0,1474.0,1522.0,1611.0,1643.0,1683.0,1759.0,1718.0,1823.0,1772.0,1799,1799,1847
浙江工业大学,1546.0,1644.0,1684.0,1773.0,1698.0,1710.0,1710.0,1838.0,1844.0,1725.0,1789.0,1715.0,1781.0,1781,1826,1843
北京师范大学,1443.0,1567.0,1663.0,1652.0,1571.0,1524.0,1458.0,1645.0,1727.0,1670.0,1636.0,1833.0,1818.0,1818,1833,1836
香港大学,1352.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1578.0,1578.0,1578.0,1578.0,1580.0,1580.0,1779,1834,1834
厦门大学,1511.0,1603.0,1650.0,1699.0,1750.0,1744.0,1761.0,1807.0,1737.0,1709.0,1806.0,1701.0,1809.0,1809,1798,1826
福州大学,1510.0,1633.0,1644.0,1587.0,1640.0,1718.0,1729.0,1902.0,1937.0,1903.0,1780.0,1812.0,1865.0,1839,1851,1812
重庆邮电大学,1494.0,1554.0,1583.0,1638.0,1537.0,1582.0,1650.0,1723.0,1670.0,1610.0,1610.0,1642.0,1792.0,1676,1693,1795
济南大学,1518.0,1464.0,1518.0,1630.0,1630.0,1689.0,1689.0,1689.0,1781.0,1673.0,1749.0,1720.0,1720.0,1720,1749,1784
南开大学,1499.0,1577.0,1625.0,1712.0,1727.0,1746.0,1727.0,1786.0,1776.0,1810.0,1814.0,1807.0,1772.0,1840,1788,1768
南京理工大学,1479.0,1604.0,1609.0,1587.0,1623.0,1667.0,1637.0,1639.0,1720.0,1720.0,1638.0,1728.0,1801.0,1801,1834,1766
浙江师范大学,1482.0,1543.0,1636.0,1590.0,1646.0,1691.0,1697.0,1691.0,1693.0,1661.0,1737.0,1749.0,1798.0,1685,1661,1755
南京航空航天大学,1516.0,1619.0,1654.0,1680.0,1749.0,1652.0,1608.0,1608.0,1640.0,1537.0,1666.0,1709.0,1665.0,1744,1731,1745
武汉理工大学,1448.0,1532.0,1630.0,1652.0,1613.0,1682.0,1671.0,1584.0,1689.0,1601.0,1611.0,1672.0,1680.0,1634,1661,1743
浙江理工大学,1485.0,1571.0,1604.0,1722.0,1653.0,1636.0,1650.0,1660.0,1601.0,1712.0,1716.0,1780.0,1895.0,1832,1834,1741
湖南大学,1530.0,1554.0,1624.0,1567.0,1581.0,1662.0,1566.0,1508.0,1520.0,1501.0,1491.0,1603.0,1640.0,1640,1729,1738
