学校,姓名,ICPC西安,ICPC成都,ICPC武汉,ICPC南京/CCPC哈尔滨,ICPC沈阳/CCPC济南,ICPC上海/CCPC郑州,ICPC香港/CCPC重庆,ICPC ECFinal,CCPC总决赛,Δ
北京大学,郭羽冲,1582.0,1582.0,1582.0,1582.0,1769.0,1769.0,1899.0,1904.0,2003,99.0
北京大学,陈昕阳,1582.0,1582.0,1582.0,1582.0,1769.0,1769.0,1899.0,1904.0,2003,99.0
北京大学,沈吉滪,1582.0,1582.0,1582.0,1582.0,1769.0,1769.0,1899.0,1904.0,2003,99.0
清华大学,徐骁扬,,1638.0,1638.0,1803.0,1803.0,1803.0,1803.0,1950.0,2000,50.0
清华大学,刘海峰,,1638.0,1638.0,1803.0,1803.0,1803.0,1803.0,1950.0,2000,50.0
清华大学,陈诺,,1638.0,1638.0,1803.0,1803.0,1803.0,1803.0,1950.0,2000,50.0
北京大学,方心童,,1587.0,1587.0,1735.0,1735.0,1869.0,1869.0,1945.0,1962,17.0
北京大学,蒋承佑,,1587.0,1587.0,1735.0,1735.0,1869.0,1869.0,1945.0,1962,17.0
北京大学,郑钧,,1587.0,1587.0,1735.0,1735.0,1869.0,1869.0,1945.0,1962,17.0
北京大学,钱易,,,1653.0,1653.0,1809.0,1929.0,1929.0,1931.0,1931,
北京大学,彭博,,,1653.0,1653.0,1809.0,1929.0,1929.0,1931.0,1931,
北京大学,施开成,,,1653.0,1653.0,1809.0,1929.0,1929.0,1931.0,1931,
浙江大学,张湫阳,,,1469.0,1565.0,1725.0,1725.0,1814.0,1881.0,1930,49.0
浙江大学,侯之远,,,1469.0,1565.0,1725.0,1725.0,1814.0,1881.0,1930,49.0
上海交通大学,刘家宁,1646.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1895.0,1895,
上海交通大学,朱泽木,1646.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1895.0,1895,
上海交通大学,冯启豫,1646.0,1772.0,1772.0,1772.0,1772.0,1772.0,1772.0,1895.0,1895,
浙江大学,朱天煜,1527.0,1527.0,1527.0,1604.0,1604.0,1697.0,1794.0,1781.0,1859,78.0
北京大学,朱剑枫,,,,1634.0,1742.0,1742.0,1846.0,1848.0,1848,
北京大学,王蔚澄,,,,1634.0,1742.0,1742.0,1846.0,1848.0,1848,
北京大学,李羿辰,,,,1634.0,1742.0,1742.0,1846.0,1848.0,1848,
复旦大学,王瑞藻,,,1522.0,1522.0,1654.0,1654.0,1748.0,1845.0,1845,
中山大学,刘铭仁,1572.0,1572.0,1616.0,1616.0,1616.0,1700.0,1700.0,1779.0,1832,53.0
中山大学,孔德锐,1572.0,1572.0,1616.0,1616.0,1616.0,1700.0,1700.0,1779.0,1832,53.0
中山大学,董睿嘉,1572.0,1572.0,1616.0,1616.0,1616.0,1700.0,1700.0,1779.0,1832,53.0
