学校,ICPConline1,ICPConline2,CCPC网络赛,ICPC西安,CCPC高职赛,CCPC女生赛,ICPC成都,ICPC武汉,CCPC哈尔滨,ICPC南京,CCPC济南,ICPC沈阳,CCPC郑州,ICPC上海,CCPC重庆,ICPC香港,ICPC ECFinal,CCPC总决赛,Δ
北京大学,1684.0,1890.0,2052.0,2118.0,2118.0,2121.0,2177.0,2299.0,2404.0,2440.0,2532.0,2608.0,2681.0,2746.0,2812.0,2868,2777,2844,67.0
清华大学,1617.0,1808.0,1955.0,2068.0,2068.0,2097.0,2225.0,2291.0,2278.0,2395.0,2366.0,2366.0,2431.0,2431.0,2333.0,2250,2427,2507,80.0
浙江大学,1650.0,1771.0,1908.0,1954.0,1954.0,1954.0,1999.0,2051.0,2091.0,2075.0,2141.0,2252.0,2252.0,2300.0,2364.0,2364,2383,2441,58.0
复旦大学,1631.0,1799.0,1799.0,1869.0,1869.0,1869.0,1977.0,2027.0,1995.0,2111.0,2182.0,2162.0,2203.0,2311.0,2311.0,2397,2424,2380,-44.0
中山大学,1578.0,1737.0,1870.0,1969.0,1969.0,1976.0,1993.0,2095.0,2072.0,2082.0,2082.0,2037.0,2123.0,2190.0,2261.0,2192,2232,2308,76.0
上海交通大学,1524.0,1662.0,1750.0,1957.0,1957.0,1957.0,2079.0,2096.0,2145.0,2123.0,2126.0,2154.0,2170.0,2258.0,2187.0,2270,2383,2280,-103.0
哈尔滨工业大学,1598.0,1728.0,1809.0,1809.0,1809.0,1949.0,1902.0,2012.0,2012.0,1984.0,2108.0,2170.0,2153.0,2003.0,2038.0,2139,2175,2249,74.0
杭州电子科技大学,1573.0,1631.0,1783.0,1895.0,1895.0,1937.0,1881.0,1913.0,2025.0,1985.0,1941.0,1917.0,1903.0,1906.0,2103.0,2104,2064,2122,58.0
中国科学技术大学,1564.0,1681.0,1795.0,1894.0,1894.0,1794.0,1901.0,1915.0,1983.0,2071.0,1992.0,2074.0,2165.0,2164.0,2138.0,2138,2182,2120,-62.0
武汉大学,1538.0,1667.0,1730.0,1745.0,1745.0,1752.0,1841.0,1841.0,1795.0,1915.0,1930.0,2072.0,2024.0,2066.0,2069.0,1991,2007,2112,105.0
电子科技大学,1607.0,1607.0,1685.0,1707.0,1707.0,1707.0,1707.0,1820.0,1820.0,1924.0,2090.0,2081.0,2005.0,2041.0,2010.0,1988,2057,2094,37.0
东北大学,1528.0,1694.0,1741.0,1700.0,1700.0,1689.0,1818.0,1875.0,1798.0,1797.0,1717.0,1717.0,1933.0,1913.0,2029.0,2029,2073,2083,10.0
南京大学,1560.0,1735.0,1806.0,1855.0,1855.0,1855.0,1891.0,1914.0,1916.0,1931.0,1969.0,2026.0,2069.0,2129.0,2028.0,2031,2045,2073,28.0
香港中文大学,,1533.0,1533.0,1533.0,1533.0,1533.0,1670.0,1825.0,1825.0,1736.0,1736.0,1866.0,1866.0,1966.0,1966.0,1937,2057,2057,
中国人民大学,1520.0,1617.0,1712.0,1745.0,1745.0,1745.0,1787.0,1871.0,1784.0,1862.0,1902.0,1971.0,2016.0,1887.0,1863.0,1891,1952,2050,98.0
北京交通大学,1506.0,1564.0,1728.0,1745.0,1745.0,1745.0,1707.0,1740.0,1947.0,1874.0,1974.0,1992.0,2059.0,1940.0,1940.0,1940,1888,2015,127.0
北京航空航天大学,1535.0,1644.0,1734.0,1786.0,1786.0,1786.0,1871.0,1865.0,2009.0,1961.0,1933.0,1958.0,2013.0,2028.0,1958.0,1992,1972,2014,42.0
西安交通大学,1552.0,1628.0,1683.0,1679.0,1679.0,1679.0,1724.0,1789.0,1861.0,1868.0,1833.0,1986.0,1944.0,1963.0,1927.0,1990,2010,2010,0.0
北京理工大学,1493.0,1589.0,1657.0,1781.0,1781.0,1725.0,1750.0,1750.0,1717.0,1790.0,1790.0,1815.0,1765.0,1829.0,1982.0,1982,2022,2002,-20.0
香港科技大学广州,1584.0,1649.0,1673.0,1645.0,1645.0,1576.0,1548.0,1599.0,1741.0,1854.0,1892.0,1899.0,1935.0,1935.0,2015.0,2046,1978,1995,17.0
香港中文大学（深圳）,1568.0,1636.0,1694.0,1619.0,1619.0,1858.0,1858.0,1833.0,1748.0,1828.0,1890.0,1828.0,1718.0,1649.0,1623.0,1836,1923,1968,45.0
四川大学,1515.0,1643.0,1719.0,1807.0,1807.0,1804.0,1811.0,1858.0,1861.0,1933.0,2007.0,1955.0,1946.0,1899.0,1826.0,1763,1856,1957,101.0
吉林大学,1540.0,1677.0,1787.0,1806.0,1806.0,1864.0,1804.0,1929.0,1856.0,1819.0,1863.0,1842.0,1961.0,1957.0,1936.0,2014,2069,1942,-127.0
华中科技大学,1503.0,1585.0,1674.0,1754.0,1754.0,1690.0,1769.0,1844.0,1848.0,1892.0,1951.0,1953.0,1997.0,2013.0,1976.0,1834,1851,1939,88.0
同济大学,1486.0,1614.0,1704.0,1667.0,1667.0,1825.0,1774.0,1852.0,1867.0,1844.0,1798.0,1926.0,1900.0,1862.0,1972.0,1955,1896,1931,35.0
南方科技大学,1590.0,1673.0,1774.0,1795.0,1795.0,1795.0,1856.0,1732.0,1746.0,1746.0,1860.0,1811.0,1803.0,1868.0,1911.0,1987,1993,1910,-83.0
西北工业大学,1533.0,1624.0,1641.0,1588.0,1588.0,1588.0,1683.0,1725.0,1666.0,1758.0,1704.0,1819.0,1783.0,1900.0,1957.0,1858,1823,1892,69.0
山东大学,1501.0,1558.0,1624.0,1634.0,1634.0,1681.0,1786.0,1822.0,1866.0,1859.0,1859.0,1934.0,1874.0,1931.0,1991.0,1838,1892,1884,-8.0
东南大学,1522.0,1613.0,1754.0,1856.0,1856.0,1838.0,1749.0,1779.0,1762.0,1691.0,1686.0,1724.0,1823.0,1764.0,1788.0,1864,1907,1875,-32.0
北京邮电大学,1502.0,1587.0,1637.0,1724.0,1724.0,1724.0,1736.0,1718.0,1836.0,1869.0,1954.0,1933.0,1917.0,1972.0,1891.0,1903,1907,1862,-45.0
广东工业大学,1543.0,1684.0,1773.0,1741.0,1741.0,1736.0,1870.0,1849.0,1759.0,1900.0,1901.0,1794.0,1784.0,1790.0,1931.0,1809,1909,1852,-57.0
湘潭大学,1492.0,1568.0,1559.0,1504.0,1504.0,1504.0,1474.0,1522.0,1612.0,1645.0,1686.0,1763.0,1722.0,1828.0,1776.0,1803,1803,1852,49.0
浙江工业大学,1546.0,1644.0,1684.0,1773.0,1773.0,1773.0,1699.0,1712.0,1712.0,1841.0,1847.0,1728.0,1793.0,1719.0,1785.0,1785,1830,1847,17.0
北京师范大学,1443.0,1567.0,1663.0,1652.0,1652.0,1658.0,1577.0,1528.0,1461.0,1649.0,1732.0,1674.0,1640.0,1837.0,1822.0,1822,1837,1840,3.0
香港大学,1352.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1533.0,1579.0,1579.0,1579.0,1579.0,1581.0,1581.0,1781,1836,1836,
厦门大学,1511.0,1603.0,1650.0,1699.0,1699.0,1628.0,1702.0,1709.0,1736.0,1791.0,1725.0,1700.0,1802.0,1698.0,1808.0,1808,1798,1827,29.0
福州大学,1510.0,1633.0,1644.0,1587.0,1587.0,1629.0,1671.0,1742.0,1747.0,1917.0,1950.0,1914.0,1790.0,1821.0,1873.0,1846,1857,1817,-40.0
重庆邮电大学,1494.0,1554.0,1583.0,1638.0,1638.0,1598.0,1503.0,1558.0,1634.0,1713.0,1663.0,1605.0,1605.0,1639.0,1792.0,1671,1691,1795,104.0
济南大学,1518.0,1464.0,1518.0,1630.0,1630.0,1630.0,1630.0,1691.0,1691.0,1691.0,1784.0,1676.0,1752.0,1723.0,1723.0,1723,1753,1788,35.0
南开大学,1499.0,1577.0,1625.0,1712.0,1712.0,1683.0,1708.0,1733.0,1718.0,1781.0,1774.0,1810.0,1815.0,1809.0,1774.0,1842,1790,1771,-19.0
南京理工大学,1479.0,1604.0,1609.0,1587.0,1587.0,1587.0,1624.0,1669.0,1639.0,1641.0,1723.0,1723.0,1641.0,1731.0,1804.0,1804,1837,1770,-67.0
浙江师范大学,1482.0,1543.0,1636.0,1590.0,1590.0,1691.0,1719.0,1745.0,1738.0,1723.0,1718.0,1681.0,1753.0,1762.0,1809.0,1694,1669,1762,93.0
南京航空航天大学,1516.0,1619.0,1654.0,1680.0,1680.0,1680.0,1751.0,1654.0,1610.0,1610.0,1643.0,1539.0,1669.0,1712.0,1668.0,1748,1735,1749,14.0
武汉理工大学,1448.0,1532.0,1630.0,1652.0,1652.0,1652.0,1613.0,1683.0,1672.0,1585.0,1691.0,1603.0,1614.0,1675.0,1683.0,1637,1664,1747,83.0
浙江理工大学,1485.0,1571.0,1604.0,1722.0,1722.0,1673.0,1614.0,1607.0,1629.0,1646.0,1591.0,1706.0,1713.0,1779.0,1896.0,1834,1836,1744,-92.0
哈尔滨工业大学（深圳）,1549.0,1610.0,1704.0,1778.0,1778.0,1778.0,1827.0,1812.0,1883.0,1864.0,1880.0,1844.0,1880.0,1825.0,1821.0,1810,1826,1742,-84.0
湖南大学,1530.0,1554.0,1624.0,1567.0,1567.0,1560.0,1577.0,1661.0,1564.0,1506.0,1519.0,1501.0,1492.0,1605.0,1642.0,1642,1732,1742,10.0
华东师范大学,1475.0,1546.0,1586.0,1623.0,1623.0,1698.0,1745.0,1785.0,1832.0,1782.0,1735.0,1827.0,1846.0,1809.0,1831.0,1831,1780,1740,-40.0
华南理工大学,1487.0,1563.0,1609.0,1689.0,1689.0,1689.0,1701.0,1695.0,1760.0,1771.0,1750.0,1812.0,1822.0,1828.0,1811.0,1783,1785,1738,-47.0
北京建筑大学,1526.0,1439.0,1530.0,1530.0,1530.0,1530.0,1530.0,1430.0,1520.0,1520.0,1520.0,1534.0,1534.0,1629.0,1699.0,1699,1671,1709,38.0
湖南师范大学,1468.0,1533.0,1645.0,1712.0,1712.0,1712.0,1712.0,1680.0,1774.0,1656.0,1633.0,1607.0,1530.0,1673.0,1694.0,1694,1661,1708,47.0
杭州师范大学,1399.0,1492.0,1540.0,1600.0,1600.0,1673.0,1649.0,1673.0,1673.0,1618.0,1671.0,1593.0,1507.0,1543.0,1669.0,1669,1698,1707,9.0
哈尔滨工业大学（威海）,1498.0,1614.0,1737.0,1691.0,1691.0,1691.0,1762.0,1766.0,1669.0,1735.0,1724.0,1605.0,1718.0,1672.0,1706.0,1593,1702,1687,-15.0
香港科技大学,,1494.0,1494.0,1494.0,1494.0,1494.0,1494.0,1494.0,1494.0,1603.0,1603.0,1536.0,1536.0,1627.0,1627.0,1623,1686,1686,
南京邮电大学,1471.0,1539.0,1595.0,1652.0,1652.0,1583.0,1654.0,1619.0,1605.0,1607.0,1648.0,1634.0,1653.0,1593.0,1514.0,1614,1665,1685,20.0
上海纽约大学,1489.0,1567.0,1632.0,1700.0,1700.0,1700.0,1640.0,1605.0,1728.0,1602.0,1495.0,1440.0,1440.0,1686.0,1686.0,1590,1620,1682,62.0
西湖大学,1508.0,1593.0,1644.0,1706.0,1706.0,1682.0,1737.0,1830.0,1799.0,1820.0,1894.0,1889.0,1932.0,1848.0,1724.0,1724,1800,1682,-118.0
兰州大学,1462.0,1519.0,1563.0,1534.0,1534.0,1456.0,1484.0,1530.0,1530.0,1557.0,1557.0,1708.0,1729.0,1620.0,1676.0,1676,1714,1677,-37.0
河南大学,1505.0,1537.0,1527.0,1501.0,1501.0,1501.0,1503.0,1534.0,1661.0,1674.0,1640.0,1722.0,1722.0,1625.0,1625.0,1625,1596,1675,79.0
重庆大学,1490.0,1558.0,1598.0,1622.0,1622.0,1608.0,1517.0,1522.0,1552.0,1560.0,1550.0,1581.0,1706.0,1615.0,1615.0,1615,1634,1669,35.0
西安电子科技大学,1497.0,1551.0,1625.0,1679.0,1679.0,1679.0,1709.0,1696.0,1704.0,1726.0,1646.0,1748.0,1791.0,1772.0,1760.0,1613,1651,1665,14.0
东北大学秦皇岛分校,1513.0,1593.0,1609.0,1603.0,1603.0,1533.0,1643.0,1726.0,1834.0,1740.0,1779.0,1731.0,1704.0,1756.0,1737.0,1675,1626,1660,34.0
中国传媒大学,1433.0,1518.0,1581.0,1538.0,1538.0,1560.0,1597.0,1652.0,1717.0,1651.0,1600.0,1641.0,1571.0,1686.0,1751.0,1751,1722,1649,-73.0
上海科技大学,1465.0,1546.0,1590.0,1661.0,1661.0,1662.0,1659.0,1651.0,1663.0,1593.0,1666.0,1661.0,1637.0,1606.0,1594.0,1557,1579,1648,69.0
上海理工大学,1480.0,1557.0,1640.0,1640.0,1640.0,1640.0,1673.0,1621.0,1611.0,1619.0,1619.0,1645.0,1645.0,1569.0,1571.0,1571,1643,1643,
中国科学院大学,1444.0,1509.0,1533.0,1490.0,1490.0,1398.0,1501.0,1563.0,1594.0,1617.0,1700.0,1712.0,1712.0,1595.0,1595.0,1595,1654,1642,-12.0
广州大学,1451.0,1509.0,1581.0,1646.0,1646.0,1646.0,1574.0,1574.0,1574.0,1580.0,1580.0,1531.0,1553.0,1484.0,1501.0,1559,1622,1622,
暨南大学,1458.0,1471.0,1493.0,1465.0,1465.0,1648.0,1647.0,1749.0,1749.0,1647.0,1575.0,1562.0,1666.0,1696.0,1677.0,1721,1665,1621,-44.0
华东理工大学,1488.0,1546.0,1579.0,1511.0,1511.0,1511.0,1503.0,1541.0,1486.0,1494.0,1439.0,1561.0,1561.0,1525.0,1577.0,1577,1490,1620,130.0
中南大学,1495.0,1545.0,1611.0,1511.0,1511.0,1511.0,1598.0,1630.0,1670.0,1690.0,1637.0,1669.0,1671.0,1602.0,1646.0,1646,1636,1609,-27.0
厦门理工学院,1440.0,1387.0,1340.0,1340.0,1340.0,1340.0,1485.0,1428.0,1520.0,1424.0,1417.0,1402.0,1373.0,1373.0,1373.0,1661,1579,1606,27.0
华南师范大学,1462.0,1523.0,1546.0,1561.0,1561.0,1666.0,1611.0,1631.0,1631.0,1654.0,1641.0,1674.0,1662.0,1699.0,1666.0,1587,1604,1604,
绍兴理工学院,1464.0,1554.0,1634.0,1634.0,1634.0,1634.0,1634.0,1579.0,1579.0,1579.0,1579.0,1572.0,1627.0,1627.0,1627.0,1627,1602,1602,
浙江农林大学,1466.0,1496.0,1526.0,1485.0,1485.0,1468.0,1540.0,1509.0,1509.0,1474.0,1474.0,1624.0,1579.0,1589.0,1642.0,1642,1601,1601,
杭州电子科技大学信息工程学院,1348.0,1467.0,1415.0,1415.0,1415.0,1415.0,1415.0,1346.0,1346.0,1526.0,1456.0,1456.0,1456.0,1544.0,1544.0,1544,1596,1596,
深圳大学,1477.0,1514.0,1557.0,1533.0,1533.0,1506.0,1505.0,1526.0,1473.0,1495.0,1490.0,1569.0,1555.0,1679.0,1600.0,1480,1592,1592,
河海大学,1424.0,1498.0,1587.0,1593.0,1593.0,1508.0,1468.0,1567.0,1556.0,1633.0,1700.0,1733.0,1715.0,1662.0,1728.0,1692,1655,1591,-64.0
大连理工大学,1475.0,1549.0,1595.0,1625.0,1625.0,1625.0,1648.0,1721.0,1724.0,1759.0,1722.0,1752.0,1739.0,1707.0,1741.0,1711,1677,1586,-91.0
宁波大学,1430.0,1493.0,1535.0,1551.0,1551.0,1551.0,1501.0,1548.0,1548.0,1564.0,1638.0,1631.0,1571.0,1495.0,1496.0,1496,1496,1586,90.0
国防科技大学,,1453.0,1488.0,1516.0,1516.0,1516.0,1555.0,1545.0,1545.0,1594.0,1552.0,1663.0,1711.0,1637.0,1600.0,1600,1550,1580,30.0
惠州学院,1401.0,1398.0,1468.0,1468.0,1468.0,1434.0,1434.0,1434.0,1440.0,1440.0,1504.0,1534.0,1534.0,1491.0,1491.0,1579,1579,1579,0.0
南京大学苏州校区,,,1458.0,1458.0,1458.0,1486.0,1486.0,1486.0,1486.0,1486.0,1545.0,1545.0,1618.0,1618.0,1618.0,1618,1618,1563,-55.0
重庆理工大学,,1478.0,1478.0,1478.0,1478.0,1478.0,1536.0,1536.0,1536.0,1491.0,1491.0,1491.0,1491.0,1491.0,1512.0,1512,1559,1559,
香港中文大學,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556.0,1556,1556,1556,
华中师范大学,1436.0,1498.0,1535.0,1511.0,1511.0,1536.0,1463.0,1518.0,1496.0,1516.0,1445.0,1506.0,1566.0,1482.0,1516.0,1517,1517,1554,37.0
天津大学,1435.0,1494.0,1551.0,1542.0,1542.0,1665.0,1619.0,1638.0,1618.0,1594.0,1589.0,1630.0,1656.0,1628.0,1587.0,1574,1599,1554,-45.0
北京城市学院,1447.0,1457.0,1446.0,1446.0,1446.0,1446.0,1415.0,1415.0,1412.0,1412.0,1412.0,1419.0,1419.0,1419.0,1575.0,1575,1575,1553,-22.0
哈尔滨工程大学,1470.0,1513.0,1534.0,1507.0,1507.0,1418.0,1395.0,1460.0,1515.0,1523.0,1490.0,1499.0,1559.0,1516.0,1472.0,1492,1492,1548,56.0
江南大学,1439.0,1483.0,1561.0,1494.0,1494.0,1494.0,1494.0,1421.0,1421.0,1515.0,1560.0,1479.0,1570.0,1515.0,1515.0,1514,1540,1548,8.0
东莞理工学院,1437.0,1448.0,1447.0,1357.0,1357.0,1357.0,1281.0,1222.0,1295.0,1246.0,1246.0,1460.0,1460.0,1460.0,1460.0,1533,1545,1545,
江苏大学,1476.0,1521.0,1521.0,1526.0,1526.0,1526.0,1470.0,1530.0,1530.0,1547.0,1624.0,1624.0,1547.0,1640.0,1640.0,1640,1617,1545,-72.0
西南交通大学,1396.0,1389.0,1385.0,1443.0,1443.0,1443.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1463.0,1545,1545,1545,
北京化工大学,1461.0,1461.0,1465.0,1383.0,1383.0,1383.0,1335.0,1421.0,1421.0,1548.0,1573.0,1539.0,1595.0,1549.0,1549.0,1549,1505,1538,33.0
湖南城市学院,1454.0,1492.0,1535.0,1535.0,1535.0,1535.0,1535.0,1484.0,1484.0,1563.0,1563.0,1547.0,1543.0,1543.0,1538.0,1538,1538,1538,
武汉科技大学,1398.0,1460.0,1575.0,1589.0,1589.0,1589.0,1489.0,1566.0,1566.0,1544.0,1450.0,1566.0,1467.0,1568.0,1511.0,1511,1535,1535,
温州大学,1372.0,1464.0,1437.0,1384.0,1384.0,1384.0,1384.0,1541.0,1502.0,1402.0,1550.0,1479.0,1479.0,1538.0,1538.0,1538,1504,1530,26.0
蒙古国立大学,,,,,,,,1405.0,1405.0,1426.0,1426.0,1426.0,1426.0,1405.0,1405.0,1528,1528,1528,
中国石油大学（华东）,1481.0,1493.0,1493.0,1527.0,1527.0,1527.0,1575.0,1505.0,1505.0,1513.0,1513.0,1530.0,1530.0,1582.0,1582.0,1582,1525,1525,
浙江工商大学,1432.0,1471.0,1506.0,1504.0,1504.0,1411.0,1484.0,1495.0,1627.0,1610.0,1605.0,1611.0,1543.0,1530.0,1472.0,1529,1529,1525,-4.0
上海大学,1484.0,1518.0,1558.0,1521.0,1521.0,1470.0,1472.0,1538.0,1567.0,1626.0,1649.0,1664.0,1725.0,1725.0,1709.0,1582,1577,1521,-56.0
长沙理工大学,1478.0,1502.0,1552.0,1457.0,1457.0,1457.0,1575.0,1503.0,1503.0,1505.0,1502.0,1504.0,1435.0,1578.0,1571.0,1571,1521,1521,
北京工业大学,1419.0,1490.0,1499.0,1578.0,1578.0,1578.0,1474.0,1445.0,1513.0,1450.0,1450.0,1553.0,1579.0,1592.0,1592.0,1505,1552,1519,-33.0
南京信息工程大学,1449.0,1500.0,1559.0,1598.0,1598.0,1598.0,1600.0,1679.0,1712.0,1705.0,1708.0,1655.0,1593.0,1558.0,1592.0,1592,1606,1514,-92.0
山东大学（威海）,1446.0,1482.0,1538.0,1513.0,1513.0,1513.0,1557.0,1599.0,1677.0,1593.0,1640.0,1650.0,1650.0,1572.0,1572.0,1662,1584,1511,-73.0
湖南科技大学,1456.0,1491.0,1556.0,1523.0,1523.0,1523.0,1499.0,1437.0,1462.0,1516.0,1471.0,1482.0,1508.0,1553.0,1591.0,1591,1591,1510,-81.0
深圳职业技术大学,1367.0,1369.0,1380.0,1380.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1457.0,1488.0,1514.0,1514.0,1514.0,1514,1514,1509,-5.0
西南科技大学,1415.0,1430.0,1488.0,1424.0,1424.0,1505.0,1480.0,1392.0,1392.0,1392.0,1392.0,1423.0,1429.0,1366.0,1380.0,1507,1507,1507,
华南农业大学,1472.0,1497.0,1500.0,1474.0,1474.0,1472.0,1438.0,1429.0,1458.0,1507.0,1465.0,1459.0,1459.0,1544.0,1544.0,1501,1503,1503,
北京科技大学,1450.0,1503.0,1504.0,1564.0,1564.0,1564.0,1564.0,1573.0,1573.0,1475.0,1475.0,1515.0,1515.0,1433.0,1433.0,1433,1499,1499,
