Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,清华大学,天才卡题少女,10,1410,+2(85),+1(64),+2(172),+1(236),,+1(12),-6,+3(95),,+1(253),+3(166),+2(48),+1(139)
2,北京师范大学,QQ奶糖,10,1638,+1(106),+2(57),+1(282),+1(290),,+1(10),,+1(47),,+1(233),+2(186),+2(201),+3(126)
3,复旦大学,独裁者,10,2008,+1(183),+2(24),+3(122),+1(281),,+1(4),,+1(18),,+1(259),+3(81),+2(168),+25(268)
4,浙江大学,Legilimens,8,1211,+1(136),+2(66),-5,,,+1(9),,+1(77),-1,+1(236),+5(232),+3(218),+1(97)
5,复旦大学,谜,8,1367,+3(92),+1(151),,,,+1(5),,+1(54),,+1(285),+6(258),+1(216),+2(146)
6,清华大学,董先生后援队,8,1427,+2(199),+1(24),-2,+2(292),,+1(5),,+5(66),,+1(256),+4(178),+4(167),-2
7,大连理工大学软件学院,一步之遥,7,1009,+1(122),+1(106),,,,+1(10),,+2(46),,+1(218),-5,+5(237),+3(130)
8,北京航空航天大学,我需要治疗,7,1091,+1(124),+2(75),+2(287),,,+1(10),,+2(40),,+1(216),-14,,+7(159)
9,南京大学,StayReal,7,1176,+1(109),+1(120),,,,+1(12),,+2(69),,+1(270),+5(186),-7,+7(190)
10,上海交通大学,螺旋剑,7,1177,+1(215),+1(44),,,,+1(18),,+2(119),,+1(285),+5(169),+2(207),-12
11,北京航空航天大学,复苏,7,1305,+2(67),+2(163),,,,+1(13),,+4(88),,,+2(246),+5(279),+5(169)
12,武汉大学,没睡醒,6,768,+3(59),+1(128),,,,+1(9),,+3(87),,+1(230),-5,,+3(135)
13,天津大学,Tju_WannaCry,6,815,+1(107),+2(258),,,,+1(6),,+2(78),,,,+3(241),+1(45)
14,南京理工大学,十项全能,6,917,+1(142),+1(189),,,,+1(15),,+3(71),,+2(266),,,+1(174)
15,浙江工业大学,ACarp,6,1189,+2(253),+4(299),,,,+1(15),,+3(75),,+1(117),,,+4(250)
16,清华大学,表白墙出租,6,1366,+1(292),+2(257),-5,,,+1(14),,+2(245),,,-1,+1(94),+9(264)
17,北京理工大学,理工的小铁匠,6,1392,+1(206),+5(259),,,,+1(16),,+4(132),,+3(297),,,+5(222)
18,上海交通大学,杜兰德尔,5,351,+1(135),+2(72),-4,,,+1(11),,+1(45),,,-12,-3,+2(48)
19,华东师范大学,为什么过了样例还不对,5,425,+1(49),+2(156),,,,+1(12),-1,+1(74),,,-6,,+1(114)
20,哈尔滨工业大学,夕阳红一队,5,594,+3(96),+3(227),,,,+1(14),,+1(40),,+1(137),,-2,-13
21,浙江工业大学,乌托邦,5,636,+1(161),+3(111),,,,+1(18),,+1(56),,+2(230),,,-12
22,华南理工大学软件学院,我的女朋友们,5,647,+3(166),+1(49),,,,+1(9),,+2(68),,,-10,-3,+6(195)
23,山东大学,骑士王的荣耀,5,743,+2(232),+3(159),,,,+1(10),,+1(74),,,,,+2(188)
24,哈尔滨工程大学,轻轻的一个稳,5,813,+1(160),+1(20),,,,+1(23),,+2(80),,,-8,,+12(290)
25,重庆大学,双手离开键盘,5,861,+1(161),+1(111),,,,+1(4),,+7(285),,,-16,,+1(180)
26,武汉大学,序曲,5,926,+1(43),+2(144),,,-2,+1(23),,+6(165),,,,-4,+10(251)
27,长春理工大学,嗨呀好气呀,5,970,+3(148),+4(61),,,,+1(9),,+2(33),,-12,,,+20(219)
28,浙江工业大学,ZJUT1,5,1110,+2(197),+1(243),,,,+1(12),,+2(182),,,,,+8(296)
29,长沙理工大学,乌鸦坐飞机,5,1181,+4(255),+1(200),,,,+1(9),,+3(104),,,,-7,+14(253)
30,大连理工大学,远见,5,1200,+2(282),,,-1,,+1(15),-1,+4(158),-1,+2(241),,,+12(184)
31,重庆邮电大学,唐红的恋歌,5,1222,+5(299),+4(225),,,,+1(13),,+3(124),,,,,+8(261)
32,南京航空航天大学,大肥猫,5,1426,+9(91),,,,,+1(14),,+8(128),,+4(249),+18(244),,-23
33,上海交通大学,星光,4,306,+1(137),,-2,,,+1(19),,+1(52),,,-3,+1(98),-11
34,南京大学,抱紧学弟大腿,4,402,,+2(114),,+1(150),,+1(25),,+3(53),,,-1,,-21
35,电子科技大学,UESTC_微光,4,496,-1,+4(85),,,,+1(14),,+3(106),,,,,+2(171)
36,华南理工大学计算机学院,老年萌新,4,497,+2(222),,,,,+1(13),,+2(90),,,-11,,+2(112)
37,北京化工大学,北化十六队,4,601,+1(261),,,,,+1(11),,+3(74),,,,,+2(195)
38,同济大学,LRbC,4,603,+2(180),+1(85),,,,+1(50),,+4(208),,,,,-17
39,广东药科大学,小姐姐我们走,4,640,+2(218),+1(268),,,,+1(23),,+2(91),,,,,
40,吉首大学,凌点,4,688,+1(32),-1,,,,+2(46),,+1(167),,,,,+9(263)
41,北京邮电大学,未知数,4,715,+1(242),-1,,,,+1(20),,+3(102),,,,,+3(271)
41,福州大学,花火,4,715,-10,+3(100),,,,+1(11),,+3(151),,,,,+6(273)
43,电子科技大学,UESTC_小林家的程序员,4,769,-1,+2(167),-1,,,+1(13),,+2(72),,,,-1,+11(277)
44,复旦大学,天问,4,813,+5(274),-2,,,,+1(14),,+2(48),,,-5,-2,+12(157)
45,东北林业大学,有何贵干,4,823,+4(298),+4(276),,,,+2(13),,+2(76),,,,,
46,西安交通大学,比特赛特,4,857,+3(220),+3(225),,,,+1(12),,+3(280),-1,,,,-14
47,长沙理工大学,小鱼水中游,4,876,,+1(271),,,,+1(20),,+7(283),,,,,+5(102)
48,中国科学院大学,乒乒乓,3,279,-10,,,,,+1(18),,+2(63),,+1(178),,,
49,广州大学,原初之火,3,306,+3(174),,,,,+1(14),,+2(58),,,,,-13
49,浙江理工大学,稻花香里说丰年_分享人生经验,3,306,,,,,,+1(18),,+1(61),,,,,+3(187)
51,西安交通大学,面真烫烫烫烫烫,3,313,+2(150),,,,,+1(19),,+3(84),,,,,-44
52,天津大学,Tju_Happy_For_Cutting_Classes,3,363,+1(263),,,,,+1(13),,+1(87),,,,,
53,厦门大学,厉害呀,3,372,,,,,,+1(11),,+2(74),-6,,,,+5(187)
54,东北林业大学,跑步机,3,394,+3(208),,,,,+1(9),,+3(97),,,,,-3
54,哈尔滨工业大学,打铁还需自身硬,3,394,,+1(230),,,,+1(23),,+2(121),,,,-2,-29
56,浙江师范大学,热核火箭,3,399,+2(161),-3,,,,+1(11),,+5(127),,,,,-10
57,北京化工大学,韦天魔术棒,3,403,,+1(182),,,-3,+1(30),,+3(151),,,,,-10
58,广州大学,那么问题来了,3,412,,+3(230),,,,+1(12),,+1(130),,,,,
59,河南理工大学,湛蓝天空,3,427,,-2,,,,+1(16),,+2(131),,,,,+1(260)
60,电子科技大学,UESTC_菲比厄斯,3,471,+1(203),-3,,,,+1(61),,+4(147),,,,,
61,哈尔滨工业大学,大吉大利晚上刷题,3,489,,+3(241),,,,+1(23),,+3(145),,,-25,,-21
62,山东科技大学,奋进号,3,491,,-1,,,,+1(15),,+1(255),,,,,+1(221)
63,南华大学,随便@USC,3,504,+2(242),,,,,+1(12),,+6(130),,,,,-1
64,青岛大学,没有中文名,3,510,-1,+2(176),,,,+1(14),,+3(260),,,,,
65,宁波大学,你这是为难我胖虎,3,520,+2(259),,,,,+1(37),,+4(144),,,,,-1
66,华中农业大学,伟神NewBee,3,534,+3(287),,,,,+1(17),,+4(130),-1,,,,
67,浙江理工大学,飞飞会不会不会编汇编,3,576,,+6(287),,,,+1(10),,+4(119),-2,,,,-10
68,重庆大学,螺旋上天,3,587,-10,+2(257),,,,+1(18),,+5(212),,,,,
69,南阳理工学院,好好学习,3,595,-1,,,,,+1(24),,+3(165),,,,,+6(266)
70,北京邮电大学,闪电风暴,3,601,+1(206),,,,,+1(19),,+6(276),,,-9,,-5
71,杭州电子科技大学,HDU-Response,3,628,,+3(272),,,,+1(21),,+7(175),,,,,
72,南开大学,达拉斯,3,1043,,,,,,+2(34),,+6(132),,,-2,-12,+25(297)
73,青岛大学,黑色守望,2,116,,,,,,+1(11),,+2(85),,-4,,,
74,西安电子科技大学,跟着国走,2,121,,,,,,+1(12),,+2(89),,,,,-1
75,中国人民解放军信息工程大学,三脸懵逼,2,129,,-1,,,,+1(8),,+1(121),,,,,-15
76,吉林大学,如果奇迹有颜色,2,156,,,,,,+2(25),,+1(111),,,,,
77,中北大学,踏雪无痕,2,173,-3,-1,,,,+1(16),,+4(97),,,,,
78,杭州师范大学,大吉大利，晚上吃鸡,2,178,-3,-1,,,,+1(17),,+3(121),,,,,
79,河南大学软件学院,上邪,2,181,,,,,,+1(10),,+4(111),,,,,-53
80,河南工业大学,这里就交给我了，你们先走,2,184,-20,,,,,+1(14),,+4(110),,,,,
81,山东大学,星爆弃疗斩,2,193,,,,,,+1(15),,+2(158),,,,,-37
82,国防科技大学,三人行,2,207,-1,,,,,+1(15),,+3(152),,,,,
83,上海大学,魔法青蛙,2,211,,-3,,,,+2(38),,+3(113),-2,,,,
84,安徽大学,铁打的打铁队,2,212,,,,,,+2(24),,+2(148),,,,,-2
85,浙江理工大学,新蜜蜂小分队,2,214,-3,-2,,,,+1(11),,+3(163),,,,,-16
86,湖南科技大学,永恒之蓝,2,215,,-4,,,,+1(40),,+2(155),,,,,
87,广东工业大学,金色的门,2,216,-5,,,,,+1(24),,+2(172),,,,,
88,长春工业大学,回声,2,218,-2,,,,,+1(32),,+1(186),,,,-2,-18
89,湖南文理学院,夕阳红打铁队,2,219,,,,,,+1(14),,+2(185),,,,,-7
90,山东理工大学,我希望出题人结合这道题给一下标程,2,225,-2,,,,,+1(20),,+2(185),-1,,,,-13
91,中国传媒大学,吃饭吧,2,228,-2,,,,,+1(14),,+4(154),-3,,,,-13
