Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
1,清华大学,Fans,10,1038,+1(2),+1(19),+1(56),+3(75),+1(168),-2,+3(105),+2(243),+1(215),+1(8),+1(47),-1
2,上海交通大学,Nightfall,10,1258,+1(9),+1(31),+1(44),+1(37),+1(237),+3(196),+3(298),,+1(226),+1(13),+1(87),-38
3,杭州电子科技大学,HDU_AcmKeHaoWanLe,9,815,+1(4),+1(25),+1(81),+1(40),+1(56),-2,+1(191),,+1(267),+1(15),+1(136),-3
4,北京航空航天大学,Three Investigators,9,1011,+1(7),+1(11),+1(158),+1(61),+3(126),,+1(161),-3,+1(137),+1(22),+3(248),
5,清华大学,The Elders,8,1129,+2(7),+2(78),+2(195),+1(40),+2(188),,+3(293),,,+1(18),+2(170),
6,中山大学,SYSU_DeadBlue,7,465,+1(7),+1(44),+2(18),+1(36),-4,,+2(163),,,+1(28),+1(129),
7,南京大学,StayReal,7,502,+1(5),+1(31),+1(59),+1(40),,,+3(219),,-2,+1(10),+1(98),
8,浙江大学,Reconquista,7,512,+1(6),+1(34),+1(94),+1(44),,-9,+1(175),,-1,+1(23),+1(136),
9,上海交通大学,Arondight,7,606,+1(6),+1(43),+1(65),+1(28),,-3,,,+3(289),+1(21),+1(114),
10,浙江大学,LeatherClub,7,656,+1(5),+1(26),+1(76),+1(40),+1(272),,-1,,,+1(16),+3(181),
11,广东工业大学,192.18Travel_Poorly,7,681,+1(3),+1(36),+1(89),+1(82),+3(191),,,,,+1(21),+3(179),
12,长安大学,No Response,7,734,+1(7),+1(49),+1(110),+1(59),,,+1(292),,,+1(21),+1(196),
13,武汉大学,SmoothLatte,7,759,+2(8),+4(94),+1(196),+1(46),,,+2(208),,,+1(15),+1(92),
14,福州大学,Togepi,7,760,+1(6),+3(60),+2(64),+2(93),-3,,,,+1(284),+1(27),+2(126),
15,上海交通大学,Wizards,7,779,+1(7),+1(35),+2(92),+3(49),,-5,+3(256),,,+2(57),+2(143),
16,西安交通大学,SpeakStudyStaySing,7,800,+1(8),+1(51),+1(85),+1(62),+1(133),,,,,+1(18),+11(243),
17,北京邮电大学,Gregtech,7,815,+1(5),+3(54),+1(85),+1(35),-2,+5(297),,,,+1(26),+2(173),
18,电子科技大学,UESTC_EvilGeniuses,7,821,+1(10),+1(42),+2(129),+1(17),+2(272),,,,-2,+1(28),+1(283),
19,北京航空航天大学,Ascender,6,317,+1(4),+1(34),+2(92),+1(42),-1,,,,,+1(12),+1(113),
20,重庆大学,GG,6,365,+3(10),+2(18),+1(95),+2(37),-14,,,,,+1(25),+2(80),
21,中山大学,SYSU_DeepDarkNaive,6,405,+1(5),+1(48),+1(90),+1(56),-3,,,,,+1(15),+2(171),
22,湖南大学,Oolong,6,420,+1(4),+1(27),+1(159),+1(45),-3,-7,,,,+1(24),+2(141),
23,南京邮电大学,NJUPT_Goforworld,6,426,+1(7),+2(52),+1(98),+1(17),-2,,,,,+1(29),+2(183),
24,华中师范大学,BFDP,6,428,+1(10),+2(55),+2(75),+1(85),-4,,,,,+1(21),+1(142),
25,北京师范大学,TrainNewBee,6,455,+1(11),+1(47),+2(142),+1(56),,,,,,+1(21),+1(158),
26,华中科技大学,Nebula,6,476,+1(11),+1(87),+1(51),+1(79),,,-5,,,+1(31),+2(197),
27,国防科技大学,alpc_kepler,6,486,+1(4),+1(40),+2(119),+2(81),,-3,,,,+1(20),+1(182),
28,南京大学,Keep Alive,6,490,+1(4),+2(77),+2(109),+1(35),,,,,,+1(13),+2(192),
29,华南理工大学软件学院,My_cousin_doesn’t_know_FFT,6,500,+1(15),+2(41),+1(75),+1(60),-11,,,,,+2(52),+2(197),
30,华东师范大学,Quantum Engineering Drawing,6,501,+1(15),+1(51),+1(132),+1(72),-4,,,,,+1(34),+1(197),
31,浙江大学,Retired Blind Quitter,6,507,+1(6),+1(32),+3(162),+1(44),-3,,,,,+2(58),+1(145),
32,中山大学,SYSU_DigitalLove,6,550,+1(13),+3(127),+1(49),+2(92),,,-1,,,+1(27),+1(182),
33,电子科技大学,UESTC_Maglev,6,560,+1(10),+2(53),+2(64),+2(192),-2,,,,,+1(16),+1(165),
34,浙江工业大学,Utopian,6,563,+1(9),+2(110),+1(59),+1(72),,,,,,+1(25),+4(208),
35,浙江大学城市学院,FD_CLUB,6,598,+1(13),+2(74),+3(93),+2(170),-17,,,,,+1(17),+2(151),
36,电子科技大学,UESTC_FinalFantasy,6,600,+1(8),+1(56),+1(100),+1(134),,,,,,+2(64),+1(218),
37,中山大学,SYSU_ArrivalOfBetterWorld,6,625,+2(12),+4(83),+1(125),+2(93),-1,,-4,,,+1(18),+1(194),
38,华南理工大学计算机学院,the Trident of Poseidon,6,641,+1(4),+2(196),+1(75),+1(122),-3,,,,,+1(16),+1(208),
39,北京航空航天大学,Deticxe,6,683,+1(7),+4(85),+1(116),+2(92),,-2,,,,+2(56),+3(187),
40,浙江师范大学,nothing is unacceptable,6,692,+1(6),+1(113),+2(160),+1(76),,,,,,+1(30),+4(227),
41,福建工程学院,FJUT is the Best School,6,717,+1(13),+1(105),+2(95),+1(172),-1,,,,,+2(55),+1(257),-2
42,南京大学,tan90°,6,722,+1(9),+1(50),+1(141),+3(67),,,,,,+1(113),+2(282),
43,杭州电子科技大学,HDU-Freshmen2017,6,723,+1(7),+1(150),+1(220),+3(70),-4,,,,,+1(33),+1(203),
44,南京航空航天大学,Baby is in a mood,6,730,+2(7),+3(75),+1(63),+2(175),-11,,,,,+1(20),+3(270),
45,中国传媒大学,Flappy Fish,6,771,+1(7),+2(100),+2(144),+1(63),,,,,,+2(80),+4(257),-2
46,杭州师范大学,my teammates are boxes,6,777,+3(22),+2(74),+2(134),+1(85),-2,,,,,+1(34),+5(268),
47,浙江大学宁波理工学院,I am modest,6,791,+1(6),+4(223),+1(35),+1(100),-4,,,,,+3(61),+1(266),
48,湖南科技大学,Aurora,6,866,+1(11),+1(69),+2(196),+2(134),,,,,,+1(37),+5(299),
49,南京邮电大学,NJUPT_ I think ok,6,871,+1(18),+1(91),+3(173),+1(82),,,,,,+2(86),+5(281),
50,南京航空航天大学,Overwatch,6,916,+2(9),+5(150),+1(89),+2(199),-2,,,,,+1(37),+2(292),
51,南京理工大学,Free Loop,6,972,+2(16),+1(209),+1(274),+1(124),,,,,,+1(61),+2(248),
52,天津大学,TJU_Team09,5,358,+2(9),+2(128),+1(102),+1(44),,,,,,+1(35),-16,
53,西南交通大学,LightMoon,5,416,+1(11),+2(28),+3(71),+1(161),-5,,,,,+2(65),-6,
54,天津大学,Tju_master_driver,5,429,+1(9),+2(47),+2(151),+1(108),-5,,,,,+1(74),-5,
55,四川大学,01NeverGoodbye,5,433,+1(10),+1(170),+1(102),+1(65),,,,,,+2(86),-3,
56,大连理工大学软件学院,duduruduru,5,435,+1(6),+2(181),+1(44),+2(140),,,,,,+1(24),-6,
57,中国科学技术大学,USTC_8,5,443,+1(8),+3(104),+1(133),+3(91),,,,,,+1(27),-7,
58,北京理工大学,BIT_Vegetable chicken Nords in skyrim,5,483,+1(13),+3(195),+1(95),+1(110),-2,,,,,+1(30),-6,
59,上海大学,Atmosphere,5,496,+1(8),+1(144),+3(195),+1(87),,,,,,+1(22),-1,
60,福州大学,i don’t think so,5,498,+1(7),+2(178),+1(121),+2(126),,,,,,+1(26),-2,
61,浙江师范大学,you said all ok,5,503,+1(12),+1(47),+4(190),+2(139),,,,,,+1(35),-9,
62,北京邮电大学,I tell you I’ve experienced 103 battles,5,532,+1(12),+2(121),+1(165),+1(150),,,,,,+1(64),,
63,南华大学,Nalloween@USC,5,562,+1(12),+2(241),+1(82),+2(144),,,,,,+1(43),-2,
64,广州大学,So here comes the question…,5,576,+1(15),+4(249),+1(130),+1(89),,,,,,+1(33),-3,
65,哈尔滨工业大学,Dog Food Really Terrible,5,584,+1(17),+3(133),+1(183),+1(142),-1,-3,,,,+1(69),,
66,合肥工业大学,This game don’t have SSR,5,597,+1(7),+4(165),+2(187),+1(122),,,,,,+1(36),-5,
67,哈尔滨工业大学,MagnetLink,5,621,+2(17),+3(124),+2(154),+2(127),-4,,,,,+3(59),,
68,宁波大学,Don’t block us,5,646,+1(15),+1(113),+1(246),+1(204),,,,,,+1(68),,
69,大连理工大学软件学院,right or not,5,658,+1(11),+2(120),+2(179),+2(151),,,,,,+2(117),-2,
