Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,全给党,9,1081,+1(108),+2(221),+1(31),+1(244),+1(19),,+1(142),+4(134),,,-10,+1(10),+3(52)
2,2,中山大学,中山大学_自动钢琴,9,1127,+1(113),+2(246),+1(37),+1(218),+1(66),,+1(114),+3(208),,,-2,+1(14),+1(51)
3,3,上海交通大学,近王者,9,1471,+1(103),,+1(49),+1(290),+3(94),,+3(155),+3(187),,,+6(266),+1(13),+2(74)
4,,上海交通大学,魔典,8,929,+2(155),,+1(59),+2(237),+1(112),,+1(46),+1(137),,,-8,+1(11),+3(92)
5,4,电子科技大学,UESTC_星幻,8,985,+1(157),,+1(21),+1(262),+4(114),,+1(122),+1(193),,,,+1(12),+1(44)
6,,上海交通大学,耀变星,8,1192,+1(156),,+1(56),+2(288),+2(57),,+2(161),+3(242),,,-3,+1(16),+2(96)
7,5,南京航空航天大学,偷煤人,8,1225,+1(128),+4(288),+1(100),,+2(141),,+2(34),+1(93),,,,+1(45),+5(216)
8,6,南京大学,我，青玉德，吃鸡！,8,1500,+1(169),,+1(48),+7(285),+3(75),,+5(238),+6(220),,,,+1(12),+2(93)
9,7,北京师范大学,QQ奶糖,7,707,+1(121),,+2(50),,+2(72),-8,+1(96),+3(215),,,,+1(4),+1(69)
10,8,北京交通大学,猜歌群,7,739,+1(168),,+1(37),,+1(70),,+3(133),+1(230),,,,+1(12),+1(49)
11,9,广东工业大学,无尽挑战,7,773,+2(136),+2(223),+2(49),,+1(37),,+1(123),-12,,,,+1(23),+2(102)
12,10,北京理工大学,正在登录,7,819,+1(185),,+1(42),-6,+2(53),,+1(175),+1(218),,,,+1(13),+2(93)
13,11,东北大学,测试账号,7,821,+1(183),,+1(71),,+1(36),,+1(126),+3(225),,,,+2(17),+3(63)
14,12,重庆邮电大学,唐红的恋歌,7,839,+1(182),,+1(29),-4,+3(110),,+1(143),+1(230),,,,+1(21),+1(84)
15,13,清华大学,动次打次普利咕噜卜多毕陆翁,7,878,+1(63),,+1(41),,+2(108),,+1(211),+1(287),,,,+1(15),+2(113)
15,,北京理工大学,北理六队,7,878,+1(171),,+1(28),,+1(77),,+1(64),+3(290),,,-1,+1(11),+5(117)
17,,东北大学,淘汰之刃,7,928,+1(193),,+1(49),-1,+2(105),,+2(140),+1(260),,,,+1(12),+3(89)
18,,中山大学,SYSU_打印机缺纸,7,970,+1(143),,+1(54),,+1(93),,+1(195),+3(293),,,,+2(15),+4(57)
19,14,哈尔滨工业大学,为什么您这么强,7,985,+1(163),,+1(41),,+1(59),,+3(263),+5(217),,,-2,+1(13),+2(89)
20,15,北京航空航天大学,CE使我快乐,7,1080,+1(218),,+3(69),,+2(95),,+1(117),+6(297),,,,+1(12),+2(92)
21,16,天津大学,Tju_WannaCry,7,1084,+1(150),,+1(52),,+7(119),,+2(189),+5(298),,,,+1(32),+1(24)
22,17,中国石油大学（华东）,三只松鼠,7,1166,+2(244),,+1(46),,+3(50),,+4(125),+5(283),,,,+1(14),+4(144)
23,,清华大学,不会英语,7,1168,+4(67),-1,+1(146),,+2(196),-1,+1(264),+6(90),,,,+1(12),+5(133)
24,18,西安交通大学,说学逗唱,7,1220,+1(225),,+1(48),,+2(165),,+1(260),+4(297),,,,+2(13),+1(112)
25,19,浙江师范大学,一萌带二傻,6,469,+1(96),,+1(39),,+1(42),,+1(139),-2,,,-9,+1(17),+4(76)
26,20,四川大学,野草,6,550,+1(190),,+1(26),,+2(55),,+2(128),-2,,,,+1(13),+2(78)
27,21,南京理工大学,十项全能,6,592,+2(136),,+1(38),,+2(77),,+1(172),-2,,,,+2(14),+1(95)
28,,哈尔滨工业大学,这不太好吧,6,611,+1(176),,+1(57),,+1(41),,+2(206),,,,,+1(22),+1(89)
29,22,浙江理工大学,牛吃草,6,615,+1(238),,+2(63),,+2(30),,+1(136),-5,,,,+1(27),+1(81)
30,23,华东交通大学,"舟停靠,月色渐渐明了",6,629,+1(247),,+1(31),,+2(58),,+2(139),-3,,,,+1(14),+1(100)
31,24,中国科学技术大学,蕾远,6,643,+1(175),,+1(25),,+2(86),,+1(217),-2,,,,+1(13),+1(107)
32,25,华东师范大学,听取WA声一片,6,654,+1(211),,+1(36),,+3(63),,+1(141),-8,,,,+1(15),+3(108)
33,26,深圳大学,喵帕斯,6,657,+1(228),,+1(47),,+1(76),,+4(192),-7,,,,+1(13),+1(41)
34,27,复旦大学,巴洛克,6,661,+1(61),,+2(59),,+2(57),,+3(230),-3,,,,+1(12),+4(102)
35,28,浙江工业大学,ZJUT1,6,673,+1(213),,+1(33),,+1(76),,+3(234),-1,,,,+1(18),+1(59)
36,29,哈尔滨工程大学,轻轻的一个稳,6,675,+1(193),,+1(41),,+3(94),,+1(181),-1,,,,+1(20),+2(86)
37,,浙江理工大学,来包辣条压压惊,6,706,+3(213),,+2(51),,+2(62),,+1(152),-3,,,,+1(17),+3(91)
38,30,安徽大学,墙角猫,6,707,+1(259),,+1(49),,+2(131),,+2(97),,,,,+1(13),+1(118)
39,31,南京邮电大学,从零开始,6,708,+1(287),,+1(30),,+1(59),,+1(203),,,,,+2(24),+1(85)
40,32,福建工程学院,迷路的指针,6,714,+2(156),,+1(35),,+1(72),,+2(265),-7,,,,+2(12),+2(94)
41,,华东师范大学,随便啦,6,752,+2(256),,+1(53),,+2(125),,+3(163),-7,,,,+1(24),+2(31)
42,33,上海大学,时梭者,6,764,+2(251),,+1(32),,+1(64),,+2(275),,,,,+1(18),+1(84)
43,,北京交通大学,终末之冬,6,767,+1(233),,+2(80),,+3(115),-16,+1(139),,,,,+1(17),+4(63)
44,34,天津工业大学,90后老男人,6,773,+1(283),,+2(31),,+1(63),,+2(236),,,,,+1(26),+1(94)
45,35,武汉大学,魔极客,6,781,+1(123),,+1(58),,+3(90),,,+4(298),,,,+1(34),+3(38)
46,,北京航空航天大学,人生已经如此的艰难,6,787,+1(248),,+1(28),,+4(82),,+2(178),,,,,+1(16),+4(95)
47,36,苏州大学,为什么不问问海绵宝宝,6,797,+1(237),,+1(51),,+1(25),,+3(283),,,,,+1(31),+3(90)
48,,北京大学,红太阳果太阳,6,819,+1(98),,+2(59),,+1(85),,+5(240),-7,,,,+1(18),+4(159)
49,,浙江师范大学,随机,6,821,+3(214),,+1(29),,+1(46),,+3(269),,,,,+1(19),+4(104)
50,37,中国地质大学（北京）,哇！金色普通！,6,823,+1(206),,+1(31),,+2(107),,+1(257),-1,,,,+1(18),+3(144)
51,38,河海大学,在这炸丸子正宗,6,824,+2(280),,+2(46),,+1(90),,+2(224),-5,,,,+1(16),+1(108)
52,39,福州大学,无题,6,839,+2(216),,+1(72),,+1(144),,+2(214),-2,,,,+1(15),+2(118)
53,,浙江工业大学,ACarp,6,849,+2(276),,+3(91),,+1(43),,+1(152),-1,,,,+1(13),+4(154)
54,,清华大学,11说的话都队,6,893,+4(240),,+1(61),,+1(226),,+3(138),,,,,+1(22),+2(86)
55,40,江南大学,三只小学生,6,933,+1(287),,+2(55),,+1(80),,+2(225),,,,,+1(29),+4(157)
55,40,西南民族大学,光之冲风,6,933,+2(296),,+1(94),,+1(68),,+1(191),-5,,,,+2(31),+5(133)
55,,浙江理工大学,新蜜蜂小分队,6,933,+1(280),,+1(36),,+1(83),,+3(249),,,,,+1(13),+4(172)
58,42,山东大学,输入输出流,6,965,+2(268),,+2(86),,+3(69),,+3(198),,,,,+2(13),+2(171)
59,,北京师范大学,洛伦兹,6,1011,+4(263),,+3(70),,+1(118),,+4(223),,,,,+1(17),+2(140)
60,,天津大学,Tju_kakikukeko,6,1048,+2(260),,+2(110),,+2(76),,+3(289),,,,,+1(16),+2(177)
61,,哈尔滨工程大学,我是为了你的熊,6,1126,+1(267),,+1(125),,+2(103),,+5(287),,,,,+1(9),+3(195)
62,,复旦大学,维他奶,6,1172,+2(71),,+2(82),,+5(110),,,+7(252),,,,+1(18),+9(239)
63,,福州大学,大吉大利,5,346,,,+1(41),,+1(80),,+2(132),-5,,,,+1(15),+1(58)
64,,中山大学,SYSU_观星者,5,415,+1(147),,+1(41),,+4(64),,-4,-6,,,,+1(15),+1(88)
65,43,重庆大学,三瓶养乐多,5,437,+1(197),,+1(55),,+1(38),,-2,,,,,+1(19),+2(108)
66,,武汉大学,给楼上递PE,5,481,+1(155),,+1(46),,+1(75),,,,,,,+1(15),+5(110)
67,,中山大学,SYSU_三个胖子,5,494,+1(222),,+1(61),,+1(95),,-3,-6,,,,+2(20),+2(56)
68,,复旦大学,诺伦,5,496,+2(173),,+1(59),,+2(44),,-9,,,,,+1(7),+4(113)
69,44,华南农业大学,绅士,5,520,+2(223),,+1(55),,+1(81),,-4,,,,,+1(15),+2(106)
70,45,厦门大学,以下各队,5,525,+1(259),,+1(37),,+2(70),,-11,,,,,+1(14),+1(125)
71,46,北京邮电大学,打得不错,5,527,+1(283),,+1(38),,+1(55),,-1,-1,,,,+1(12),+3(99)
72,,中国科学技术大学,吃鸡大队,5,531,+3(168),,+2(107),,+1(78),,-6,,,,,+1(25),+3(53)
73,47,东南大学,大吉大利晚上吃鸡,5,544,+1(236),,+1(88),,+1(50),,-2,-6,,,,+1(18),+3(112)
74,48,中国科学院大学,前方高能所,5,551,+1(203),,+1(31),,+4(102),,,-7,,,,+2(12),+3(83)
75,49,中国矿业大学,我的队名不可能让你看到,5,555,,,+1(42),,+2(101),,+1(209),,,,,+1(14),+3(129)
76,50,河南大学,给我个银好不好,5,567,+3(222),,+1(37),,+3(76),,-3,,,,,+1(13),+3(99)
77,51,中国人民解放军信息工程大学,三脸懵逼,5,575,+1(293),,+1(61),,+2(92),,-21,,,,,+1(16),+2(73)
78,,北京航空航天大学,头文件,5,578,+2(200),,+1(28),,+3(83),,-17,,,,,+1(14),+4(133)
79,52,华东理工大学,黑水舰队,5,587,+1(178),,+3(82),,+3(93),,,,,,-2,+1(7),+2(127)
80,53,河南理工大学,充满愉悦的为朕粉碎吧,5,590,-4,,+1(143),,+3(55),,+1(181),-1,,,-1,+2(16),+2(115)
81,54,南华大学,Foolfish@USC,5,595,+2(200),,+1(47),,+1(90),,-3,,,,,+1(16),+4(162)
82,,山东大学,两个小辫,5,597,+1(221),,+1(64),,+2(98),,-8,,,,,+1(20),+2(154)
83,55,南开大学,鹏,5,612,+1(238),,+1(39),,+1(108),,,,,,,+1(14),+4(153)
83,55,华北电力大学,很惭愧,5,612,,,+1(37),,+1(70),,+2(258),,,,,+1(18),+4(149)
85,57,浙江工业大学之江学院,不看晕针,5,613,+1(209),,+1(31),,+5(91),,-1,,,,,+2(18),+4(104)
86,58,山东理工大学,队友不知道叫什么队名,5,617,-8,,+2(78),,+1(101),,+1(237),,,,,+1(8),+2(153)
87,,天津大学,TJU_Are_you_hungry,5,621,,,+1(43),,+1(79),,+3(229),,,,,+1(19),+4(151)
88,59,华中科技大学,你们的代码都不队,5,646,-1,,+2(85),,+1(100),,+2(235),,,,,+1(18),+2(148)
89,,电子科技大学,UESTC_姚姚乐,5,651,+1(266),,+1(36),,+4(177),,-1,,,,,+1(19),+2(73)
90,,华南农业大学,极限火花,5,674,-7,,+1(64),,+2(84),,+1(282),,,,,+1(25),+2(179)
91,60,成都信息工程大学,Chobi17,5,675,,,+1(61),,+1(93),,+3(281),,,,,+1(19),+2(161)
92,61,西北大学,牙髓发炎,5,699,,,+1(55),,+3(130),,+3(150),,,,,+2(23),+2(221)
93,62,郑州轻工业学院,我觉得OK,5,702,,,+2(106),,+2(61),,+4(265),,,,,+1(10),+2(140)
94,63,杭州电子科技大学,HDU-Wcdw,5,713,+4(290),,+1(41),,+3(80),,-1,,,,,+1(10),+4(132)
