Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,清华大学,新日暮里/187/B94,11,1143,+1(5),+1(55),+2(120),+2(134),-,+3(243),+1(100),+1(99),-1,+1(77),+2(34),+1(165),+1(11)
2,北京大学,全给党/8/E102,11,1183,+1(5),+1(36),+2(93),+1(46),-,+2(262),+2(164),+2(145),-1,+1(60),+3(60),+1(182),+1(10)
3,清华大学,天才卡题少女/186/A12,11,1516,+1(14),+1(80),+1(44),+1(133),-,+1(233),+7(299),+1(166),-,+2(114),+1(33),+2(221),+1(19)
4,清华大学,马上就要被楼下超过了/185/D41,11,1669,+1(14),+1(80),+2(154),+2(254),-,+2(284),+3(119),+5(248),-,+2(114),+1(103),+1(82),+1(17)
5,北京航空航天大学,黑人问号.jpg/12/E51,10,1176,+1(9),+1(143),+1(121),+1(202),-,+1(111),-,+1(251),-,+1(95),+1(54),+1(174),+1(16)
6,北京师范大学,QQ奶糖/28/A21,10,1213,+1(4),+1(118),+1(106),+1(209),-,-8,+1(252),+1(178),-,+1(157),+1(47),+3(95),+1(7)
7,上海交通大学,夜幕/211/E65,10,1220,+1(10),+1(92),+1(105),+2(143),-,-7,+2(257),+4(129),-,+2(147),+1(28),+1(183),+1(6)
8,清华大学,鏼鏼发抖/188/E56,10,1230,+1(9),+2(132),+1(79),+3(148),-,-5,+4(204),+3(231),-,+1(61),+1(54),+1(138),+1(14)
9,香港中文大學,誒射能特/261/C56,10,1243,+2(10),+1(131),+1(91),+1(86),-,-6,+1(227),+2(203),-1,+1(55),+1(45),+4(280),+1(15)
10,浙江大学,Legilimens/264/B54,10,1281,+1(7),+3(134),+1(184),+2(42),-1,-1,+3(284),+1(167),-1,+1(65),+1(46),+2(221),+1(11)
11,杭州电子科技大学,杭电老年队/101/C81,10,1430,+1(7),+1(93),+1(146),+2(257),-,-,+1(204),+1(160),-,+1(106),+2(54),+4(291),+1(12)
12,浙江大学,Reconquista/265/F13,10,1467,+1(6),+3(224),+2(199),+2(118),-,-,+2(239),+1(139),-,+1(108),+1(39),+2(261),+1(14)
13,中山大学,SYSU_老铁/320/D14,10,1536,+1(8),+1(56),+5(216),+2(78),-,-,+1(274),+3(223),-,+1(133),+3(93),+1(262),+1(13)
14,福州大学,帕奇利兹/79/E91,10,1616,+1(12),+1(114),+2(177),+1(243),-,-3,+1(157),+7(290),-,+3(64),+3(60),+3(224),+1(15)
