Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J
1,清华大学,Shinnippori,9,1233,+1(240),-2,+2(140),+5(169),+1(17),+1(10),+3(159),+1(50),+1(278),+1(30)
2,上海交通大学,Nightfall,8,1029,+3(193),,+2(198),+1(248),+1(9),+1(28),+2(73),+2(84),-4,+1(96)
3,清华大学,jsssssssssshiverb,8,1191,-5,,+2(284),+1(154),+1(17),+1(29),+4(254),+4(151),+3(90),+1(32)
4,复旦大学,Euphemia,8,1230,-1,,+2(81),+1(276),+1(14),+1(35),+2(166),+5(238),+1(131),+1(169)
5,福州大学,Pachirisu,8,1581,,,+1(155),+1(276),+1(21),+1(33),+10(282),+1(116),+5(240),+2(178)
6,浙江大学,Reconquista,7,900,,,+2(269),+1(263),+1(32),+1(26),+1(124),+2(99),-1,+1(47)
7,清华大学,Fans,7,916,-9,,,+3(284),+2(19),+1(38),+2(107),+1(100),+3(220),+1(28)
8,浙江大学,Legilimens,6,911,,,-1,,+1(30),+1(20),+3(191),+3(232),+2(280),+1(58)
9,上海交通大学,Arondight,6,959,,,,+1(267),+2(52),+1(31),+2(133),+2(192),-6,+5(144)
10,中山大学,SYSU_DeepDarkNaive,6,1057,,,,+2(286),+1(25),+1(36),+4(227),+3(253),,+3(70)
11,中山大学,SYSU_ArrivalOfBetterWorld,6,1125,-1,,,+1(222),+1(45),+1(56),+5(271),+5(239),,+1(132)
12,中山大学,SYSU_Iron,5,671,,,,+1(296),+1(20),+1(36),-12,+5(166),-2,+2(53)
13,杭州电子科技大学,HDU-AcmKeHaoWanLe,5,702,,,,-6,+1(19),+1(45),+9(282),+1(128),,+1(68)
14,长安大学,Think Once after coding,5,716,,,,,+1(32),+1(59),+1(213),+3(277),-7,+1(95)
15,北京交通大学,GuessSongs,5,762,,,,,+1(48),+1(33),+2(263),+4(273),,+1(65)
16,南京大学,StayReal,5,767,,,,,+1(10),+1(28),+10(291),+2(152),-8,+1(86)
17,华中科技大学,Nebula,5,776,,,,-2,+1(55),+1(47),+4(217),+5(215),,+1(102)
18,北京师范大学,lorentz,5,809,,,,,+1(37),+1(43),+5(241),+3(289),,+1(79)
19,电子科技大学,UESTC_Starmania,4,371,,,,,+1(14),+1(29),+3(180),-9,-2,+1(108)
20,同济大学,LRbC,4,428,,,,,+1(21),+1(38),-12,+2(262),,+1(87)
21,华东师范大学,502 Bad Gateway,4,474,,,,,+1(15),+1(36),-5,+5(245),,+2(78)
22,北京邮电大学,Tempest Triple,4,500,,,,,+1(17),+1(39),+3(196),-12,,+4(148)
23,复旦大学,Mr_Science,4,512,,,,,+2(43),+1(48),-5,+5(252),-9,+1(69)
23,西南民族大学,Time_Storm,4,512,,,,,+2(72),+2(56),-6,+1(264),,+1(80)
25,山东师范大学,SDNU_End and Begin,4,559,,,,,+2(29),+1(48),-11,+8(181),,+3(101)
26,山东大学,SDU_IOStream,4,585,,,,,+1(15),+1(44),+9(240),,,+3(86)
27,北京航空航天大学,L.I.P,4,597,,,,,+2(67),+1(39),+3(299),,,+1(132)
28,浙江工业大学,ACarp,4,635,,,,,+2(29),+1(51),+5(176),,,+1(279)
29,湖南大学,Oolong,4,647,,,,,+1(44),+1(51),+2(211),-1,,+4(261)
30,西北农林科技大学,Iterator,4,781,,,,,+1(29),+2(74),,+6(228),,+3(290)
31,北京邮电大学,by,4,793,,,,,+1(16),+1(41),+7(293),-1,,+5(243)
32,浙江大学,Hephaestus,3,169,,,,,+2(22),+1(57),-6,-4,,+1(70)
33,东北大学,Culling Blade,3,180,,,,,+1(40),+1(24),-6,-1,,+1(116)
34,中国科学院大学,downtown tourist,3,184,,,,,+1(19),+1(44),-5,,,+1(121)
35,电子科技大学,UESTC_Fantasy,3,189,,,,-4,+1(31),+1(51),-4,-1,,+2(87)
36,电子科技大学,UESTC_p90rushB,3,208,,,,,+1(37),+1(70),-5,-1,,+1(101)
37,北京航空航天大学,TooFarTooClose,3,217,,,,,+2(58),+1(56),-8,-6,,+1(83)
38,中国科学技术大学,Leiyuan,3,241,,,,,+1(32),+1(58),-5,-1,,+3(111)
39,中国传媒大学,EatWhat,3,251,,,,,+1(13),+1(44),+4(134),,-5,-3
40,国防科技大学,alpc_kepler,3,254,,,,,+2(57),+1(32),-12,-4,,+2(125)
41,青岛大学,Black Watch,3,263,,-1,,,+1(26),+1(52),-4,,,+2(165)
42,华中科技大学,Your code has bug,3,264,,,,,+1(28),+1(78),-5,,,+2(138)
43,深圳大学,SZU_MiaoPass,3,266,,,,,+1(26),+1(71),-5,-2,,+1(169)
44,北京交通大学,Ahiahiahia,3,292,,,,,+1(39),+1(55),,-1,,+1(198)
45,西安交通大学,int mian,3,293,,,,,+1(21),+1(60),-2,-6,,+1(212)
46,华南理工大学,Re_Freshmen,3,315,,,,,+2(34),+1(58),-13,-10,,+2(183)
47,华东理工大学,To the moon,3,326,,,,,+1(23),+1(64),-3,,,+2(219)
48,杭州电子科技大学,HDU-Jackaroo,3,329,,,,,+1(25),+1(55),-36,,,+6(149)
49,中国科学院大学,ping_ping_ping,3,336,,-4,,,+1(85),+2(52),-6,,-2,+1(179)
50,福州大学,void,3,342,,,,,+1(26),+1(43),-6,,,+2(253)
51,北京邮电大学,Greedy hmz,3,354,,,,,+1(37),+1(67),-5,,,+2(230)
52,厦门大学,Sharp,3,363,,,,,+1(37),+1(30),+4(236),,,-30
53,中国人民大学,pancake,3,366,,,,,+2(75),+1(50),+1(221),,,-3
54,北京工业大学,Team Team!,3,367,,,,,+2(59),+2(62),+3(166),-7,,
55,西北大学,pulpitis,3,380,,,,,+1(38),+1(44),+4(238),,,-6
56,广东工业大学,CatchDog,3,382,,,,,+2(70),+1(90),-10,-1,,+2(182)
