Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,北京大学,贝塔猫 (BETA CAT ),11,1029,+1(3),+1(247),-19,+1(133),+2(99),+1(7),+2(173),+1(108),+1(58),+2(40),,+2(35),+1(46)
2,西北工业大学,NPU_夏威夷吉他 (NPU_Hawaii_Guitar ),10,831,+1(0),,,+1(241),+1(77),+1(6),+1(118),+1(142),+1(101),+1(36),-7,+1(23),+1(87)
3,复旦大学,Wood Cube (Wood Cube ),9,607,+1(11),-3,-10,+1(131),+2(45),+1(19),,+2(114),+2(82),+1(54),,+1(64),+1(27)
4,北京师范大学,QQ奶糖 (MilkCandy ),9,762,+1(2),,,-8,+4(169),+1(11),+1(212),+3(103),+1(58),+2(41),,+1(28),+1(18)
5,中山大学,自动钢琴 (SYSU_PlayerPiano ),9,861,+1(2),,,+2(281),+1(152),+1(14),-1,+2(143),+1(72),+1(26),,+1(79),+1(52)
6,广东工业大学,无尽挑战 (EndlessChallenge ),9,950,+1(0),,,+1(244),+1(133),+1(6),-1,+1(116),+1(68),+1(22),,+1(53),+5(228)
7,华中科技大学,星云 (Nebula ),9,1034,+1(6),,,+1(148),+1(129),+1(15),+4(285),+2(213),+1(48),+1(53),,+2(37),-2
8,浙江大学,Reconquista (Reconquista ),8,451,+1(1),,,,+3(123),+1(8),,+1(55),+2(97),+2(42),-2,+1(29),+1(16)
9,浙江大学,广东老乡 (LeatherClub ),8,505,+1(1),,,,+2(139),+1(15),,+1(102),+2(93),+1(50),,+1(35),+1(30)
9,南京大学,StayReal (StayReal ),8,505,+1(2),,,,+2(168),+1(11),,+3(85),+1(51),+2(40),-17,+1(23),+1(45)
11,北京航空航天大学,TAT (Ascender ),8,524,+1(1),,,,+1(134),+1(19),,+1(108),+1(85),+1(47),,+1(73),+1(57)
12,北京大学,按任意键继续 (system_pause ),8,645,+1(1),,-9,,+1(113),+1(29),,+1(126),+1(96),+1(40),-7,+3(67),+1(133)
13,西北工业大学,NPU_底层队伍 (NPU_Diceng Team ),8,682,+1(11),-2,,,+1(126),+1(7),,+1(49),+1(148),+1(37),,+2(111),+2(153)
14,南京大学,抱紧学弟大腿 (The leg is so strong ),8,686,+1(5),,-2,,+2(104),+1(15),,+1(99),+1(129),+1(57),,+1(34),+2(203)
15,电子科技大学,UESTC_ELSE (UESTC_ELSE ),8,708,+1(0),,,,+1(198),+2(16),-2,+1(103),+1(78),+1(43),,+1(63),+3(147)
16,北京航空航天大学,CE使我快乐 (ACMakeMeHappier ),8,724,+1(0),,,-2,+3(194),+2(13),,+1(144),+1(99),+2(69),,+1(37),+1(88)
17,南京航空航天大学,雨泣 (rain cries ),8,760,+1(1),,,,+1(252),+2(21),,+1(168),+1(98),+2(63),,+1(32),+1(85)
18,山东大学,骑士王的荣耀 (Excalibur ),8,803,+1(10),,,,+1(260),+1(4),,+2(185),+1(76),+2(55),,+1(42),+1(131)
19,北京大学,谬误之扉 (Wrong Door ),8,836,+1(16),,,-10,+3(262),+1(14),,+1(89),+1(33),+1(66),,+1(293),+1(23)
20,浙江大学城市学院,FD_CLUB (FD_CLUB ),8,840,+1(0),-4,,,+1(176),+2(13),,+2(207),+2(201),+1(49),,+2(28),+1(86)
21,北京航空航天大学,水能载舟 (Deticxe ),8,856,+1(1),,,-1,+2(194),+1(25),,+1(216),+1(161),+2(14),,+1(69),+1(136)
22,香港中文大学,誒射能特 (ACellent ),8,876,+1(4),,,-2,+4(287),+2(8),,+1(87),+1(100),+3(55),,+1(32),+2(163)
23,复旦大学,天问 (_Atlas_ ),8,926,+1(1),,,-3,+3(217),+1(20),,+2(213),+1(70),+4(110),,+1(142),+1(33)
24,福州大学,花火 (hanabi ),8,937,+1(2),,,-16,+1(278),+1(20),,+1(191),+3(121),+1(39),,+1(92),+1(154)
25,中国人民大学,心中没有b树 (No B tree in our hearts ),8,1082,+1(0),,,,+5(294),+1(39),,+1(250),+1(102),+1(26),,+1(278),+1(13)
26,大连理工大学,奇点 (Infinitesimal ),8,1099,+1(4),,,,+3(268),+1(20),,+1(224),+1(174),+1(63),,+1(151),+1(155)
27,南京航空航天大学,学习使我快乐 (Overwatch ),8,1136,+1(0),,,,+4(211),+1(20),,+2(287),+1(138),+1(39),,+3(270),+1(51)
28,中山大学,代码果冻 (SYSU_CodeJelly ),8,1165,+1(10),,,,+1(240),+1(25),,+3(178),+2(75),+2(20),,+1(81),+11(256)
29,香港科技大学,击败一全 (Beat Yiquan ),7,538,+1(0),,,,+3(156),+1(3),-5,+3(148),+1(67),+2(50),,+1(14),-1
30,华南理工大学,我的女朋友们 (My_Girlfriends ),7,539,+1(3),,,,+1(149),+1(11),,+2(169),+1(74),+2(45),,+1(48),-22
31,电子科技大学,UESTC_小林家的程序员 (UESTC_kanna_prpr ),7,542,+1(11),,,,+1(135),+2(9),,+1(177),+1(113),+1(49),,+1(28),-19
32,天津大学,TJU_WannaCry (TJU_WannaCry ),7,580,+1(3),,,,-9,+1(11),,+1(124),+1(109),+1(43),,+1(28),+1(262)
33,电子科技大学,UESTC_鬼才 (UESTC_EvilGeniuses ),7,606,+1(9),,,,+3(289),+1(5),,+1(131),+1(69),+1(24),,+1(39),-3
34,福州大学,大吉大利 (ChickenDinner ),7,647,+1(3),,,,+2(257),+1(34),,+3(173),+1(35),+1(26),,+1(59),-3
35,中南民族大学,奉均衡之命 (As balance dictates ),7,692,+1(6),,,,-5,+1(20),,+1(101),+1(186),+1(67),,+1(119),+2(173)
