Rank,School Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
1,1,Gold,浙江大学,Legilimens,6,813,+1(127),+1(7),,,+1(231),,,-6,+1(21),+1(164),+1(263)
2,2,Gold,中山大学,SYSU_ Iron,6,889,+2(231),+1(12),,,+2(101),,,+2(264),+1(25),+2(176),-3
3,3,Gold,北京大学,Squirtle,6,910,+1(236),+1(7),,,+3(164),,,+5(237),+1(22),+1(124),
4,,Gold,中山大学,SYSU_PlayerPaino,6,988,+2(291),+1(11),,,+1(255),,,+1(239),+1(26),+2(126),
5,4,Gold,上海交通大学,Caladbolg,5,672,-1,+1(36),,,+2(128),,,+2(267),+1(23),+1(178),
5,5,Gold,清华大学,One Drag Two,5,672,-3,+1(5),,,+1(277),,,+3(177),+1(18),+3(115),
7,6,Gold,西北工业大学,NPU_Diceng Team,5,676,,+2(15),,,+2(73),,,,+1(35),+2(277),+1(216)
8,,Gold,清华大学,Groundhog,5,709,+1(248),+1(14),,,+1(168),,,-7,+1(40),+1(239),
9,7,Gold,电子科技大学,UESTC_Starmania,5,746,-5,+1(10),,,+1(253),,,+1(247),+1(36),+2(180),
10,,Gold,上海交通大学,Durandal,5,834,-6,+2(11),,,+1(178),,,+4(287),+1(18),+3(220),
11,,Gold,浙江大学,Hephaestus,5,837,+8(290),+1(10),,,+1(204),,,,+1(38),+1(155),
12,8,Gold,北京师范大学,MilkCandy,5,951,-4,+1(7),,,+1(173),,,+11(264),+1(27),+5(200),
13,9,Gold,哈尔滨工业大学,WHYUrSoStrong,5,985,,+1(5),,,+2(258),,,,+1(44),+5(296),+3(242)
14,10,Gold,北京航空航天大学,heynihao,4,334,,+1(6),,,+2(85),,,+1(186),+1(37),,
15,11,Gold,厦门大学,Sharp,4,395,,+1(11),,,,,,+1(247),+1(26),+1(111),
16,12,Gold,南京理工大学,Decathletes,4,415,,+1(8),,,-1,,,+1(194),+1(65),+1(148),
17,13,Gold,成都信息工程大学,apocrypha,4,429,,+1(8),,,-4,,,,+1(27),+1(155),+1(239)
18,14,Gold,北京交通大学,Fimbulvetr,4,445,,+1(8),,,+1(227),,,-9,+1(35),+2(155),
19,15,Gold,同济大学,LRbC,4,453,,+1(9),,,,,,,+1(36),+1(137),+3(231)
20,,Gold,清华大学,CYvan,4,460,,+1(12),,,+1(164),,,,+1(52),+1(232),
21,,Gold,哈尔滨工业大学,Painful Drawing Pen,4,482,,+1(10),,,,,,+1(148),+1(25),+2(279),-5
22,,Gold,北京大学,I am angry,4,495,-1,+1(55),,,,,,,+1(16),+1(159),+1(265)
23,16,Gold,广州大学,Aestus Estus,4,520,-1,+1(6),,,+3(168),,,,+1(34),+2(252),-3
24,17,Gold,浙江工业大学,ACarp,4,547,,+1(10),,,,,,+3(280),+1(27),+2(170),
25,18,Gold,重庆邮电大学,The Crimson Love Letter,4,572,,+1(10),,,+1(212),,,-1,+1(35),+5(235),
26,19,Gold,西安电子科技大学,Glory,4,620,,+1(11),,,,,,,+1(39),+4(286),+5(144)
27,20,Gold,华南师范大学,aszsyyst,4,628,,+1(38),,,,,,+2(218),+1(49),+3(283),
28,21,Gold,北京林业大学,1900,4,659,,+2(13),,,,,,,+1(47),+3(246),+1(293)
29,,Gold,西安电子科技大学,RedClothes,4,669,-7,+1(64),,,,,,,+1(79),+4(265),+3(161)
30,22,Gold,苏州大学,8ury L0ve,4,682,,+1(6),,,-1,,,+2(246),+1(96),+3(274),
31,23,Gold,南开大学,Don't worry,4,701,,+1(9),,,,,,+3(284),+1(115),+4(193),
32,24,Gold,杭州电子科技大学,HDU-NoResponse,4,705,,+1(17),,,,,,,+1(43),+5(283),+1(282)
33,25,Gold,复旦大学,Mr_Science,4,711,-2,+1(10),-2,,,,,+4(287),+1(46),+6(268),
34,26,Gold,深圳大学,SZU_MiaoPass,4,763,-6,+1(7),,,,,,,+1(42),+9(271),+1(283)
35,27,Gold,南京大学,rueeeeeeeeeeeem!,4,985,-14,+3(14),,,,,,+6(222),+2(45),+17(224),
36,28,Gold,北京化工大学,Small Red Cap Kaolengmian,3,99,,+1(8),,,,,,,+1(27),+1(64),
37,,Silver,浙江工业大学,Tiramisu,3,144,,+1(13),,,,,,-4,+1(38),+1(93),
38,29,Silver,东南大学,"winner winner,chicken dinner",3,158,,+1(13),,,,,,,+1(36),+1(109),-5
39,30,Silver,河南大学软件学院,OMG,3,160,,+1(13),,,,,,-2,+1(34),+2(93),
40,31,Silver,武汉大学,Preludes,3,172,,+1(8),,,,,,+1(127),+1(37),-4,-6
41,32,Silver,北京理工大学,Logining,3,173,-7,+1(10),,,,,,,+1(27),+1(136),
42,,Silver,北京大学,BETA CAT,3,186,,+1(10),,,,,,,+1(29),+1(147),
43,33,Silver,浙江大学宁波理工学院,The Powerpuff Girls,3,191,,+1(17),,,,,,,+1(56),+1(118),
44,34,Silver,浙江大学城市学院,cccavalier,3,193,-1,+2(14),,,,,,,+1(66),+1(93),
45,35,Silver,东北林业大学,LittleMole,3,194,,+1(23),,,,,,,+1(43),+1(128),
46,36,Silver,山东理工大学,el psy congroo,3,196,,+1(16),,,,,,,+2(58),+1(102),
47,37,Silver,华东师范大学,fans?of?503,3,207,-2,+1(13),,,,,,,+1(46),+1(148),
48,,Silver,华东师范大学,501 Not Implemented,3,209,,+1(13),,,,,,-4,+1(48),+1(148),
49,,Silver,北京大学,yyy,3,219,-2,+1(7),,,,,-5,,+1(26),+2(166),
50,38,Silver,黑龙江大学,together,3,220,-9,+1(8),,,,,,,+1(43),+1(169),
51,39,Silver,湖北工业大学,WiFi,3,230,,+1(25),,,,,,,+1(58),+2(127),
52,,Silver,山东理工大学,fight for what,3,233,,+1(9),,,,,-9,,+1(52),+3(132),
53,40,Silver,青岛大学,There Lighters,3,240,,+1(10),,,-1,,,,+1(35),+1(195),
54,41,Silver,金日成综合大学,RNS2018,3,243,,+1(28),,,+2(139),,,-6,+2(36),-7,
55,42,Silver,湖南理工学院,hnist[0],3,245,,+1(20),,,,,,,+1(89),+1(136),
55,43,Silver,福建农林大学,HIFIRE,3,245,,+3(15),,,,,,,+1(34),+1(156),
57,,Silver,北京化工大学,ZZL,3,248,,+1(17),,,,,,,+1(56),+1(175),
58,,Silver,苏州大学,MAGIC CONCH,3,249,,+1(21),,,,,,,+1(48),+2(160),
58,44,Silver,中国石油大学胜利学院,This is a name!eman a si ishT,3,249,,+1(19),,,,,,,+1(54),+1(176),
60,45,Silver,大连理工大学,Sagacious,3,250,-4,+1(13),,,+1(194),,,-6,+1(43),,
61,,Silver,东北林业大学,IAMSOCOOOOOOOOL,3,252,,+1(16),,,,,,,+1(37),+2(179),
61,,Silver,山东理工大学,niconiconi,3,252,,+1(10),,,-2,,,,+1(48),+1(194),
63,46,Silver,中北大学,NoDemon,3,253,,+2(14),,,,,,,+1(65),+2(134),
63,47,Silver,西南石油大学,SliverWing,3,253,,+1(8),,,,,-1,,+1(66),+1(179),
65,48,Silver,中国科学技术大学,Leiyuan,3,254,,+1(12),,,,,,,+1(49),+4(153),
66,49,Silver,宁波大学,FatTiger feels awkward,3,255,,+1(10),,,,,,,+2(39),+1(186),
66,50,Silver,中南大学,The Wing of Vengeance,3,255,,+1(9),,,+1(213),,,,+1(33),,
68,51,Silver,山东科技大学,SKD14598 Fearless,3,264,-3,+1(10),,,,,,,+1(66),+2(168),
69,52,Silver,上海理工大学,SaltedFish,3,265,,+1(10),,,,,,,+1(77),+2(158),
70,53,Silver,浙江师范大学,Give back my heart,3,266,,+3(29),,,,,,,+1(60),+1(137),
71,54,Silver,北京科技大学,Discovery,3,269,,+1(12),,,,,,,+1(39),+3(178),
72,,Silver,南京理工大学,Canoeing,3,272,,+1(14),,,,,,-4,+1(49),+1(209),
73,55,Silver,华南农业大学,SCAU_The Lost Second,3,273,,+1(14),,,,,,,+1(61),+2(178),
74,56,Silver,广东药科大学,Little Sister Let's Go,3,278,,+1(13),,,,,-2,,+1(39),+1(226),
75,57,Silver,香港大学,Turtle Racer,3,279,,+1(34),,,,,,,+1(77),+1(168),
75,58,Silver,长沙理工大学,Angry?Crow?Takes?Flight,3,279,,+1(8),,,,,,,+1(50),+1(221),
77,59,Silver,湖南工业大学,Pure Sugar,3,284,,+1(9),,,,,,,+1(40),+3(195),
77,,Silver,复旦大学,Animism,3,284,,+1(6),,,+1(258),,,,+1(20),-6,
79,60,Silver,湘潭大学,The Butterfly Effect,3,288,,+1(10),,,,,,,+1(33),+4(185),
80,61,Silver,福州大学,hanabi,3,289,,+1(11),,,,,,-37,+1(29),+3(209),
81,62,Silver,中南民族大学,As?balance?dictates,3,290,-4,+1(9),,,,,,,+1(69),+2(192),
82,63,Silver,北京师范大学珠海分校,Please prepare your vocal,3,292,,+2(13),,,,,,,+1(38),+1(221),
83,64,Silver,南京航空航天大学,Rain Cry,3,293,,+1(11),,,+2(138),,,,+2(104),-17,
84,65,Silver,山东大学,SDU_Chitanda,3,297,-1,+1(12),,,,,,,+1(37),+1(248),
85,66,Silver,南京晓庄学院,need more time,3,298,,+1(17),,,,,,,+1(75),+1(206),
86,67,Silver,广东外语外贸大学,HibertSpace_Team,3,299,,+1(16),,,,,,,+1(95),+1(188),-7
87,68,Silver,湖南文理学院,Evening for iron,3,301,,+1(11),,,,,,,+1(75),+2(195),
87,69,Silver,湖南科技大学,pulsating,3,301,,+1(9),,,,,,,+1(38),+2(234),
89,70,Silver,南京林业大学,Radjedef,3,302,-3,+1(12),,,,,-2,,+2(39),+1(231),-6
90,71,Silver,哈尔滨理工大学,HRBUST07,3,303,,+1(16),,,,,,,+1(94),+1(193),
91,,Silver,北京交通大学,"Winner winner,chicken dinner",3,306,,+1(16),,,,,,,+2(76),+1(194),
91,72,Silver,东华大学,DHU,3,306,,+1(14),,,+1(222),,,,+1(70),,
93,73,Silver,江西财经大学,cutie_with_me,3,308,-2,+1(17),,,,,,,+1(40),+1(251),
94,,Silver,青岛大学,SweatNeverLie,3,312,-2,+1(18),,,,,,,+1(47),+2(227),
95,,Silver,北京师范大学,MomentofTruth,3,318,,+1(11),,,,,,+1(221),+1(86),,
96,,Silver,北京理工大学,BIT Team No.6,3,319,,+1(8),,,,,,-6,+1(37),+4(214),
97,,Silver,山东理工大学,SDUT-team3,3,321,-1,+1(9),,,,,,,+1(63),+3(209),
98,74,Silver,中山大学新华学院,Damage from love,3,323,,+1(11),,,,,,,+1(67),+1(245),
99,,Silver,华东师范大学,502 Bad Gateway,3,325,,+1(19),,,,,,,+1(47),+5(179),-8
99,75,Silver,东北师范大学,three_PianZ,3,325,,+1(10),,,-1,,,,+1(90),+2(205),
101,76,Silver,西南交通大学,Wrong answer on test 104,3,326,,+2(10),,,,,,,+1(32),+4(224),
102,,Silver,西北工业大学,NPU_Shinonome Lab,3,330,,+1(10),,,,,,-4,+1(73),+2(227),
102,,Silver,中山大学,SYSU_NoBrandBoys,3,330,,+1(10),,,+2(252),,,,+1(48),-3,
