Rank,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
1,Animism,11,1363,+1(93),+1(56),+1(183),+1(26),+1(31),+1(20),+1(77),+1(132),+1(154),+2(237),+3(294)
2,Grimoire,10,981,+2(109),+1(51),+1(222),+1(29),+1(24),+1(18),+1(52),+1(134),+1(106),+2(196),-9
3,Gregtech,10,1107,+1(111),+1(106),+1(178),+1(43),+1(22),+1(40),+1(79),+1(144),+1(87),+2(277),-7
4,ACellent,10,1172,+1(108),+4(136),+1(204),+2(26),+1(18),+1(13),+2(55),+1(148),+1(72),-2,+4(272)
5,SYSU_DigitalLove,10,1417,+2(200),+2(150),+2(231),+1(61),+1(22),+1(43),+1(89),+1(149),+1(137),+1(275),-4
6,Beat Yiquan,9,633,+1(71),+1(88),+1(168),+1(17),+1(42),+1(30),+1(54),+1(126),+1(37),,
7,EndlessChallenge,9,755,+2(122),+1(23),+1(168),+2(18),+1(33),+2(67),+1(85),+2(64),+1(115),-1,-1
8,Aha!,9,1060,+2(153),+4(203),+1(224),+1(31),+1(24),+1(18),+1(70),+2(81),+1(176),,-4
9,ResuscitatedHope,8,831,+1(133),+2(95),+1(230),+1(46),+1(33),+1(26),+1(69),,+1(179),,
10,^^,8,938,+3(179),+1(76),+1(264),+1(34),+1(24),+1(41),+1(50),-5,+1(230),,
11,Play Energy,8,1029,+3(194),+4(204),+1(254),+1(11),+1(17),+3(46),+1(33),-12,+1(130),,
12,ToopleSim,7,513,+1(149),+2(56),,+1(14),+1(10),+1(24),+1(36),-7,+1(204),,-2
13,BombSquad,7,628,+1(19),-5,,+1(29),+1(37),+3(98),+1(77),+1(195),+1(133),,
14,PEDelivery,7,632,+1(189),+1(128),,+1(12),+1(24),+1(42),+1(63),+1(174),-1,,
15,Guilty WA,7,635,+1(88),-3,,+1(35),+1(26),+1(58),+1(15),+2(218),+2(155),,
16,monkaS,7,708,+1(141),+1(82),-1,+2(40),+1(53),+1(14),+1(66),+3(252),,,
17,Free Loop,7,739,+1(72),+1(223),,+1(49),+1(39),+1(61),+1(105),-6,+1(190),,
18,The leg is so strong,7,859,+1(136),-1,,+1(57),+1(30),+4(62),+2(79),+3(258),+1(117),,
19,SUSTech,6,634,+3(147),+2(215),,+1(29),+1(12),+3(97),+1(54),,,,
20,404 Brain Not Found,6,772,-16,+3(215),,+1(37),+1(91),+2(23),+1(78),,+1(268),,
21,Feast,6,773,+7(206),,,+1(24),+1(10),+2(40),+1(69),,+1(284),,
22,Fancy Fantasy,6,898,+2(278),-4,,+1(52),+2(67),+2(89),+1(117),,+1(235),,
23,Water Team,6,1191,+5(193),+4(267),,+2(50),+1(74),+6(201),+1(146),,-4,,
24,sorry,5,390,+3(174),-2,,+1(46),+1(39),+1(30),+1(61),,,,
25,ZCMU-HK,5,492,+4(266),-2,-1,+1(32),+1(16),+1(48),+1(70),,,,
26,nuaa,5,538,+2(211),-4,,+2(63),+1(10),+1(94),+1(120),-1,,,
27,Ask dannieying,5,700,+7(263),,,+2(40),+1(59),+1(87),+1(111),,,,
28,No B tree in our hearts,5,737,+2(283),,,+1(64),+1(193),+1(50),+1(127),,,,
29,UESTC_Phoebus,5,823,,+1(241),,+3(105),+1(83),+1(113),+1(241),,,,
30,nsu_team1,5,1141,,,,+1(97),+3(209),+7(192),+1(189),,+2(294),,
31,WrongAnswer,4,322,-4,-5,,+1(83),+1(26),+3(60),+1(113),,,,
32,Wizard,4,358,,,,+1(72),+1(88),+1(49),+1(149),,,,
33,GDUFE_play_water,4,402,,,,+1(87),+1(48),+1(39),+3(188),-3,,,
34,Omoshiroi,4,445,,-1,,+1(76),+2(126),+1(150),+1(73),,,,
35,SSPU-Global Offensive,4,611,-2,,,+1(49),+2(171),+3(115),+1(216),,,,
36,CMT,4,630,,,,+1(140),+1(296),+1(69),+1(125),-6,,,
37,next ac is coming soon,4,819,+4(234),,,+1(79),,+1(155),+1(291),-1,,,
38,Up,3,314,,,,+1(49),-10,+1(69),+1(196),,,,
39,666_team,3,409,,,,+1(43),,+3(77),+1(249),,,,
40,Playgroup,2,263,,,,-4,,+1(158),+2(85),,,,
41,Three Mountains,2,346,,,,+1(50),-1,-6,+3(256),,,,
42,EECityU_AC++_Zone,2,438,,,,+3(113),-5,-4,+1(285),,,,
43,WannaTry,1,58,-1,,,+1(58),-4,-20,,,,,
44,Miracle Reproduced,1,277,,,,+4(217),-5,-5,-1,,,,
