Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
1,Tsinghua University,中二之力 (Power of Two),9,1082,-1,+1(155),+1(200),+1(5),-,+1(49),+2(267),-,+1(68),+2(109),+1(151),+2(18)
2,Tsinghua University,冠军杜老师没跑 (Champion dls did not run),8,1331,-4,+1(283),+3(293),+1(10),-,+2(91),+5(244),-7,+1(69),+2(161),-,+1(20)
3,Zhongshan (Sun Yat-sen) University,中山大学_气球一元一个 (SYSU_Balloon),6,625,-,-,+1(190),+1(7),-1,+3(92),-,-,+1(50),+2(210),-,+1(16)
4,Tsinghua University,邬老师粉丝群 (Fans of wls),6,722,-2,-,+3(274),+1(6),-,+1(47),-4,-,+2(63),+1(216),-,+2(36)
5,The Chinese University of Hong Kong,誒射能特 (ACellent),6,731,-5,-,+2(232),+1(7),-,+1(84),-,-,+1(96),+2(219),-,+2(33)
6,Nanjing University,Calabash! (Calabash!),6,738,-,-,+2(173),+1(4),-,+1(68),-,-,+1(83),+2(291),-,+3(39)
7,Peking University,c++11 (c++11),6,741,-,-,+1(214),+1(11),-,+3(132),-2,-,+3(93),+2(174),-,+1(17)
8,Xi'an Jiaotong University,tfucju (tfucju),6,800,-1,-,+3(188),+1(9),-,+1(132),-,-,+1(130),+1(251),-2,+2(30)
9,Zhejiang University,Helianthus (Helianthus),6,830,-2,-,-11,+1(10),-,+3(117),+3(227),-,+1(84),+1(244),-,+2(48)
10,East China Normal University,acm.ecnu.edu.cn (F0RE1GNERS),6,849,-11,-,+2(173),+1(19),-,+2(76),-,-1,+1(100),+4(247),-,+4(74)
11,Peking University,Miracle (Miracle),6,854,-,-,+5(148),+1(5),-,+5(82),-,-,+2(71),-,+5(270),+1(18)
12,Peking University,FaFaTa (FaFaTa),6,879,-2,-1,+6(258),+1(18),-20,+4(86),-,-1,+3(115),+1(179),-,+1(23)
12,Zhejiang University,Reconquista (Reconquista),6,879,-,-,+6(275),+1(7),-,+2(109),-,-,+1(76),+1(263),-,+1(29)
12,Fudan University,最后的波纹 (The Last Ripple),6,879,-,-,+5(271),+1(9),-,+3(57),-,-,+1(86),+3(263),-,+1(33)
15,Shanghai Jiao Tong University,天码 (Talancode),6,996,-26,-,+2(269),+3(13),-,+4(130),-,-,+1(84),+4(249),-,+3(31)
16,Fudan University,祈求者 (Invoker),6,1086,-,-,+8(274),+1(15),+4(214),+6(104),-,-,+1(71),-2,-,+4(48)
17,Peking University,La Mala Hora (La Mala Hora),5,443,-,-,-4,+1(14),-,+1(108),-2,-,+1(54),+1(228),-,+1(39)
18,Zhongshan (Sun Yat-sen) University,中山大学_午餐不见了 (SYSU_Food* lunch=null;),5,475,-,-,+3(177),+1(32),-,+1(64),-1,-,+1(106),-,-,+2(36)
19,Harbin Institute of Technology,落日余晖 (Sunset Glow),5,551,-1,-,+5(260),+1(37),-,+1(55),-,-,+1(88),-1,-,+1(31)
20,KimChaek University of Technology,KUT_Team (KUT_Team),5,556,-,-,+3(209),+1(19),-,+3(56),-,-,+2(87),-1,-,+2(65)
21,Guangdong University of Technology,穷游中国 (Travel_Poorly),5,560,-,-,+3(259),+1(8),-,+4(104),-,-,+1(37),-,-,+1(52)
22,Beihang University,小黄鸡咕咕咕 (Ascender),5,567,-,-,+5(294),+1(7),-,+1(69),-,-,+1(88),-,-,+1(29)
