Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,Gold,清华大学,中二之力,12,1485,+2(8),+2(124),+4(305),+1(54),+2(137),-5,+1(32),+4(182),+1(67),+1(19),+1(95),+1(207),+2(55)
2,Gold,清华大学,三只鸽子,12,1868,+1(6),+1(128),-5,+2(179),+2(199),+11(300),+2(48),+3(264),+1(34),+2(15),+1(147),+4(120),+1(68)
3,Gold,清华大学,老夫打算咕咕咕,9,1417,+2(10),+8(304),,+1(108),,,+1(31),,+1(53),+1(18),+1(267),+1(296),+5(150)
4,Gold,哈尔滨工业大学,落日余晖,8,905,+2(14),,,+1(105),+1(191),,+1(59),-6,+1(82),+1(50),+1(224),,+1(160)
4,Gold,浙江大学,Reconquista,8,905,+1(25),,,+1(102),-5,,+2(78),,+1(45),+1(29),+1(194),+1(235),+2(157)
6,Gold,北京大学,法法塔,8,908,+2(15),-1,,+1(110),+2(243),,+1(68),-1,+1(62),+1(44),+1(222),,+1(104)
7,Gold,中山大学,中山大学_午餐不见了,7,778,+1(14),,,+1(144),,,+1(84),,+2(69),+1(35),+1(215),,+2(177)
8,Gold,广东工业大学,穷游中国,7,850,+2(6),,,+1(72),,,+1(79),,+2(38),+1(19),+1(296),,+3(260)
9,Gold,北京大学,c++11,7,927,+3(21),-17,-1,+2(217),-1,,+3(47),,+1(80),+1(8),+1(161),,+4(233)
10,Gold,天津大学,TJU_OpenBayes,7,955,+1(7),,,+2(240),-1,,+1(85),,+1(77),+1(31),+1(278),,+1(217)
11,Gold,复旦大学,花萼的光辉,7,997,+3(19),-10,,+1(130),,,+4(174),,+1(32),+1(17),+2(252),-3,+3(233)
12,Gold,上海交通大学,凡性的提醒,7,1001,+1(19),,,+2(213),-2,,+1(155),,+1(86),+1(74),+2(241),-3,+1(173)
13,Gold,同济大学,荠蒻,7,1019,+2(10),,,+3(170),-5,,+2(110),,+1(96),+1(34),+1(278),,+3(201)
14,Gold,中山大学,中山大学_如我所能,7,1034,+4(31),-1,,+3(175),-1,,+1(166),,+2(78),+1(48),+1(231),,+1(185)
15,Gold,北京理工大学,乖乖站好,7,1045,+3(10),,,+1(234),-2,,+2(75),,+2(65),+1(28),+1(292),,+1(261)
16,Gold,电子科技大学,UESTC_Vici,7,1046,+1(18),-2,,+2(243),,,+1(91),,+1(82),+1(24),+4(292),,+4(196)
17,Gold,南京邮电大学,拯救世界,7,1069,+1(15),,,+6(171),-1,,+1(73),,+3(95),+1(55),+2(279),,+1(221)
18,Gold,山东大学,唯我心,7,1114,+2(27),,,+1(196),,,+1(133),,+2(96),+1(20),+2(301),,+3(261)
19,Gold,北京大学,超新星,7,1119,+3(14),,,+2(115),,,+2(267),,+1(53),+1(28),+9(304),,+1(138)
20,Gold,湖南大学,乌龙茶,7,1225,+3(19),,,+3(209),-3,,+1(111),,+4(135),+1(64),+2(218),,+5(249)
21,Gold,湖南科技大学,Aurora,7,1264,+2(30),,,+1(210),,,+2(196),,+2(150),+1(55),+1(296),,+1(267)
22,Gold,山东大学,送风口严禁遮挡,7,1309,+3(16),,,+1(155),,,+2(222),,+4(111),+1(38),+5(308),,+1(259)
23,Gold,北京邮电大学,格雷科技,6,560,+3(15),,,+1(98),,,+1(71),,+1(61),+1(33),-8,,+3(202)
23,Gold,华南理工大学,今天也要加油鸭,6,560,+1(16),,,+1(68),,,+3(220),,+1(41),+1(34),-10,,+1(141)
25,Gold,西北工业大学,稻花香里说丰年,6,572,+1(11),,,+1(70),-2,,+1(76),,+1(89),+2(37),+1(269),,-3
26,Gold,电子科技大学,UESTC_Dva不爱你哟,6,608,+2(18),,,+1(139),,,+1(86),,+1(60),+1(34),-6,,+2(231)
27,Gold,上海交通大学,NEW CODE！！！,6,642,+2(10),,,-4,-2,,+2(105),,+1(86),+1(59),+2(251),,+1(71)
28,Gold,苏州大学,奶昌，抱抱我,6,737,+4(34),,,+2(87),,,+1(126),,+1(123),+1(55),-30,,+1(232)
29,Gold,电子科技大学,UESTC_摸鱼,6,742,+1(9),,,+3(197),-2,,+1(77),,+1(65),+1(35),+3(279),,-5
30,Gold,北京航空航天大学,除了AC,6,743,+2(32),,,+2(142),,,+1(102),,+1(94),+1(50),-7,,+1(283)
31,Gold,华中科技大学,黑色切题者,6,748,+2(17),,,+1(97),-6,,+2(205),,+2(75),+1(34),+1(260),,
32,Silver,浙江大学,Nameless_Sunstar,6,771,+3(26),,,+4(90),,,+1(76),,+1(89),+1(38),-6,,+6(252)
33,Silver,北京大学,冒险小虎队,6,782,+2(12),-6,,+1(168),-1,,+1(101),,+1(64),+1(39),-1,,+8(238)
34,Silver,北京航空航天大学,比宇宙更远的地方,6,787,+1(18),,,+2(196),-1,,+3(165),,+1(107),+1(70),-9,,+1(231)
35,Silver,中山大学,中山大学_打牌,6,837,+3(19),,,+2(137),,,+3(115),,+1(80),+2(61),+3(305),,
36,Silver,中国人民大学,B 题是个大水题,6,848,+1(69),,,+1(122),+1(279),,+2(189),,+2(93),+1(56),,,
37,Silver,浙江理工大学,让我康康,6,860,+2(16),,,+1(179),,,+1(149),,+1(131),+1(60),+11(305),,
38,Silver,中国石油大学（华东）,终极之战,6,865,+2(15),,,+1(155),-2,,+3(205),,+1(96),+1(41),,,+2(293)
39,Silver,东南大学,艾斯易悠,6,869,+1(36),,,+1(173),-1,,+1(139),,+1(98),+1(57),+4(306),,
40,Silver,西安交通大学,保研成功啦,6,878,+3(41),,,+1(28),-1,,+2(192),,+4(117),+1(85),+4(235),,
41,Silver,武汉大学,序曲,6,883,+1(8),-1,,+1(224),,,+4(304),,+1(64),+2(45),+1(178),,
42,Silver,华东师范大学,道生一，一生二，二生三，三生万物,6,914,+3(27),,,+4(179),-172,,+2(172),,+1(62),+2(34),-4,,+2(280)
43,Silver,北京理工大学,摸鱼肥宅,6,930,+5(40),,,,+2(232),,+1(76),,+3(184),+1(31),+2(207),,-3
44,Silver,浙江工业大学,ZJUT5,6,989,+3(32),,,+4(305),,,+2(143),,+1(119),+2(63),,,+2(227)
