Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,清华大学,24726 (24726),8,1167,+2(18),-1,+2(277),+1(86),-3,-,+1(35),+3(165),+2(111),-,-,+1(151),+1(224)
2,清华大学,冠军杜老师没跑 (Champion dls did not run),8,1649,+2(48),-,+2(274),+1(100),-,-,+2(80),+2(172),+4(295),-,-9,+4(239),+4(181)
3,北京大学,恶时辰 (La Mala Hora),7,1259,+4(87),-,-,+2(115),+4(230),-,+1(21),+4(130),-2,-,+2(294),-,+1(162)
4,上海交通大学,拉格朗 (Lagran),5,667,+2(31),-,+3(175),-1,-,-,+2(81),+3(148),-,-,-,-,+1(112)
5,浙江大学,Legilimens (Legilimens),5,1034,+3(46),-,-1,-,-,-,+3(118),+3(206),-,-,+1(159),-,+6(285)
6,东南大学,最小鸽 (the lowest Gu),4,503,+1(24),-,-,-,-,-,+1(81),+2(154),-,-,-1,-,+1(224)
7,华东师范大学,acm.ecnu.edu.cn (F0RE1GNERS),4,566,+4(50),-,-,-,-,-11,+1(74),+3(185),-,-,-,-,+2(137)
8,北京师范大学,法老汇 (Faraway),4,597,+1(58),-,-,-,-,-,+1(99),+3(187),-,-,-6,-,+1(213)
9,中山大学,深蓝 (SYSU_DeepBlue),4,649,+2(61),-,-1,-,-,-,+1(105),+4(250),-,-,-,-,+2(133)
10,华南农业大学,河底摸鱼 (SCAU_Touch_Fish),4,660,+1(26),-,-,-,-,-,+1(61),+2(227),-,-,-,-,+4(266)
11,北京大学,好丽友派 (ORION_PIE),4,701,+3(82),-,-,-,-,-,+3(125),+2(164),-,-,-,-,+5(150)
12,中国科学院大学,自由之翼 (Freedom),4,812,+4(106),-,-,-,-,-,+1(120),+4(185),-,-,-,-,+2(261)
13,北京大学,一一一丨 (gzotpa),4,858,+3(86),-,-,-,-,-,+1(114),+3(269),-9,-,-,-,+2(289)
14,复旦大学,灵魂隔断 (Sunder),4,880,+1(50),-,-11,-,-,-,+1(119),+7(295),-,-,-,-,+5(216)
15,湘潭大学,我们教练会写签到题 (XTU_Our coach can AC the signature problem),4,967,+2(82),-,-,-,-,-,+2(128),+2(262),-,-,-,-,+8(295)
16,上海交通大学,塔里斯曼 (Talisman),3,371,+1(86),-,-1,-,-,-,+3(70),-4,-8,-,-,-,+1(175)
17,北京理工大学,肥宅大哭.jpg (fatty newbie),3,459,+3(223),-,-,-,-,-,+1(120),+1(76),-,-,-,-,-8
18,浙江大学,ACetic_ACid (ACetic_ACid),3,476,+2(109),-,-,-,-,-,+1(70),+4(217),-,-,-,-,-3
19,西南民族大学,一个中心两个基本点 (One center Two bases),3,494,+1(61),-,-,-,-,-,+1(141),+2(272),-,-,-,-,-2
20,北京邮电大学,未知数 (xyz),3,519,+1(87),-,-,-,-,-,+1(103),+3(289),-,-,-,-,-
21,武汉科技大学,黎明预言 (Dawn Prophecy),3,528,+2(56),-,-,-,-,-,+2(250),+2(162),-,-,-,-,-
22,吉林大学,黑框眼镜 (Black-rimmed glassess),3,530,+1(72),-,-,-,-,-,+2(147),-10,-1,-,-,-,+2(271)
23,南京大学,Calabash! (Calabash!),3,534,+3(24),-,-,-,-,-,+2(61),+8(249),-,-,-,-,-8
24,复旦大学,青萍末 (Rain00),3,548,+2(54),-,-,-,-,-,+1(130),+5(264),-,-,-,-,-
25,山东大学,送风口严禁遮挡 (shenmedongxi),3,564,+1(70),-,-,-,-,-,+1(172),-7,-,-,-,-,+5(242)
26,北京航空航天大学,除了AC (Away With Correct),3,575,+4(156),-,-,-,-,-,+1(150),-3,-,-,-,-,+1(209)
27,北京化工大学,** (**),3,598,+2(131),-,-,-,-,-,+3(87),-5,-,-,-,-,+5(240)
28,电子科技大学,UESTC_'or 1=1# (UESTC_'or 1=1#),3,624,+1(140),-,-,-,-,-,+1(203),-,-,-,-,-,+1(281)
29,浙江工业大学,公理 (axiom),3,658,+3(66),-,-,-,-,-,+1(220),-,-,-,-,-,+3(292)
30,哈尔滨工程大学,轻轻的一个稳 (Light_Kiss),3,660,+4(176),-,-,-,-,-,+1(168),-7,-,-,-,-,+1(256)
31,北京航空航天大学,比宇宙更远的地方 (TooFarTooClose),3,672,+7(165),-,-,-,-,-,+1(145),+3(202),-,-,-,-,-2
32,北京交通大学,火星救援 (Mars Rescue),3,713,+1(113),-,-,-,-,-,+4(271),-1,-,-,-,-,+1(269)
33,厦门大学,三位一体 (Trinity),3,890,+3(137),-,-,-,-,-,+6(282),+3(291),-,-,-,-,-
34,浙江农林大学,铃羽世界第一软萌 (Suzuha is cute！),3,945,+5(88),-,-,-,-,-,+5(280),-,-,-,-,-,+7(297)
35,北京理工大学,北理六队 (BIT Team No.6),2,152,+1(47),-,-,-,-,-,+1(105),-3,-,-,-,-,-3
36,温州大学,阿尔法 (WZU Alpha),2,161,+1(90),-,-,-,-,-,+2(51),-,-,-,-,-,-5
37,中国石油大学（华东）,实际情况表现得更优 (better when running),2,179,+1(99),-,-,-,-,-,+1(80),-4,-,-,-,-,-1
38,重庆大学,"朋友带不动 (U noob, I carry you)",2,192,+3(50),-,-,-,-,-,+1(102),-,-,-,-,-,-5
39,西北工业大学,稻花香里说丰年 (NPU_Listen_to_WA),2,248,+2(44),-,-13,-,-,-,+1(184),-,-,-,-5,-,-9
40,广东工业大学,野牛蛙 (GDUT_YeNoWA),2,265,+1(130),-,-,-,-,-,+1(135),-,-,-,-,-,-
41,山东科技大学,无畏号 (SKD38907 Intrepid),2,289,+1(35),-,-,-,-,-,+4(194),-,-,-,-,-,-
42,福建工程学院,"小弟弟，你怎么回事 (what's wrong with you,little brother)",2,302,+1(104),-,-,-,-,-,+2(178),-5,-,-,-,-,-5
43,南京邮电大学,从零开始 (NJUPT_Re:0),2,304,+1(77),-,-,-,-,-,-8,-,-,-,+2(207),-,-1
44,北京航空航天大学,从不刷题 (zhen xiang),2,306,+1(48),-,-,-,-,-,+2(238),-,-,-,-,-,-5
45,武汉科技大学,幻影 (Phantom),2,323,+2(133),-,-,-,-,-,+2(150),-2,-,-,-,-,-
46,南京大学,No Response (No Response),2,329,+2(127),-,-,-,-,-,+1(182),-10,-,-,-,-,-2
47,中山大学,蓝气球 (SYSU_BlueBallon),2,339,+7(154),-,-,-,-,-,+2(45),-3,-,-,-,-,-
48,山东科技大学,疯马号 (SKD50446 Crazyhorse),2,341,+1(157),-,-,-,-,-,+1(184),-,-,-,-,-,-2
49,电子科技大学,黑木林木木森木木林大森林 (UESTC_Jungle),2,346,+3(86),-,-,-,-,-,+2(200),-2,-,-,-,-,-
50,西北工业大学,松树上是松鼠 (NPU_ssssss),2,357,+1(157),-,-,-,-,-,+4(140),-9,-,-,-,-,-
51,中国海洋大学,打完铁回去补作业 (homework is uncountable noun),2,374,+3(90),-,-,-,-,-,-,+3(204),-,-,-,-,-
52,东南大学,恬心 (Sweet Heart),2,385,+1(159),-,-,-,-,-,+2(206),-,-,-,-,-,-
53,广州大学,我好想吃麦当劳 (IWantToEatMcDonald's),2,386,+2(98),-,-,-,-,-,+3(228),-,-,-,-,-,-
54,长沙理工大学,四斋蒸鹅心 (Otaku ha kimoi),2,387,+7(86),-,-,-,-,-,+3(141),-10,-,-,-,-,-15
54,南京航空航天大学,还差得远呢 (you still have lots to work on),2,387,+1(74),-,-,-,-,-,+3(273),-,-,-,-,-,-8
56,华东理工大学,万一A了呢 (pure illution),2,437,+2(119),-,-,-,-,-,+3(258),-,-,-,-,-,-
57,武汉大学,万物皆虚 (Nothing is True),2,446,+3(286),-,-,-,-4,-,+2(100),-,-,-,-,-,-
58,天津大学,TJU_风中的恋情 (TJU_Romance_in_the_wind),2,448,+3(113),-,-,-,-,-,+3(255),-,-,-,-,-,-
59,浙江师范大学,QvQ (QvQ),2,472,-10,-,-,-,-,-,+3(179),+3(213),-,-,-,-,-5
60,中南大学,繁樱之冬 (The winter of sakura),2,478,+1(99),-,-,-,-,-,-,+5(299),-,-,-,-,-
61,大连理工大学,扶我起来还能A (WakemeuptogetAC),2,516,+3(277),-,-5,-,-,-,-1,+3(159),-,-,-,-,-
62,北京邮电大学,暮色森林 (The Twilight Forest),2,543,+7(181),-,-,-,-,-,+1(242),-2,-,-,-,-,-
63,天津工业大学,皮卡丘的弟弟 (Picacho's brother),2,545,+3(192),-,-,-,-,-,+3(273),-,-,-,-,-,-
64,南京林业大学,我们于暗影守望 (Watch in the shadow),2,569,+1(138),-,-,-,-,-,+8(291),-,-,-,-,-,-
65,浙江大学,YaSHa (YaSHa),2,635,+6(255),-,-,-,-,-,+3(240),-,-,-,-,-,-8
66,湖南大学,黑涩眼镜 (Black Glasses),2,684,+9(240),-,-,-,-,-,-,-1,-,-,-,-,+3(244)
67,浙江财经大学,新新月光 (new new moonlight),2,813,+8(295),-,-,-,-,-,-,-,-,-,-,-,+8(238)
68,郑州大学,轻音什么时候出三啊 (Where is k-on season 3),1,52,+1(52),-,-,-,-,-,-1,-,-,-,-,-,-
69,太原理工大学,三个火枪手 (The Three Musketeers),1,65,+1(65),-,-,-,-,-,-,-4,-,-,-,-,-
70,山东理工大学,爻不可及 (Back in Black),1,67,+1(67),-,-,-,-,-,-2,-,-,-,-,-,-1
70,中国科学技术大学,中科大三十二队 (USTC_32),1,67,+1(67),-,-,-,-,-,-,-,-,-,-,-,-3
72,东华大学,碧蓝幻想 (granbluefantasy),1,70,+1(70),-,-,-,-,-,-2,-,-,-,-,-,-4
73,南昌航空大学,昌航软件梦想者2 (NCHUSoftware_Dreamers2),1,72,+1(72),-,-,-,-,-,-1,-,-,-,-,-,-
74,西安邮电大学,糖糖真好吃 (I love candy),1,73,+2(53),-,-,-,-,-,-,-4,-,-,-,-,-
75,西北大学,回文串文回 (Palindrome),1,74,+1(74),-,-,-,-,-,-,-7,-,-,-,-,-
76,苏州大学,为什么不问问派大星呢 (Why Not Ask The Patrick Star),1,78,+1(78),-,-,-,-,-,-,-3,-,-,-,-,-
77,山东财经大学,阿蒂亚的黎曼猜想证明好像不队 (Atiyah's proof of riemann hypothesis isn't correct APRHC),1,86,+1(86),-,-,-,-,-,-1,-,-,-,-,-,-
77,东南大学,进击の巨噬Cell (SSS&Macrophage),1,86,+2(66),-,-,-,-,-,-21,-1,-,-,-,-,-
77,吉林大学,夏威夷吉他 (Hawaii?Guitar),1,86,+1(86),-,-,-,-,-,-,-10,-,-,-,-,-
80,河南理工大学,WA的世界 (WA's World),1,87,+2(67),-,-,-,-,-,-,-,-,-,-,-,-
81,中北大学,铁牌的诱惑 ( Iron temptation),1,90,+2(70),-,-,-,-,-,-,-,-,-,-,-2,-
81,哈尔滨工业大学（威海）,头号玩家 (Main Player),1,90,+1(90),-,-,-,-,-,-,-2,-,-,-,-,-
83,山东大学,wawa子和tlte美的日常 (o ko t ta),1,92,+1(92),-,-,-,-,-,-,-,-,-,-,-,-5
83,成都东软学院,女装写代码AC++ (Wear?a?dress?to?code?must?get?AC),1,92,+1(92),-,-,-,-,-,-,-3,-,-,-,-,-
85,浙江大学宁波理工学院,编码人生 (code life),1,97,+2(77),-,-,-,-,-,-,-,-,-1,-,-,-
86,浙江农林大学,卖竹鼠三元一只十元三只 (buy one get two),1,98,+2(78),-,-,-,-,-,-5,-17,-,-,-,-,-
87,武汉大学,万事皆允 (Everything is Permitted),1,100,+2(80),-,-,-,-,-,-,-,-,-,-,-,-7
87,台州学院,脑子是个好东西 (We are without brains),1,100,+1(100),-,-,-,-,-,-1,-,-,-,-,-,-
89,河南农业大学,拜拜甜甜圈珍珠奶茶方便面 (LLW),1,108,+2(88),-,-,-,-,-,-1,-,-,-,-,-,-
90,江苏科技大学,SOS (SOS),1,109,+1(109),-,-,-,-,-,-,-,-,-,-,-,-6
91,中北大学,铁人三个 (SongV NB),1,110,+2(90),-,-,-,-,-,-,-,-,-,-,-,-
91,大连理工大学,梁队 (Liang Dui),1,110,-4,-,-,-,-,-,-,+1(110),-,-,-,-,-
93,天津大学仁爱学院,小锅锅啊！！！ (Small guo guo),1,112,+2(92),-1,-,-,-,-,-2,-1,-,-,-,-1,-
94,青岛大学,一个学妹两个学长 (Good girl good boys),1,119,+1(119),-,-,-,-,-,-,-1,-,-,-,-,-
94,华中师范大学,肥仔欢乐队 (Happy Feizai),1,119,+2(99),-,-,-,-,-,-,-,-,-,-,-,-
96,郑州师范学院,郑师一队 (zznuteam1),1,120,+3(80),-,-,-,-,-,-9,-,-,-,-,-,-
97,河南大学,手持两把锟斤拷，口中疾呼烫烫烫 (RNG),1,121,+1(121),-,-,-,-,-,-,-,-,-,-,-,-
98,南方科技大学,南方科技大学_剑桥 (SUSTech_Cambridge),1,123,+1(123),-,-,-,-,-,-7,-,-,-,-,-,-
99,四川大学,P90RushB (P90RushB),1,124,+1(124),-,-,-,-,-,-,-,-,-,-,-,-
100,东北农业大学,拔丝地瓜 (gute nacht),1,125,+3(85),-,-,-,-,-,-4,-,-,-,-,-,-
100,西北工业大学,若风一指 (NPU_Lion's_F_of_RuoFeng),1,125,+3(85),-,-,-,-,-,-7,-,-,-,-,-,-
102,南阳师范学院,稻花香里说丰年 (THE END),1,126,+2(106),-,-,-,-,-,-3,-,-,-,-,-,-
102,东北师范大学,让我们红橙作伴，活的潇潇洒洒 (Five colors team),1,126,+1(126),-,-,-,-,-,-,-,-,-,-,-,-
104,天津大学,TJU_队伍树 (TJU_Team_Tree),1,137,+1(137),-,-,-,-,-,-5,-,-,-,-,-,-
105,国防科技大学,穿越锈匙之门 (SCP-004),1,138,+1(138),-,-1,-,-,-,-,-,-,-,-,-,-
106,南京航空航天大学,跪倒在吕超杰的石榴裙下 (Lcj is our goddess),1,139,+1(139),-,-,-,-,-,-,-,-,-,-,-,-
106,杭州师范大学,仓前皇家女子学院 (Royal College for Women),1,139,+3(99),-,-,-,-,-,-2,-,-,-,-,-,-
108,浙江师范大学,毕竟老夫也不是什么恶魔嘛 (we are not devil),1,140,+1(140),-,-,-,-,-,-,-,-,-,-,-,-2
109,哈尔滨学院,番茄炒蛋 (Nothing Is Impossible),1,142,+1(142),-,-,-,-,-,-1,-,-,-,-,-,-
110,西南石油大学,真的想耍女朋友了 (Where are my girlfriends),1,145,+2(125),-,-,-,-,-,-,-3,-,-,-,-,-
