Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,北京大学,家里蹲,8,1142,+2(233),-1,+1(75),-1,+1(48),-1,+1(95),-1,+1(122),+1(35),+7(209),+1(185),-1
2,中山大学,中山大学_领航者,7,937,-,-,+1(88),-,+1(82),-,+1(127),-,+3(196),+2(33),+1(51),+4(240),-
3,复旦大学,祈求者,7,1262,-,-,+2(65),-,+4(175),-,+1(112),-,+3(269),+3(18),+6(174),+1(189),-
4,南京大学,咖啡鸡,7,1329,-,-5,+1(44),-,+3(285),-,+3(129),-,+2(184),+2(40),+3(96),+6(291),-
5,南京理工大学,不图不挂素质游戏,6,964,-,-,+1(159),-,+2(241),-,+2(63),-,+1(255),+1(82),+1(124),-1,-
6,华南理工大学,金金金金金,6,1041,-,-,+1(97),-,+1(256),-,+1(151),-,+1(289),+1(45),-,+1(203),-
7,北京大学,逆序欧拉回路,6,1153,-,-,+2(71),-,+3(163),-,+1(192),-,+2(254),+2(38),+7(215),-5,-
8,华东师范大学,acm.ecnu.edu.cn,5,689,-,-,+2(129),-,+1(147),-,+3(188),-,-,+1(16),-4,+4(89),-
9,山东大学,皮卡乒乒乓乓乒乓,5,913,-,-,+1(137),-,-,-,+4(201),-2,-,+2(62),+2(123),+2(270),-
10,西安电子科技大学,火辣鸡不会include,5,998,-,-,+2(114),-3,-,-,+5(291),-,-,+3(53),+4(24),+3(276),-
11,浙江大学,EuropeSun,5,1063,-,-,+2(133),-,+4(297),-,+4(168),-,-,+1(44),-,+1(281),-
12,北京航空航天大学,小黄鸡咕咕咕,5,1085,-,-,+2(121),-,+2(270),-,+5(209),-,+3(290),+1(35),-1,-,-
13,南京大学,llIlIIlIll,4,496,-,-,+1(135),-,-,-,+1(64),-,-,+1(36),+2(241),-1,-
13,北京理工大学,明明是我们先AC的,4,496,-,-,+1(70),-,+3(155),-,+1(200),-,-,+1(31),-,-10,-
15,大连理工大学,远见,4,499,-,-,+1(104),-,+1(231),-,+1(129),-,-,+1(35),-,-,-
16,吉林大学,黑框眼镜,4,550,-,-,+2(118),-,-6,-,+2(242),-,-,+1(37),-,+2(93),-
17,复旦大学,青萍末,4,558,-,-,+2(83),-,+2(206),-,+3(156),-,-,+1(33),-3,-,-
18,北京航空航天大学,趣味时光,4,582,-,-,+1(130),-,-2,-,-3,-,+1(169),+5(88),+2(95),-,-
19,东北师范大学,绯色月下,4,639,-,-1,+1(58),-,-,-,-8,-,-,+1(35),+2(270),+1(256),-
20,烟台大学,混躺C,4,642,-,-,+3(112),-,-,-,+6(271),-,-,+1(52),+1(67),-,-
21,西安交通大学,我有个超好的队名但忘了,4,661,-,-,+3(113),-,-2,-,+1(202),-,-,+2(36),+2(230),-,-
22,南京航空航天大学,赫拉克勒斯,4,716,-,-,+2(127),-1,-,-,+2(202),-,-,+1(37),+3(270),-,-
23,四川大学,野花,4,743,-,-,+2(107),-,-1,-,+5(291),-,-,+1(37),+2(188),-,-
24,杭州电子科技大学,三只仓鼠,4,782,-,-,+2(114),-,+4(272),-,-,-,-,+2(35),-,+4(201),-
25,北京师范大学,圆环之理,4,791,-,-,+2(187),-,-,-,+4(175),-,-,+1(51),+2(278),-,-
26,浙江大学,Innocence,4,807,-,-,+2(121),-,-,-,+2(253),-,-,+1(57),-,+3(296),-
27,电子科技大学,UESTC_998244353,4,908,-,-,+5(196),-,-,-,+5(281),-,-,+4(30),-,+1(181),-
28,哈尔滨工业大学,工程制图,4,990,-,-,+6(200),-,-,-,+5(207),-,-,+1(26),+6(277),-,-
29,北京交通大学,猜歌群,3,235,-,-,+1(116),-,-,-,+2(81),-,-6,+1(18),-,-6,-
30,中山大学,中山大学_三磅斤,3,342,-,-,+1(98),-,-,-,+3(176),-,-,+1(28),-,-2,-
31,中山大学,气球炸了,3,349,-,-,+2(64),-,-,-1,+4(171),-,-,+1(34),-,-6,-
32,北京理工大学,肥宅大哭.jpg,3,354,-,-,+3(104),-,-,-,+2(153),-,-,+1(37),-7,-,-
33,北京邮电大学,阿訇念经，嘤嘤嘤嘤,3,356,-,-,+2(119),-,-,-,+1(176),-,-,+1(41),-,-2,-
34,华南理工大学,这是我们第三次来东北了,3,361,-,-,+1(69),-,-,-,-,-,-,+1(38),+4(194),-6,-
35,中国石油大学（华东）,老张老赵带带我,3,384,-,-,+2(89),-,-,-,+1(212),-,-,+2(43),-,-,-
36,中南大学,逐风,3,400,-,-,+1(114),-,-,-,+1(259),-,-,+1(27),-,-6,-
37,天津大学,TJU_天之豪杰,3,415,-,-,+3(134),-,-,-,+1(212),-,-,+1(29),-,-15,-
38,浙江大学城市学院,旅行八龟,3,429,-,-,+1(137),-,-,-,+2(218),-,-,+1(54),-,-,-
39,浙江财经大学,天光,3,432,-,-,+2(148),-,-,-,+1(224),-,-,+1(40),-,-,-
40,福建师范大学,求你们别学了我们跟不上了,3,434,-,-,+2(228),-,-,-,-,-,-,+1(50),+2(116),-,-
40,华中科技大学,我想吃锅包肉朝鲜冷面人参鸡清蒸白鱼蒸饺白肉血肠雪衣豆沙,3,434,-,-,+1(93),-,-,-,+4(247),-,-,+1(34),-,-9,-
42,大连理工大学软件学院,青歌行,3,440,-,-,+2(116),-,-,-,-9,-,-,+3(48),+1(216),-,-
43,中国人民大学,已售罄,3,442,-,-,+2(46),-3,-,-,+7(232),-,-,+1(24),-,-5,-
44,香港理工大学,黄金水,3,447,-,-,+2(87),-,-,-,+5(204),-,-,+1(56),-,-,-
45,湖南大学,岳麓幻想物语,3,458,-,-,+4(240),-,-,-,-,-,-,+1(39),+2(99),-,-
46,武汉大学,我能摸摸你的奖杯吗,3,461,-,-,+2(94),-,-3,-,+2(231),-,-,+3(56),-2,-3,-
47,福州大学,我希望这是一个幸运数字,3,467,-,-,+1(110),-,-,-,+3(274),-,-,+1(43),-,-1,-
48,南京工业大学,白鸟,3,468,-,-,+3(164),-,-,-,-13,-,-,+2(51),+1(193),-,-
49,华南农业大学,没人想队名,3,478,-,-,+1(111),-,-6,-,+4(215),-,-,+3(52),-,-,-
50,北京大学,渐入佳境,3,483,-,-,+2(134),-,-,-,+2(220),-,-,+3(49),-,-,-
51,中国矿业大学,嘟嘟噜,3,489,-,-,+2(94),-,-,-,+5(234),-,-,+2(41),-,-1,-
52,青岛大学,可乐,3,492,-,-,+2(149),-,-,-,+1(286),-,-,+1(37),-,-,-
53,浙江大学宁波理工学院,宁静致远,3,500,-,-,+1(186),-,-,-,+2(251),-,-,+1(43),-,-,-
53,福建工程学院,RPrush,3,500,-,-,+2(154),-,-,-,-,-,-,+2(39),+1(267),-8,-
55,北京邮电大学,辣个蓝人,3,504,-,-,+4(119),-,-,-,+4(208),-,-,+1(57),-,-,-
56,北京邮电大学,房东的狗,3,508,-,-,+2(126),-,-,-,+3(269),-,-,+2(33),-,-,-
57,哈尔滨工业大学,GM,3,509,-,-,+1(128),-,-,-,+6(243),-,-,+1(38),-4,-4,-
58,广东工业大学,神奇海螺,3,510,-,-,+1(139),-,-,-,-,-,-,+2(49),-,+3(262),-
59,吉林大学,夏威夷吉他,3,529,-,-,+1(261),-,-,-,-,-,-,+1(21),-,+3(207),-
60,郑州大学,大佬腿好粗,3,530,-,-,+2(128),-,-,-,+3(288),-,-,+1(54),-,-,-
61,上海大学,小荷队,3,536,-,-,+3(170),-,-,-,+4(241),-,-,+1(25),-,-,-
62,东南大学,火箭少女707的wa掘机,3,539,-,-,+1(161),-,-,-,+4(291),-,-,+1(27),-,-,-
63,华中师范大学,妙蛙种子,3,542,-,-,+1(115),-,-,-,+6(258),-,-,+2(49),-,-,-
64,浙江大学,Trident-Z*,3,565,-,-,+2(170),-1,-,-,+4(244),-,-10,+2(51),-3,-,-
65,电子科技大学,UESTC_wow,3,571,-,-,+2(195),-,-,-,+2(279),-,-,+2(37),-,-,-
66,中国地质大学（北京）,为美好的世界献上祝福,3,574,-,-,+1(159),-,-,-,+5(294),-,-,+1(41),-,-,-
67,广东工业大学,茶大师,3,576,-,-,+2(141),-,-,-,+7(264),-,-,+1(31),-,-,-
68,湘潭大学,平凡之路,3,586,-1,-,+2(146),-,-,-,+6(287),-,-,+1(33),-,-,-
69,南开大学,以豹制豹,3,655,-,-,+1(225),-,-,-,+7(264),-,-,+1(46),-2,-,-
70,同济大学,荠菜,3,657,-,-,+3(199),-,-,-,-,-,-,+1(55),-,+6(263),-
71,南京航空航天大学,刷牙,3,677,-,-,+3(146),-,-,-,+11(244),-,-,+1(47),-1,-2,-
72,中国科学院大学,嘤嘤嘤,3,739,-,-,+4(200),-,-,-,-10,-,-,+1(30),-,+10(269),-
73,杭州师范大学,TI1050,2,77,-,-,+1(56),-,-,-,-6,-,-,+1(21),-,-1,-
74,东北农业大学,刷酱饼,2,142,-,-,+1(110),-,-,-,-3,-,-,+1(32),-,-,-
75,福州大学,福大命大,2,162,-,-,+1(120),-,-,-,-11,-,-,+1(42),-,-,-
76,南京邮电大学,听取WA声一片,2,163,-,-,+1(138),-,-,-,-,-,-,+1(25),-,-7,-
77,哈尔滨工程大学,喵喵喵,2,174,-,-,+2(128),-,-,-,-2,-4,-,+1(26),-,-,-
78,北京交通大学,仍未命名,2,176,-,-,+1(146),-,-,-,-2,-1,-,+1(30),-,-,-
79,浙江师范大学,AC自动复读机,2,187,-,-,+2(136),-,-,-,-1,-,-,+1(31),-5,-,-
