Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
1,清华大学,随串鸡 (Rondam strign),10,1127,+1(4),+2(117),+2(198),+1(41),+1(25),+1(60),-1,+1(242),+1(11),+1(216),+1(173),-
2,清华大学,燃烧我的编译器 (Burning my compiler),9,1239,+1(6),+2(254),+2(148),+1(44),+1(20),+1(99),-,+3(259),+1(43),-,+1(286),-
3,中山大学,中山大学_气球一元一个 (SYSU_Balloon),8,857,+1(3),+2(233),+3(148),+1(63),+1(38),+1(102),-,+2(161),+1(29),-1,-,-
4,西安交通大学,tfucju (tfucju),8,869,+1(4),+2(269),-1,+1(48),+1(26),+1(87),-,+2(219),+1(39),-,-,+1(137)
5,北京大学,法法塔 (FaFaTa),8,898,+1(9),+3(138),+1(238),+1(121),+1(49),+1(76),-,+2(165),+2(22),-,-,-
6,香港中文大學,玩能源 (Play Energy),8,1165,+1(6),+4(187),+5(253),+1(115),+1(57),+1(81),-1,+2(288),+1(18),-,-,-
7,北京大学,Miracle (Miracle),8,1730,+3(5),+10(95),+3(298),+1(196),+1(36),+7(240),-,+10(291),+1(9),-,-,-
8,南京理工大学,不图不挂素质游戏 (OEIS),7,761,+1(7),+1(191),-1,+1(76),+1(61),+1(129),-,-,+1(16),+1(281),-,-
9,北京大学,卡路里 (calorie),7,796,+1(6),-8,+1(226),+1(84),+1(66),+1(45),-,+4(277),+1(32),-,-,-1
10,香港中文大學,誒射能特 ( Acellent),7,820,+1(5),-2,+4(232),+1(120),+2(30),+1(53),-,+5(206),+1(14),-5,-,-
11,北京航空航天大学,小黄鸡咕咕咕 (Ascender),7,823,+1(3),+2(178),+1(263),+1(65),+2(72),+2(112),-,-3,+3(30),-,-,-
12,南京邮电大学,拯救世界 (NJUPT_Goforworld),7,858,+1(5),+3(239),-,+1(114),+1(58),+1(130),-,-,+1(49),+1(223),-,-
13,北京交通大学,猜歌群 (GUESS SONGS),7,878,+1(4),+2(251),+4(292),+1(79),+1(68),+1(41),-,-4,+2(43),-,-,-
14,电子科技大学,UESTC_征服 (UESTC_Vici),7,949,+1(8),+6(294),-,+1(73),+1(51),+1(87),-,+2(276),+1(40),-,-,-
15,华南农业大学,没人想队名 (SCAU_noname),7,1008,+1(5),+5(282),+2(214),+2(96),+1(57),+3(171),-,-,+1(23),-,-,-
16,哈尔滨工业大学,工程制图 (Engineering Drawing),7,1113,+1(5),+10(274),+5(288),+1(67),+2(52),+2(104),-,-,+1(23),-,-,-
17,香港中文大學,那將是血清 (Que Sera Sera),6,387,+1(5),-6,-,+1(87),+1(9),+1(61),-,-,+1(18),+4(147),-,-
18,北京师范大学,法老汇 (Faraway),6,470,+1(6),-1,-,+1(51),+1(76),+1(122),-,+2(166),+1(29),-,-,-
