Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
1,1,南京大学,咖啡鸡,9,1001,-,-,+1(14),+1(109),+3(146),+2(83),+1(151),-,-9,+2(30),+4(238),+2(64),+1(6),47%,Gold,N,N
2,2,清华大学,邬老师粉丝群,9,1320,-,-,+4(63),+3(123),+5(296),+1(179),+2(111),-,+1(154),+1(97),-4,+2(49),+2(8),57%,Gold,N,N
3,3,北京大学,恶时辰,9,1663,-,-,+1(17),+1(164),+3(258),+2(161),+2(291),-,-,+3(41),+6(264),+1(235),+1(12),55%,Gold,N,N
4,,北京大学,c++11,8,898,-,-,+3(26),+2(45),+3(119),+2(78),+2(250),-,-1,+1(11),-,+4(163),+1(6),55%,Gold,N,N
5,4,广东工业大学,穷游中国,8,958,-,-,+1(37),+2(83),+1(176),+1(93),-,-,-,+3(44),+1(153),+4(247),+1(5),42%,Gold,N,N
6,,清华大学,瓜之惰怠,8,1012,-,-,+1(28),+2(209),+2(107),+3(155),-,-,+3(80),+2(55),-2,+2(186),+2(12),52%,Gold,N,N
7,5,北京航空航天大学,趣味时光,8,1193,-,-,+1(29),+1(127),+2(156),+1(172),-1,-,-,+5(62),+5(276),+3(142),+1(9),57%,Gold,N,N
8,,北京大学,圈尖圈,7,769,-,-,+1(33),+1(118),+1(57),+3(142),-,-,-,+2(62),-,+2(262),+1(15),36%,Gold,N,N
9,6,中山大学,中山大学_气球一元一个,7,991,-,-,+4(43),+2(136),+3(123),-3,+1(174),-,-,+2(65),-2,+5(223),+1(7),61%,Gold,N,N
10,,北京大学,超新星,7,996,-,-,+2(37),+2(198),+2(150),+1(123),-,-,-4,+4(56),-,+2(282),+1(10),50%,Gold,N,N
11,7,华南农业大学,河底摸鱼,7,1023,-1,-,+1(39),+2(230),+2(239),+1(211),-,-,-,+1(58),-,+3(147),+1(19),36%,Gold,N,N
