Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,A,B,C,D,E,F,G,H,I,J,K,L,M
1,南京大学,咖啡鸡,9,1079,Gold,凌浩,刘弘洋,张扬播,+4(182),+2(84),+1(7),+2(272),+2(22),-10,+1(104),,,+1(37),+1(202),+2(29),
2,浙江大学,Runespoor,9,1359,Gold,李彦奎,吕耀维,张清棋,,+2(60),+1(27),+4(195),+2(47),,+2(79),,-2,+3(220),+2(202),+1(20),+4(269)
3,清华大学,火车冲冲冲,9,1437,Gold,陈江伦,毛嘉怡,武弘勋,+1(166),+1(143),+1(8),,+1(16),,+2(140),,,+6(113),+3(214),+2(29),+8(288)
4,清华大学,飞毛腿,8,1042,Gold,高嘉煊,梁晏成,吴思扬,+4(283),+1(59),+1(11),-6,+2(68),-9,+1(93),,,+2(226),-1,+2(17),+2(145)
5,中山大学,中山大学_昙花,8,1047,Gold,黄镇,李洋,林一诺,+5(295),+1(188),+1(16),,+1(39),,+2(94),,,+2(114),+1(156),+1(25),
6,复旦大学,北原雪菜,8,1489,Gold,高铭鸿,温昕岳,吴明健,+6(172),+3(138),+1(24),,+1(61),-13,+3(128),,,+8(277),+7(233),+1(16),
7,清华大学,虾滑棒棒糖,8,1492,Gold,何昊天,于纪平,张瑞喆,+7(297),+5(272),+1(20),,+2(84),,+2(156),,+1(228),+1(172),,+1(23),
8,杭州电子科技大学,五点共圆,7,868,Gold,陈惇显,顾奕臻,祝之禺,,+1(186),+1(11),,+1(37),,+3(136),,-1,+2(285),,+1(18),+2(115)
9,郑州大学,队友倒写强连通,7,942,Gold,陈洋,黄中源,苏同,+2(277),+2(211),+1(29),,+1(43),,+3(125),,,,+2(144),+1(13),
10,中国人民大学,我舅知道！,7,988,Gold,丁海鹏,徐炜,杨铭基,,+1(145),+1(20),,+4(44),,+1(103),,+2(298),,+3(246),+1(12),
11,北京大学,你能卡掉我我当场把屏幕吃掉,7,1088,Gold,邓朝萌,杜振宇,杨明炜,+7(289),-4,+1(25),,+1(74),,+1(106),,,+2(187),,+1(39),+2(208)
12,浙江大学,Peccadet,7,1221,Gold,李昌栋,卢旻昊,孙典圣,+2(294),+7(291),+2(22),,+1(31),,+2(76),,+2(253),,,+3(14),
13,北京交通大学,大脑喷射,6,549,Gold,蔡伟斌,胡雨轩,金睿琦,-3,+1(131),+1(12),,+1(36),,+5(189),,,,+1(79),+1(22),
14,中南大学,我们去南昌吃什么,6,662,Gold,刘佳妮,罗龙光,罗泰帅,,+2(87),+1(33),,+2(31),,+2(142),,,,+1(263),+1(46),-1
15,华南理工大学,SCUT_星辰闪耀,6,682,Gold,潘伟健,王一帆,郑炜城,,+1(227),+1(19),,+1(33),,+1(86),,,-7,+2(285),+1(12),
16,安徽大学,???,6,738,Gold,陈昱翔,汪敏瑞,王唯臣,,+2(160),+1(28),-5,+1(58),,+2(129),,,,,+2(40),+1(263)
17,北京大学,壹一壹丨,6,931,Gold,李佳实,聂恺辰,徐瑞帆,,-1,+1(9),-1,+2(69),,+3(79),,+5(229),,,+1(27),+5(298)
18,北京大学,deceiver,6,950,Gold,陈俊恺,孔朝哲,魏罗健,-1,-5,+1(16),,+2(117),,+1(176),,,,+4(202),+1(38),+3(281)
19,西安电子科技大学,几何旋律,6,1070,Gold,黄海同,汪浚逸,王晓庆,,-1,+1(30),,+1(137),,+3(130),,,+2(257),+6(280),+3(36),
20,西安交通大学,渡渡鸟幼儿园,5,295,Gold,王之坤,杨栋,陈业元,,-4,+1(17),-3,+1(41),,+2(60),,,+2(116),-2,+1(21),
21,南京大学,Pigeon Racing Cancelled,5,315,Gold,单启程,李子扬,张浩南,,+2(103),+1(29),,+1(18),-6,+4(60),,,-2,,+1(25),-1
22,郑州大学,菜到退役,5,400,Gold,宋沂轩,张兴言,周德蔚,,+1(160),+1(15),,+1(68),,+1(96),,,,,+2(41),
23,华东师范大学,这是我的最强一击,5,401,Gold,陈宇琪,邵煜,王朝扬,,+1(150),+1(28),,+1(52),,+3(107),,,,,+1(24),
24,同济大学,荠鸽,5,425,Gold,黄颖 ,李昊龙,叶茂尧,,+2(152),+2(39),,+1(54),,+1(115),,,,-3,+1(25),
25,北京航空航天大学,你好，世界,5,443,Gold,王嘉翼,杨开元,赵立晨,,+3(216),+1(24),,+1(38),,-11,,,+1(113),,+1(12),
26,浙江财经大学,The Ray,5,469,Gold,吕效华,徐心如,周崇凯,,+1(168),+1(23),,+2(48),,+1(103),,,,,+3(67),
27,上海交通大学,永恒之蓝,5,476,Gold,衡阳,李至丹,史添能,+2(120),-2,+1(25),,+2(42),-2,+2(190),,-5,,-1,+2(19),
28,杭州师范大学,TI1050,5,504,Gold,罗天松,潘律旨,薛鸿涛,,-30,+1(41),,+2(59),,+2(90),,,,+2(201),+2(33),
29,四川大学,Thunder AC,5,515,Gold,曾梓云,雷舜,唐逸伦,,+2(190),+1(51),,+1(73),,+1(104),,,,,+3(37),
30,电子科技大学,UESTC_LoveMaster,5,516,Gold,程曦,王潇,颜禹焓,,+2(214),+1(23),,+1(50),,+3(132),,,,-2,+1(37),
31,东南大学,可持久化最小鸽,5,520,Gold,刘朗麒,冉雨杭,肖炯辰,,+1(163),+1(75),,+2(70),-1,+1(124),,,,,+2(48),-5
32,华中师范大学,君问AC未有C,5,534,Gold,葛沛鑫,唐文韬,张奕青,,+1(197),+1(53),-8,+1(33),,+1(184),,,,,+1(67),
33,南京邮电大学,三相之力,5,557,Gold,柏广凡,陈锐,刁煜凡,,+1(244),+1(22),,+1(67),,+3(130),,,,,+2(34),
34,浙江理工大学,钻石羊,5,563,Gold,林航宇,罗晨宇,杨昊泽,,-5,+1(15),,+2(91),,+1(118),,,,+1(269),+2(30),
35,浙江师范大学,梅溪湖女孩说队名一定要长那就这么长吧,5,574,Silver,凌静,刘浩,余知航,,+2(251),+1(46),,+1(61),,+1(134),,,,-5,+2(42),
36,浙江师范大学,村里最好的键盘,5,591,Silver,黄正结,苏丁力,万昱君,,,+1(48),,+1(77),,+1(121),,+3(279),,,+1(26),
37,东北大学,则式长号,5,592,Silver,李泽仁,邱而沐,武嘉鑫,,-44,+1(37),,+1(52),,+2(104),,,+3(261),,+3(38),
38,安徽大学,墙角猫,5,595,Silver,陈昱翔,汪敏瑞,王唯臣,,+3(251),+1(28),,+2(60),,+3(112),,,,,+1(44),
39,电子科技大学,UESTC_POP,5,595,Silver,欧阳韬,潘训涛,彭俊强,,,+1(31),,+1(54),,+3(107),,+4(254),,,+2(29),
40,中山大学,SYSU_苍蓝星,5,605,Silver,刘佳荣,任飞宇,叶荣臻,,+2(271),+1(33),,+1(14),-2,+3(202),,,,,+1(25),
41,东北农业大学,七喜炖螃蟹,5,615,Silver,李润泽,孙洪嘉,王钰涵,,+1(299),+1(55),,+1(82),,+1(150),,,,,+1(29),
42,哈尔滨工业大学（深圳）,吃啥都不加香菜,5,620,Silver,毛志东,彭博濠,亚梦溪,,-1,+1(50),,+1(67),,+4(124),,,,,+1(41),+3(238)
43,浙江工业大学,眼大鸟2,5,621,Silver,江一鸣,王孜杰,温圳,,-3,+1(24),,+2(43),,+3(155),,+4(245),,,+2(14),
44,南开大学,范德蒙德行列式,5,634,Silver,欧阳文豪,史浩森,诸佳昕,,+2(163),+1(27),,+3(67),,+5(225),,-1,,,+1(12),
45,重庆大学,银川偷到鸡了吗兄弟,5,639,Silver,符敦政,杨崇钰,郑钰心,-1,-1,+1(41),-1,+1(57),-1,+1(136),-1,+4(294),-1,-1,+2(31),-1
46,北京邮电大学,零叉八C,5,648,Silver,梁昊骞,林麒,孙明志,,,+1(18),,+2(41),,+4(158),,+4(244),-1,,+2(27),
47,北京邮电大学,常数抛光机,5,654,Silver,陈程,范珈诚,柳畅,-3,+4(242),+1(35),,+1(29),,+3(210),,,,,+2(18),
48,长春理工大学,比速度,5,655,Silver,陈昶文,李泽鹏,孟令书,,+3(219),+1(84),,+2(76),,+4(136),,,,,+1(20),
49,浙江财经大学,Starlight2,5,661,Silver,柴奕,李欣阳,周人豪,,+1(273),+1(33),,+2(64),,+1(180),,,,-1,+2(71),
50,湘潭大学,我太南了,5,686,Silver,代卓岑,屈京,杨舒文,,,+1(40),,+1(49),,+2(216),,+4(264),-11,,+1(37),
51,浙江大学城市学院,拿了金牌就去吃鸡,5,692,Silver,孙华阳,陶汀,庄博伟,,+2(210),+1(40),,+3(71),,+1(154),,,-1,-3,+4(97),
52,山东大学,唯我心,5,697,Silver,黄敏聪,马旭阳,魏秀颖,,,+1(14),,+5(102),,+2(157),,,-1,+1(192),+5(52),
53,北京航空航天大学,无限大の梦,5,743,Silver,林昱同,沈中海,张凯杰,,-1,+1(45),,+1(61),,+3(196),,,+6(271),,+1(30),
54,浙江工业大学,刃鸣近月，千恋万花,5,745,Silver,吴泽成,杨俊尧,周阳,,+3(226),+2(92),,+2(21),,+4(210),,,,,+2(36),
55,北京理工大学,I题是个签到题,5,754,Silver,徐子懋,张庚辰,周弈帆,,-3,+1(53),,+1(24),,+9(180),,+1(286),,,+2(31),
56,浙江工商大学,肥宅真的好快乐,5,784,Silver,缪佩翰,沈彤,王龙,,+2(285),+1(30),,+2(71),,+7(197),,,,,+1(41),
57,西安交通大学,毕业自动机,5,785,Silver,降伟鹏,茅添成,朱泽荧,,+5(253),+1(51),,+2(87),,+4(220),,,,,+1(14),
58,徐州工程学院,徐工一队,5,792,Silver,陈宇杰,潘锦程,杨镇,,+1(269),+1(124),,+1(109),,+4(196),,,,,+1(34),
59,北京理工大学,森の妖精,5,847,Silver,龙水彬,沈云汉,周赫斌,,-14,+1(32),,+2(46),,+8(234),,,+1(261),,+4(54),
60,武汉工程大学,江湖夜雨十年WA,5,848,Silver,刘一麟,刘子涵,张超熠,,+8(274),+1(66),,+1(106),,+3(170),,,,,+2(32),-56
61,东北师范大学,墨染樱花,5,874,Silver,邓鹏辉,黄星朔,万锴迪,,+4(214),+2(29),,+1(44),,+7(233),,,,-1,+5(74),
62,哈尔滨工业大学,我们都有光明的前途,5,882,Silver,邓俊辰,董希尧,孔佑康,,+7(299),+1(43),,+1(55),,+6(201),,,,,+2(44),
63,河海大学,朴实无华且枯燥,5,914,Silver,罗旭江,汤明杰,王克,,+9(299),+1(117),,+1(74),,+2(208),,,,,+1(36),
64,福建师范大学,中二少年,5,1154,Silver,黄嘉琦,黄银,林炜,,+7(284),+1(19),,+1(43),,+1(182),,,-1,,+14(246),
65,西北大学,carry NE,4,184,Silver,李萱,刘宇豪,熊亚锟,,-6,+1(11),,+1(27),,+1(111),,,,,+1(35),
66,大连理工大学,TToughy,4,238,Silver,归宇通,胡小涛,衣泽民,,-4,+1(33),,+1(55),,+1(120),,,,,+1(30),
67,香港理工大学,香港理工一队,4,266,Silver,孙保航,徐颖,严灏哲,,,+1(30),,+1(64),,+2(141),,,,,+1(11),
68,中山大学,SYSU_南极石,4,272,Silver,谭嘉伟,王润锋,张展邦,,-7,+1(34),,+1(76),,+1(111),,,,,+2(31),
69,北京航空航天大学,打不赢电脑,4,275,Silver,姜圣虎,廖纪童,彭毛小民,,-4,+1(37),,+2(59),,+1(114),,,,,+2(25),
70,中南林业科技大学,邪恶键盘人,4,279,Silver,李定,邱建立,任芳,,,+1(27),,+1(57),,+1(152),,,,,+1(43),
71,哈尔滨工业大学（深圳）,平山村男子职业幼儿园,4,287,Silver,邱建盛,吴俊达,张致远,,,+1(31),,+1(71),,+1(137),,,,,+1(48),
72,浙江财经大学,Twilight,4,296,Silver,丁一凡,徐俊楠,朱智凯,,,+1(19),,+1(73),,+1(130),,,,,+2(54),
73,山东大学,本题唯一指定算法,4,296,Silver,曹远,李元豪,吕玺,,-2,+1(57),,+2(59),,+1(130),,-3,,,+1(30),
74,浙江工业大学,ZJUT5,4,297,Silver,欧阳鹏翔,王锦鸿,於佳乐,,-3,+1(38),,+1(79),,+1(150),,,,,+1(30),
75,东北林业大学,要喵内不要打篮球,4,300,Silver,葛言禄,孙杰,张澎,,,+1(24),,+1(60),,+1(124),,,,,+3(52),-1
76,厦门大学,多吃菜,4,301,Silver,张浩然,张添翼,赵佳驰,,-2,+1(22),,+2(65),,+4(110),,,,,+1(24),
77,杭州电子科技大学,茗叶含香,4,320,Silver,刘铭洁,王涵朵,叶子帆,,,+1(34),,+1(71),,+4(134),,-3,,,+1(21),
78,中国传媒大学,可有鱼丸粗面,4,335,Silver,曹可意,邓楚盟,夏业伟,,,+1(45),,+1(73),,+1(162),,,,-3,+2(35),
79,东北大学秦皇岛分校,NEUQ-Thursday,4,337,Silver,董明宇,黄鑫源,孙意,,-4,+1(31),,+2(66),,+2(144),,,,,+2(36),
80,长沙学院,为人师表,4,338,Silver,何邵炫,吴轩,许斌斌,,,+1(50),,+1(68),,-6,,,,+2(153),+1(47),
81,西北工业大学,哆啦AC梦,4,341,Silver,杭帅君,金煜峰,李天舒,,-1,+1(31),,+2(59),,+1(129),,,,,+3(62),
82,暨南大学,樱桃泥,4,347,Silver,胡铭枫,黄书鹏,霍志鸿,,-3,+1(63),,+2(96),,+1(146),,,,,+1(22),
83,青岛大学,粉红凤凰花凤凰,4,362,Silver,李磊,李阳,祖亚君,,-4,+1(62),,+1(74),,+2(146),,,,,+2(40),
84,山东大学（威海）,！！,4,370,Silver,曾鹏武,刘自轩,谢松江,,,+1(34),,+1(69),,+3(128),,,,,+2(79),
85,重庆邮电大学,圆环之理,4,370,Silver,何杨,刘茜,周星宇,,-1,+1(59),,+1(32),,+3(166),,,,,+2(53),
86,华南理工大学,SCUT_毛骨悚然行,4,375,Silver,郭俊豪,黄宗达,张芸辉,,-4,+1(37),,+3(86),,+1(150),,,,,+2(42),
87,浙江大学城市学院,四级好难过啊,4,377,Silver,骆一辉,王文海,周佳辉,,-4,+1(68),,+2(102),,+1(166),,,,,+1(21),
88,广东工业大学,强制授权,4,378,Silver,邓会业,黄炜轩,刘浩瀚,,-6,+1(53),,+1(68),,+2(185),,,,,+2(32),
89,山东理工大学,lzz上分之旅,4,391,Silver,林瑞泽,张林,周煜浩,,,+2(54),,+2(77),,+1(119),,,,,+3(61),
90,华东师范大学,沙发里的沙发,4,391,Silver,李思,吕熠强,陶传贵,,-1,+1(35),,+1(86),-4,+2(190),,,,,+2(40),
91,中国石油大学（华东）,实际情况表现得更优,4,395,Silver,丁晨晨,马浩睿,王婷婷,,-4,+1(98),,+2(39),,+2(181),,,,,+1(37),
92,苏州大学,两队同路开始多口相声,4,400,Silver,崔耘旗,徐伟,徐一,,-2,+1(66),,+3(83),,+1(120),,,,-2,+3(51),
93,华南理工大学,犹豫就会败北，莽撞就会AC,4,408,Silver,曾越,李志豪,张业鸿,-4,,+1(101),,+2(28),,+1(222),,,,,+1(37),
94,台州学院,最大牛,4,415,Silver,陶源,翁黄格,詹志龙,,-8,+1(47),,+1(64),,+3(206),,,,,+2(38),
95,苏州大学,六人同行必有祭天队友,4,425,Silver,罗峰,乔丹,朱泽楷,,,+1(70),,+1(103),,+2(193),,,,,+1(39),
96,杭州电子科技大学信息工程学院,要能搞个铜就好了,4,427,Silver,陈康,毛一枭,朱菡清,,-6,+1(62),,+3(28),,+5(129),,,,,+2(68),
97,东北师范大学,凛冬将至,4,428,Silver,陈瑜,梁怡萍,赵梦宇,,,+1(46),,+1(21),,+1(162),,,,,+5(119),
98,西北工业大学,今天J题是SAM，E题是模拟，D题是AC自动机fail树上建可持久化线段树,4,430,Silver,毛心东,冉哲瑞,王嘉利,,+2(229),+1(68),,+2(26),,-9,,,,,+2(47),
99,北京师范大学-香港浸会大学联合国际学院,气气球一分钟四个,4,431,Silver,邓凯文,龙跃鹏,徐子木,,,+1(53),,+1(83),,,,+1(276),,,+1(19),
100,广东工业大学,追寻局部真理,4,435,Silver,李光证,刘铸耿,卢俊杰,,-2,+1(54),,+1(86),,+3(216),,,,,+1(39),
101,郑州大学,挨奶一声山水绿,4,436,Silver,陈炜超,李辉,王昕瑜,,-3,+1(71),,+1(129),,+1(154),,,,,+4(22),
102,北京交通大学,五年现场三年网络,4,438,Bronze,崔晓腾,张博成,朱泽衢,,,+1(94),,+1(99),,+1(209),,,,,+1(36),
103,南昌航空大学,橘子猫暴打我,4,439,Bronze,陈肇杰,刘辅强,章文贵,,-5,+1(38),,+1(93),,+1(201),,,,,+3(67),
104,电子科技大学,UESTC_Trimen,4,443,Bronze,梁子辉,潘星霖,吴旭东,,-10,+1(12),,+1(36),,+8(231),,,,,+1(24),
105,湘潭大学,木瓜同学,4,447,Bronze,贺强,雷智凯,袁泽,,-3,+1(159),,+1(65),,+1(189),,,,,+1(34),
106,长沙理工大学,我想要小姐姐,4,447,Bronze,陈文俊,黄迪文,彭洋,,,+1(43),,+2(132),,+1(223),,,,,+1(29),
107,哈尔滨工程大学,沧桑旅者,4,469,Bronze,高嘉乐,贾连晨,张婧轩,,,+1(54),,+2(112),,+3(149),,,,,+2(74),
108,中国地质大学（北京）,憨上加憨上加憨,4,469,Bronze,陈世琛,郝进,姜博源,,-12,+1(29),,+2(116),,+4(181),,,-2,,+3(23),
109,青岛大学,AC主旋律,4,471,Bronze,王俊皓,赵心治,左一兵,,,+1(134),,+1(86),,+1(187),,,,-1,+1(64),
110,哈尔滨工程大学,马上就要把楼上超过了,4,474,Bronze,方福鑫,王凯,许明杰,,,+1(28),,+1(56),,+5(271),,,,,+1(39),
111,华中科技大学,管理员,4,478,Bronze,李仕奇,王慧,原圣聚,,,+1(88),,+1(131),,+1(219),,,,,+1(40),
112,复旦大学,蝴蝶梦,4,482,Bronze,力维辰,肖亚语,许逸培,,-3,+1(47),,+2(40),,+4(243),,,,-2,+3(32),
113,中南大学,萌新观光团,4,490,Bronze,刘粲宇,王江奎,王志隆,,,+1(131),,+1(75),,+4(174),,,,,+2(30),
114,浙江大学,蓝泥湾,4,491,Bronze,付冰洋,王宣煊,张龙姣,,-1,+2(36),,+1(50),,+4(224),,,,,+3(61),
