Rank,Country,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,China,华东师范大学,acm.ecnu.edu.cn:1001,10,1237,+1(17),+1(287),,+2(25),+1(84),,+2(142),+1(10),,+1(182),+3(46),+1(52),+3(272)
2,China,福州大学,大熊软糖,9,936,+1(12),-13,,+1(20),+1(80),,+1(187),+1(7),,+3(269),+1(163),+1(36),+1(122)
3,North Korea,朝鲜理科大学,Redstar,9,968,+1(10),+1(273),,+1(34),+1(60),,+1(53),+1(8),-3,,+2(79),+2(233),+1(178)
4,China,北京师范大学,古手羽入,9,1055,+1(8),,,+1(33),+3(272),,+1(100),+1(9),,+4(293),+2(139),+1(45),+1(36)
5,North Korea,金日成综合大学,RNS2019,9,1129,+1(5),+4(262),,+1(14),+1(84),,+2(131),+1(8),,-7,+2(166),+2(51),+1(288)
6,China,上海交通大学,国士无双,9,1365,+1(4),+3(260),,+1(13),+6(191),,+2(247),+1(5),-12,,+6(130),+1(26),+2(209)
7,China,北京大学,会想会码不会调,8,726,+1(8),-10,,+1(13),+1(133),,+1(108),+1(9),,+2(275),+4(69),+1(31),-4
8,China,北京大学,德先生,8,801,+1(5),,,+1(15),+2(258),,+2(218),+1(7),,-16,+2(75),+2(34),+1(109)
9,China,电子科技大学,UESTC_Trimen,8,875,+1(7),,,+1(19),+1(150),,+1(201),+1(10),,+3(294),-10,+1(35),+1(119)
10,China,西安交通大学,渡渡鸟幼儿园,8,913,+1(6),,,+1(14),+1(122),,+1(272),+1(8),,+3(281),+1(68),+4(42),-1
11,North Korea,朝鲜理科大学,SCLI,7,432,+1(18),,,+1(28),+1(86),,+1(170),+1(7),-7,,-1,+1(15),+1(108)
12,China,浙江大学,Legilimens,7,437,+1(3),,,+1(18),+1(75),,+1(131),+1(8),,-6,+3(104),+2(38),
13,China,中国矿业大学,黄金矿工,7,749,+2(23),,,+1(28),+1(142),,+1(218),+1(11),,,-1,+1(52),+3(215)
14,China,浙江大学,Extraterrestrial,7,768,+1(7),,,+1(33),-9,,+2(84),+1(10),,,+4(193),+3(133),+1(188)
15,China,吉林大学,黑眼圈,7,1074,+1(6),,,+1(16),+5(214),,-1,+1(9),,,+4(225),+4(236),+2(148)
16,China,中国科学技术大学,); DROP TABLE Teams; --,6,436,+1(6),,,+1(26),-10,,+2(159),+1(11),,,,+1(45),+1(169)
