Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Dirt,Medal,Unofficial,Girl
1,1,北京大学,冒险小虎队,11,1416,+4(226),+1(19),-,+1(179),+1(255),+1(120),+2(61),+3(197),+1(10),-1,+1(137),+1(86),-,+1(6),35%,Gold,N,N
2,2,山东大学,十六夜,9,1219,-,+1(20),-,+1(133),-,+1(115),+1(91),+3(175),+1(37),-,+3(250),+3(275),-,+1(3),40%,Gold,N,N
3,,北京大学,兰登姆苟得桑,9,1434,+2(285),+1(27),-,+4(123),-,+1(219),+2(86),-1,+2(41),-,+4(270),+3(161),-,+1(2),55%,Gold,N,N
4,3,华东师范大学,_,9,1456,+4(239),+1(30),-,+7(297),-,+2(159),+1(98),+2(152),+1(18),-,+1(241),-2,-,+1(2),55%,Gold,N,N
5,4,郑州大学,队友倒写强连通,8,1067,+5(248),+1(23),-,+5(178),-,+1(155),+1(77),-1,+3(53),-,+1(132),-3,-,+1(1),55%,Gold,N,N
6,5,西南民族大学,旺仔一家,8,1097,+1(167),+1(32),-,+1(127),-,+1(264),+3(97),-,+2(57),-,+1(291),-,-,+1(2),27%,Gold,N,N
7,6,浙江农林大学,白昼之光,8,1143,-8,+1(25),-,+5(198),-,+4(187),+1(105),+2(242),+1(54),-,+1(170),-,-,+1(2),50%,Gold,N,N
8,7,华东理工大学,这不是BZOJ原题吗,8,1182,-,+1(11),-,+1(255),-,+1(125),+1(74),+8(287),+2(45),-,+2(204),-,-,+1(1),52%,Gold,N,N
9,8,北京航空航天大学,一号位,8,1228,-,+1(19),-,+5(206),-,+1(194),+1(111),-,+2(31),-1,+3(290),+1(232),-,+1(5),46%,Gold,N,N
10,9,浙江大学,Immortal Shield,8,1248,+2(120),+1(7),-,-2,-,+7(269),+1(90),-,+3(29),-,+3(134),+5(298),-,+1(1),65%,Gold,N,N
11,10,浙江工业大学,眼大鸟2,8,1256,+3(232),+1(37),-,+3(288),-,+3(158),+1(111),-4,+3(45),-,+2(202),-,-,+1(3),52%,Gold,N,N
12,11,电子科技大学,UESTC_goalkeeper,8,1329,-1,+1(24),-,+5(247),-,+3(141),+2(47),+1(279),+2(145),-,+4(222),-,-,+1(4),57%,Gold,N,N
13,12,南京航空航天大学,网络连接中断,8,1399,+3(236),+1(17),-,+3(280),-,+4(177),+1(106),+4(267),+3(75),-,-,-,-4,+1(1),60%,Gold,N,N
14,,北京航空航天大学,萌新求带,7,647,+1(208),+1(33),-,-1,-,+2(132),+1(82),-2,+1(22),-2,+1(147),-,-,+1(3),12%,Gold,N,N
15,,浙江大学,AutoClose,7,682,-6,+1(22),-,-5,-,+1(141),+1(54),-,+2(37),-,+4(188),+1(158),-,+1(2),36%,Gold,N,N
16,13,西安电子科技大学,几何旋律,7,683,-2,+1(18),-,+3(131),-,+1(65),+4(111),-2,+2(69),-,+1(167),-5,-1,+1(2),46%,Gold,N,N
