Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Unofficial,Girl
1,1,清华大学,三个顶俩,10,1379,+1(218),+1(63),+2(92),+2(36),-,+1(5),+2(205),+6(157),+1(284),-7,+2(126),+1(13),-,47%,N,N
2,2,北京大学,逆十字,8,1018,+1(95),+3(41),+2(141),+2(75),-,+2(43),+1(114),-,+6(264),-5,-1,+2(25),-1,57%,N,N
3,,北京大学,校门外歪脖树上的鸽子,8,1240,+3(237),+2(107),+1(192),+2(139),-,+1(21),+1(52),-,-1,-,+7(239),+3(13),-,60%,N,N
4,3,浙江大学,Heltion,8,1580,+1(46),+2(114),+1(298),+2(145),-,+4(103),+4(248),-,-,-,+3(242),+3(144),-,60%,N,N
5,,北京大学,代码养生学,7,903,+1(98),+2(55),-1,+3(163),-,+1(17),+1(244),-,-3,-,+1(241),+1(25),-,30%,N,N
6,,浙江大学,幽灵乐团,7,992,+2(99),+1(87),+1(269),+3(289),-,+1(15),-,-,-,-,+1(124),+2(29),-1,36%,N,N
7,4,南京邮电大学,Cirtrus,7,1277,+2(260),+1(87),-1,+7(215),-,+2(65),+1(160),-,-,-,+2(247),+2(43),-,58%,N,N
8,,清华大学,小万邦,7,1308,+1(280),+2(284),+1(257),+5(102),-,+2(11),+2(133),-,-,-,-,+4(41),-10,58%,N,N
9,5,华东师范大学,_,7,1360,+1(191),+2(116),-1,+9(230),-,+1(49),+1(243),-,-,-4,+4(284),+1(7),-1,63%,N,N
10,6,西铁一中,西铁一中代表队,7,1407,+3(152),+2(161),-,+8(290),-,+1(15),+2(279),-,-,-,+3(201),+2(29),-,66%,N,N
11,7,东南大学,艾斯易悠-都行,7,1523,+3(123),+4(217),+1(259),+6(206),-,+1(18),-,-,-,-,+4(291),+4(89),-,69%,N,N
12,8,上海大学,降维打击,6,697,+1(163),+2(98),+1(217),-8,-,+1(23),-,-,-,-,+4(85),+1(31),-,40%,N,N
13,9,北京航空航天大学,苍响,6,896,+3(194),+2(117),-,+2(243),-,+1(41),-,-,-,-1,+1(206),+1(15),-,40%,N,N
14,10,华侨大学,红日初升,6,933,+1(205),+1(153),+1(120),+5(286),-,+2(24),-,-,-,-,-,+1(45),-,45%,N,N
15,,浙江大学,Solitary,6,1028,+4(158),+3(200),-6,+3(274),-,+1(11),-,-,-,-,+2(176),+2(29),-,60%,N,N
16,11,电子科技大学,新月玫瑰,6,1030,+2(149),+1(118),-,+11(176),-,+2(28),-,-,-,-,+3(228),+1(51),-,70%,N,N
17,12,西安交通大学,渡渡鸟幼儿园,6,1034,+1(239),+1(109),+1(220),+5(249),-,+2(18),-,-,-,-,-2,+3(59),-,53%,N,N
18,13,南方科技大学,南方科技大学-马德里,6,1068,+2(184),+2(195),-,+4(284),-1,+3(48),+2(84),-,-,-,-,+4(53),-,64%,N,N
19,14,浙江师范大学,师傅把妖怪抓走了,6,1073,+2(240),+2(185),-,+5(145),-,+1(20),-,-,-,-1,+2(291),+2(32),-,57%,N,N
20,15,上海交通大学,破晓曦光,6,1096,+3(286),+1(189),-4,+3(144),-,+2(27),-,-,-,-,+1(248),+2(82),-,50%,N,N
21,,浙江大学,林加德,6,1219,+1(119),+5(273),-,+10(293),-,+1(23),-,-,-,-,+1(173),+2(58),-,70%,N,N
22,,上海交通大学,竖起天线,6,1242,+1(208),+2(213),-,+5(230),-,+1(19),-,-,-,-,+5(278),+3(74),-,64%,N,N
23,16,中山大学,中山大学_无人之境,6,1350,+6(168),+4(274),-,+7(294),-,+1(6),+2(284),-,-,-,-,+1(24),-,71%,N,N
24,17,复旦大学,小喵喵不喜欢计算几何,6,1378,+4(216),+4(284),-,-,-,+1(22),-,-,+12(276),-12,+5(118),+2(22),-,78%,N,N
25,18,厦门大学,叹为观止！,6,1391,+1(285),+1(201),-6,+4(265),-,+1(21),-,-,-1,-,+1(174),+10(205),-,66%,N,N
26,19,西南交通大学,站着挣钱,5,534,+2(197),+1(39),-,-3,-,+1(58),-,-,-,-,+2(154),+1(46),-,28%,N,N
27,20,南京大学,Continued,5,569,+1(211),+2(28),-,-7,-,+1(33),-,-,-,-,+6(134),+1(43),-,54%,N,N
28,,上海交通大学,奥德修斯之筏,5,602,+1(198),+3(83),-,+3(170),-,+1(24),-,-,-,-1,-7,+2(27),-,50%,N,N
29,21,东北大学,签到题怎么做啊,5,628,+1(64),+1(92),-,-13,-,+2(81),-,-,-7,-,+10(135),+2(36),-,68%,N,N
30,22,哈尔滨工业大学,希望气球没事,5,679,+2(244),+2(132),-,-3,-,+1(28),-,-,-,-,+2(167),+1(48),-,37%,N,N
31,23,北京邮电大学,常数抛光机,5,689,+1(133),+4(280),-,-,-,+1(71),-,-,-,-,+3(54),+2(31),-,54%,N,N
32,24,中国科学院大学,这么小声还想打ACM,5,691,+1(114),+1(163),-,-11,-,+2(64),-,-,-,-,+1(256),+2(54),-,28%,N,N
33,,东南大学,超高校级的打铁爆零,5,700,+2(86),-3,-,+4(186),-,+1(22),-,-,-,-,+2(262),+1(44),-,50%,N,N
34,,哈尔滨工业大学,无事生非,5,707,+2(125),+1(214),-,+1(278),-,+1(22),-,-,-,-,-,+1(48),-,16%,N,N
35,,南京大学,Icdereap,5,709,+1(200),+3(146),-,+5(206),-,+1(10),-2,-,-,-,-3,+1(27),-,54%,N,N
36,25,暨南大学,错误答案自动机,5,720,+2(89),+1(242),-6,-,-,+1(25),-,-,-,-,+2(286),+1(38),-,28%,N,N
37,26,杭州电子科技大学,吾有一數，名之曰「誒」,5,730,+1(195),+2(202),-,-13,-,+1(24),-,-,-,-,+1(260),+1(29),-,16%,N,N
38,27,西安电子科技大学,辛几何旋律,5,731,+2(183),+2(109),-,+4(155),-,+1(21),-,-,-,-,-6,+5(83),-,64%,N,N
39,28,北京理工大学,putchar,5,777,+3(158),+2(263),-,-,-,+2(18),-,-,-,-,+3(171),+1(47),-,54%,N,N
40,29,北京交通大学,芜湖菜,5,783,+2(169),+1(250),-,-,-,+1(42),-,-,-,-,+1(267),+1(35),-,16%,N,N
41,30,中国人民大学,我舅知道！,5,794,+2(280),+1(151),-,-4,-,+1(24),-,-,-,-,+3(236),+1(43),-,37%,N,N
42,31,西北工业大学,炼金术士,5,805,+2(152),+2(238),-,-5,-,+1(18),-,-,-,-,+2(273),+1(64),-,37%,N,N
43,32,武汉大学,旭旭哲哲聪聪,5,845,+6(273),+1(265),-,+2(114),-,+1(17),-,-,-,-,-2,+2(36),-,58%,N,N
44,33,哈尔滨⼯业⼤学（威海）,芜湖摸鱼,5,849,+2(188),+1(119),-,-,-,+1(51),-,-,-,-,+5(250),+4(81),-,61%,N,N
45,,中山大学,中山大学_午餐奶,5,850,+2(202),-,-,+5(197),-,+2(35),-,-,-,-,+1(249),+1(47),-,54%,N,N
46,,北京理工大学,ddl战神,5,858,+2(241),+5(173),-,+3(248),-,+1(24),-,-,-,-1,-,+1(32),-,58%,N,N
47,,杭州电子科技大学,五点共圆,5,865,+3(240),-1,-,+2(135),-,+3(32),-,-,-,-,+2(253),+2(65),-,58%,N,N
48,34,哈尔滨工业大学（深圳）,删库跑路,5,873,+4(236),+4(186),-,-9,-,+1(19),-,-,-,-,+3(246),+1(26),-,61%,N,N
49,,北京邮电大学,鸿蒙,5,902,+3(91),+1(136),-,-,-,+1(25),-,-,-,-,+1(247),+8(223),-,64%,N,N
50,35,福州大学,悠锐卡,5,910,+3(208),+1(155),-,-1,-,+1(19),-,-,-,-,+4(255),+3(133),-,58%,N,N
51,36,大连理工大学,二带一,5,938,+1(186),+4(264),-,-3,-,+1(9),-,-,-,-,+5(298),+1(41),-,58%,N,N
52,,东南大学,心做,5,973,+6(251),+2(264),-,-1,-,+1(18),-,-,-,-,+2(233),+2(47),-,61%,N,N
53,37,北京师范大学,深不可测,5,985,-,+5(119),-,+2(192),-,+1(11),-,-,-,-,+14(282),+1(21),-,78%,N,N
54,,福州大学,饭点到,5,1002,-2,+8(281),-,+2(139),-,+1(20),-,-,-,-,+4(193),+5(69),-,75%,N,N
55,38,华南农业大学,SCAU_鬼火一响,5,1069,+5(256),+4(128),-,-,-,+1(25),-,-,-,-,+4(251),+3(169),-,70%,N,N
56,39,华南理工大学,星辰闪耀,5,1190,+2(214),-,-,+13(252),-,+1(20),+3(293),-,-,-,-,+1(111),-,75%,N,N
57,,北京邮电大学,零叉八C,5,1237,+1(212),+12(242),-,-18,-,+3(52),-,-,-,-,+5(196),+5(115),-,80%,N,N
58,,复旦大学,自由泳,5,1255,+2(232),+2(127),-,-,-,+1(13),-,-,-,-,+4(296),+13(247),-,77%,N,N
59,40,中南大学,ACM太难玩了,4,398,+2(120),-2,-,-2,-,+1(43),-,-,-,-,+1(177),+1(38),-,20%,N,N
60,,清华大学,大伊万,4,407,+2(118),+2(165),-,-11,-,+1(8),-,-,-,-8,-,+2(56),-,42%,N,N
61,,南京大学,fireworks,4,429,-4,+4(180),-,-,-,+1(25),-,-,-,-,+1(81),+3(43),-,55%,N,N
62,,清华大学,大佬我能做你的小弟吗,4,437,+2(203),-2,-,-4,-,+1(19),+2(130),-,-,-,-,+1(45),-,33%,N,N
63,41,湖南大学,图一乐,4,441,-9,+2(162),-,-,-,+1(15),-,-,-,-,+4(152),+1(32),-,50%,N,N
64,,北京交通大学,一笑奈何,4,459,+3(215),+1(132),-,-8,-,+1(23),-,-,-,-,-,+1(49),-,33%,N,N
65,,北京大学,我垫你们底,4,478,+1(98),+2(114),-,-9,-,+2(49),-,-,-,-2,-,+3(137),-,50%,N,N
66,,华南理工大学,PTY的小迷妹,4,479,+1(222),-1,-,+3(126),-,+2(20),-,-,-,-,-1,+1(51),-,42%,N,N
67,,杭州电子科技大学,杭电三队,4,488,+1(200),-6,-,+2(147),-,+1(38),-,-,-,-,-2,+2(63),-,33%,N,N
68,42,长沙理工大学,男同竟在我身边,4,496,+2(238),+2(162),-,-11,-,+1(19),-,-,-,-,-2,+1(37),-,33%,N,N
69,,厦门大学,你又会了,4,498,+2(191),-,-,-,-,+1(31),-1,-,-,-,+2(120),+1(116),-,33%,N,N
70,,南京邮电大学,宝键锋从磨砺出,4,503,+1(140),+1(207),-,-,-,+2(101),-1,-,-,-,-6,+1(35),-,20%,N,N
71,43,烟台大学,伊丽莎白,4,520,+1(264),+2(194),-,-13,-,+1(26),-,-,-,-,-,+1(16),-,20%,N,N
72,44,吉林大学,世末鸽者,4,530,-,+2(173),-,+3(242),-,+1(17),-,-,-,-,-,+1(38),-,42%,N,N
73,,电子科技大学,赤兔马,4,545,+3(179),-2,-,-,-,+1(27),-,-,-,-,+2(212),+2(47),-,50%,N,N
74,,华东师范大学,二环己基碳二亚胺,4,557,+1(170),+1(210),-,-3,-,+1(31),-,-,-,-,-,+3(106),-,33%,N,N
74,,北京航空航天大学,奔跑的小菜鸡,4,557,+1(211),+4(179),-,-,-,+1(38),-,-,-,-,-,+2(49),-,50%,N,N
74,,北京邮电大学,三只喵喵一锅汤,4,557,+3(225),+4(178),-,-3,-,+1(32),-,-,-,-,-1,+1(22),-,55%,N,N
77,45,郑州大学,有被而来,4,567,+4(244),+2(129),-5,-2,-,+1(24),-,-,-,-,-1,+4(30),-,63%,N,N
