Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
1,Peking University,Legendary King of Chengdu,9,1205,+1(29),,+2(71),+1(158),+2(166),+2(77),+2(180),+2(266),+2(133),,-44,+1(5)
2,Shanghai Jiao Tong University,Imperishable Night,9,1391,+1(80),-1,+1(143),+1(24),+1(273),+3(68),+2(176),-1,+2(217),+1(282),-1,+2(28)
3,Fudan University,The Black Knights,8,1440,+1(61),,+7(156),+1(92),+7(287),+2(109),+2(230),,+2(189),,,+1(16)
4,Fuzhou University,Living Along with a Little Drizzly,6,744,+2(55),,+1(243),+1(77),,+1(145),+2(171),,-2,,,+1(13)
5,South China University of Technology,CSP-Junior Group,6,960,+1(33),,+2(234),+1(75),,+7(168),+1(292),,,,,+1(18)
6,The Chinese University of Hong Kong,Play Energy,6,1028,+1(278),,+3(112),+1(51),,+4(199),+3(242),,,,,+1(6)
7,Southern University of Science and Technology,SUSTech-Argovie,6,1265,+2(166),,+1(288),+2(132),,+7(238),+1(269),,,,-1,+1(12)
8,Tsinghua University,Cyberpunk2277,6,1287,+1(256),,+1(279),+2(58),,+11(269),-1,,-7,+2(159),,+1(26)
9,Guangdong University of Technology,GDUT_Tepig gogogo,6,1338,+1(135),,+5(274),+1(88),,+2(205),+2(270),,,,,+5(166)
10,Nanjing University,fireworks,5,562,+1(116),,-2,+2(50),-2,+1(131),+1(232),,,,,+1(13)
11,University of Electronic Science and Technology of China,UESTC_Yasashii,5,630,+1(45),,-6,+4(123),,+3(134),+2(189),,,,,+1(19)
12,The Chinese University of Hong Kong,Halting Problem Decider Decider,5,691,+6(278),,,+2(47),,+1(74),+2(120),,,,,+2(12)
13,City University of Hong Kong,MMW Kowloon Tong,5,705,+1(76),,,+1(101),,+6(169),+2(226),,-3,,,+1(13)
14,Zhongshan (Sun Yat-sen) University,SYSU_ACMediumAndHard,5,798,+1(55),,+5(194),+3(162),,-6,+1(220),,,,,+2(27)
15,The Chinese University of Hong Kong,Attitude Soft,5,801,+1(218),,,+1(62),,+6(277),+1(130),,,,,+1(14)
16,Beihang University,kaguya-sama wanna me AC,4,427,+2(99),,,+1(61),,-5,+1(233),,,,,+1(14)
17,Xi'an Jiaotong University,Unnatural AC,4,735,+1(195),,,+1(93),,+9(261),,,,,,+1(26)
18,Hong Kong University of Science and Technology,Paper Jam,3,233,-1,,,+1(51),-3,+3(125),-2,,,,,+1(17)
19,Xi'an Jiaotong University,ddd,3,294,,,-3,+2(71),,+4(100),-3,,,,,+2(23)
20,"The Chinese University of Hong Kong, Shenzhen",Three Teletubbies,3,300,,,-1,+1(82),-1,+2(140),,,,,,+2(38)
21,Guilin University of Electronic Technology,QAQ,3,340,,,,+1(105),,+2(157),,,,,,+2(38)
22,Xiamen University,One Submission Per Second,3,471,,,,+2(102),,-4,+3(265),,,,,+1(44)
23,Huazhong University of Science & Technology,"No prize, no peace",3,484,-1,,,+2(81),,+4(282),,,,,,+1(41)
24,Hong Kong Polytechnic University,POLYU-TY,3,504,,,,+1(125),,+3(291),,,,,,+1(48)
25,South China Normal University,from rm -rf /* to escape,3,536,,,,+4(131),,+5(253),,,,,,+1(12)
26,Macau University of Science and Technology,auto ac machine,3,551,,,,+1(114),,+4(293),,,,,,+1(84)
27,Northwest University,NFonline,3,583,,,,+2(177),,+1(263),,,,,,+1(123)
28,Shanghai Maritime University,Saigo no Hamon,3,722,,,,+4(166),,+4(231),,,,,,+4(145)
29,Hong Kong University of Science and Technology,Survive the Turbulence,2,105,,,,+2(68),,-5,,,,,,+1(17)
30,Hong Kong University of Science and Technology,team5,2,126,,,-10,+1(58),,-5,,,,,,+2(48)
31,Jiangxi University of Finance and Economics,Ying's Kong,2,222,,,,+3(118),,-5,,,,,,+1(64)
32,Chengdu University of Technology,no code no life,2,378,,,,+4(134),,,-6,,,,,+1(184)
33,Harbin University of Science and Technology at Rongcheng,wangzai NB,2,432,,,,+1(269),,-1,,,,,,+1(163)
34,Zhejiang SCI-TECH University,Where the dream starts,2,434,,,,+2(118),,-4,,,,,,+1(296)
35,Beijing Normal University at Zhuhai,Just for free tour,2,630,,,,+5(263),,,,,,,,+1(287)
36,University of Macau,305 Use Proxy,1,93,,,,+1(93),,,-6,,,,,
37,Hong Kong Polytechnic University,POLYU1,1,147,,,,+1(147),,,,,,,,-1
38,University of Macau,WhiteGivers-UM,1,199,,,,+2(179),,,,,-4,,,
39,Dongguan University of Technology,AC Orz,1,276,,,,-1,,,,,,,,+1(276)
40,The Hang Seng University of Hong Kong,HSUHK,1,456,,,,+10(276),,,,,,,,
