Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
1,金奖,北京理工大学,ddl战神,8,1271,+1(9),+3(167),,+4(286),+1(52),,+1(185),,,+1(35),+1(96),,+4(281)
2,金奖,北京大学,3MA,7,668,+1(15),+1(85),,+4(140),+1(45),,+1(179),,,+1(71),+2(53),,-4
3,金奖,北京大学,超长宕机,7,873,+1(18),+1(69),,+5(260),+1(52),,+2(176),,,+2(35),+2(123),,-1
4,金奖,东南大学,心做,7,921,+1(12),+1(141),,-5,+2(54),,+2(236),+1(214),,+1(38),+4(126),,-1
5,金奖,上海交通大学,洒满黄浦江,7,1068,+2(21),+3(221),,-1,+1(33),,+3(247),+1(294),,+1(43),+3(69),,
6,金奖,清华大学,大伊万,7,1532,+2(18),+30(298),,+5(221),+1(42),,+2(122),,,+2(32),+1(79),,
7,金奖,北京邮电大学,幸福安心养老所,6,486,+1(21),+1(100),,-3,+1(53),,+1(160),,,+1(38),+1(114),,
8,金奖,南方科技大学,南方科技大学-楚格,6,530,+1(22),+2(123),,-1,+1(39),-2,+1(164),,,+2(16),+2(106),,-2
9,金奖,北京邮电大学,鸿蒙,6,607,+1(14),+1(52),,-4,+3(71),,+1(222),,,+2(84),+1(104),,-10
10,金奖,东南大学,艾斯易悠-都行,6,611,+1(13),+2(177),,-4,+1(40),,+1(203),,,+1(55),+1(103),,
11,金奖,东北师范大学,凛冬将逝,6,628,+1(10),-3,,+5(227),+1(34),,+2(132),,,+2(59),+1(46),,-7
12,金奖,华南理工大学,星辰闪耀,6,633,+1(14),+2(108),,,+1(36),,+1(245),,,+2(61),+2(109),,-5
13,金奖,浙江大学,幽灵集团,6,644,+1(11),+2(219),,-5,+2(27),,+1(248),,,+1(33),+1(66),,-3
14,金奖,杭州电子科技大学,int a,6,658,+2(29),+2(222),,-1,+1(53),,+2(187),,,+1(46),+1(61),,
15,金奖,电子科技大学,UESTC_Best_Wife,6,670,+1(28),+1(92),,-1,+3(69),,+4(253),,,+2(41),+1(67),,
16,金奖,华中科技大学,玩具阿萨姆运载车,6,680,+1(19),+1(71),,,+1(101),,+1(193),,,+3(119),+1(137),,-1
17,金奖,同济大学,机械化就输不了,6,707,+1(19),+1(154),,,+2(44),,+1(215),,,+3(69),+3(106),,
18,金奖,上海交通大学,空隙之线,6,726,+1(15),+3(194),,-1,+1(31),,+1(200),,,+3(63),+1(143),,-6
19,金奖,上海科技大学,未来道具研究所,6,728,+1(19),+1(177),,-1,+2(53),,+1(228),,,+2(63),+2(128),,
20,金奖,深圳大学,boomboomboom,6,776,+2(21),+1(141),,-1,+2(52),,+6(267),,,+1(36),+2(99),,
21,金奖,西安交通大学,我得重新集结部队,6,789,+1(27),+2(212),,,+2(58),,+1(185),,,+3(121),+1(106),,-3
22,金奖,电子科技大学,UESTC_网太慢直接掉线,6,793,+2(18),+2(174),,-7,+1(60),,+3(252),,,+1(48),+2(141),,
