Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,10,1182,+1(9),+1(69),+2(135),+2(214),+4(244),-,+2(170),+2(57),+1(5),+2(105),-5,+1(14),-,44%,Gold,N,N
2,,北京大学,逆十字,10,1260,+1(5),+1(64),+2(166),+3(73),+1(177),-,+1(226),+3(124),+1(8),+6(204),-,+1(13),-3,50%,Gold,N,N
3,2,清华大学,窗边明月,9,1289,+1(5),+1(44),+2(231),+5(121),+4(164),-,-10,+1(217),+1(14),+4(226),-,+2(27),-,57%,Gold,N,N
4,,北京大学,你这题保熟吗,8,1012,+1(6),+1(101),+2(62),+2(235),+6(280),-,-,-6,+1(16),+3(105),-,+1(27),-,52%,Gold,N,N
5,,清华大学,盖世汤圆,8,1033,+1(8),+1(88),+2(251),+7(195),+3(128),-,-,-5,+1(16),+4(95),-,+1(12),-,60%,Gold,N,N
6,3,浙江大学,Heltion and l1ll5 and SSerxhs,8,1201,+1(3),+3(68),-,-18,+2(156),-,+2(230),+3(175),+3(23),+5(282),-,+1(24),-,60%,Gold,N,N
7,,清华大学,小万邦,8,1430,+1(8),+3(58),+10(269),+4(240),+2(207),-1,-4,-1,+1(13),+4(254),-,+1(21),-3,69%,Gold,N,N
8,,浙江大学,幽灵乐团,8,1441,+1(6),+2(109),+4(292),+5(127),-7,-,-,+2(256),+1(9),+4(203),-,+5(119),-,66%,Gold,N,N
9,,清华大学,一更人,7,732,+1(7),+2(39),-,+3(89),+2(230),-,-,-5,+2(14),+3(188),-,+1(25),-,50%,Gold,N,N
10,4,南京大学,虚幻黄昏,7,874,+1(5),+4(97),+1(167),-7,+2(148),-,-,-,+1(15),+3(213),-,+3(69),-,53%,Gold,N,N
11,,浙江大学,电池没电了,7,928,+1(15),+3(167),-,+4(153),+1(212),-,-,-3,+1(5),+2(228),-,+1(28),-,46%,Gold,N,N
12,,清华大学,重启征途,7,951,+1(17),+8(218),-,-11,+1(102),-,-,+4(168),+2(9),+2(171),-,+1(26),-,63%,Gold,N,N
13,,北京大学,《上个大学这么多事呢》,7,963,+1(13),+3(74),+1(177),+3(173),-8,-,-,-,+1(6),+7(296),-,+1(24),-,58%,Gold,N,N
14,5,杭州电子科技大学,杭电二队,7,990,+1(16),+3(141),-,+2(177),+2(222),-,-,-,+1(11),+3(251),-,+2(32),-,50%,Gold,N,N
15,6,中山大学,中山大学_无人之境,7,1043,+1(6),+2(89),-,+2(281),+5(225),-,-1,-,+2(16),+4(205),-,+1(21),-,58%,Gold,N,N
16,,杭州电子科技大学,杭电一队,7,1191,+1(9),+3(185),-1,+6(148),+6(243),-,-,-,+2(20),+1(290),-,+1(36),-,65%,Gold,N,N
