Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,逆十字,12,1559,+1(5),+2(236),+1(31),+4(113),+1(55),+2(202),+1(256),+2(38),+1(172),+3(90),+4(132),-3,+1(9),47%,Gold,周雨扬,孔朝哲,潘骏跃,N,N
2,2,清华大学,小万邦,11,1816,+1(4),+2(221),+3(152),+4(104),+1(63),-5,+3(282),+1(110),+1(188),+2(123),-1,+4(251),+2(58),54%,Gold,房励行,王思齐,袁方舟,N,N
3,,清华大学,嘿嘿,10,1057,+1(14),-,+2(39),+2(151),+1(119),-5,+2(90),+1(33),+2(256),+1(54),-,+1(184),+2(17),33%,Gold,彭思进,李白天,黄子宽,N,N
4,,北京大学,你这题保熟吗,10,1407,+1(9),-,+1(41),+3(59),+1(195),-,+2(258),+1(71),-,+1(109),+2(296),+1(228),+3(21),37%,Gold,吕秋实,屠学畅,张博为,N,N
5,,清华大学,重启征途,10,1500,+1(10),-,+2(64),+1(44),+4(299),-,+7(221),+1(74),+2(245),+1(91),-,+1(193),+2(19),54%,Gold,代晨昕,蒋明润,马耀华,N,N
6,3,香港中文大学（深圳）,新手上路,10,1513,+2(16),-,+2(38),+3(136),+1(119),-,+3(229),+1(72),+1(242),+2(163),-,+2(295),+1(43),44%,Gold,徐源,忙秋阳,李冬旭,N,N
7,4,上海交通大学,柳,9,1323,+1(8),-,+1(32),+3(169),+2(243),-,+1(252),+1(65),+2(220),+5(149),-,-2,+1(25),47%,Gold,叶瑶琦,姜天乐,王照梓,N,N
8,5,浙江大学,Heltion & l1ll5 & SSerxhs,9,1365,+1(5),-,+1(25),+3(149),+1(104),-,+4(190),+2(67),+3(260),+7(256),-,-1,+1(29),60%,Gold,凌子恒,吕耀维,赵广泽,N,N
9,,北京大学,《上个大学这么多事呢》,9,1424,+2(14),-2,+4(102),+3(37),+1(86),-,+4(222),+2(126),+2(266),+3(288),-,-,+1(23),59%,Gold,吴永彤,林立,钟俊权,N,N
10,6,北京理工大学,ddl战神,8,906,+1(6),-,+1(44),+1(107),+1(223),-,-,+1(104),+2(208),+1(148),-,-,+2(26),20%,Gold,朱子林,林恺,邹知秋,N,N
11,,清华大学,队友跑了,8,937,+1(8),-,+2(44),+2(138),-,-,+1(170),+1(86),+2(239),+1(120),-,-,+2(52),33%,Gold,丁杭亮,徐哲安,陈立言,N,N
12,7,南京大学,白日,8,956,+1(6),-,+4(42),+1(130),+3(170),-,+2(246),+1(86),-3,+2(59),-,-1,+3(37),52%,Gold,冉宇杭,张昕渊,王淳扬,N,N
13,,北京大学,找不到该队,8,1119,+1(7),-,+1(51),+2(130),+2(182),-,-1,+1(81),+1(227),+6(255),-,-,+2(26),50%,Gold,余快,戴傅聪,陈奇之,N,N
14,8,北京邮电大学,三只蒟蒻,8,1293,+1(4),-,+1(35),+5(196),+5(268),-,-,+1(136),+1(286),+4(110),-,-1,+2(18),60%,Gold,区庆亮,张天泽,王佳禾,N,N
15,,上海交通大学,未至之境,8,1347,+1(4),-,+3(65),+2(128),+5(294),-,-,+2(112),+2(292),+3(205),-,-,+1(27),57%,Gold,方家昊,罗成元,钟林昊,N,N
16,9,国防科技大学,自然选择号,7,811,+1(9),-,+3(50),+4(181),-,-,-,+1(73),+1(137),+1(213),-,-,+2(28),46%,Gold,亢世嘉,吴佳英,左传奇,N,N
17,,北京大学,超长宕机,7,819,+1(10),-,+1(65),+2(166),-,-,+2(278),+2(121),-,+1(101),-,-,+1(18),30%,Gold,王泽州,王颖,金皓宇,N,N
18,10,北京航空航天大学,欺负人没有数理基础？,7,828,+1(6),-,+3(61),+1(117),-4,-,-,+1(81),+2(238),+2(168),-,-,+3(37),46%,Gold,唐怡浜,杨振炜,金炼凯,N,N
19,11,北京师范大学,内测度,7,866,+1(13),-,+3(45),+4(179),-,-,-,+1(101),+1(238),+1(146),-,-1,+2(24),46%,Gold,李明泽,李鼎懋,林靖轩,N,N
20,12,中山大学,中山大学_无人之境,7,870,+1(7),-,+3(80),+3(110),+2(160),-,-3,+1(33),-,+3(258),-,-,+3(42),56%,Gold,谢立辉,邓明昱,邝启鹏,N,N
21,13,天津大学,哈皮，拉ki，思迈露，耶,7,878,+1(6),-,+1(82),+5(101),+4(242),-,-,+1(98),-1,+1(147),-,-,+2(42),53%,Gold,叶泽侬,张博凯,马凯,N,N
22,14,南方科技大学,南方科技大学-托莱多,7,904,+1(13),-,+4(56),+1(60),+2(204),-,+3(284),+1(101),-,-1,-,-,+2(46),50%,Gold,周轶凡,曹哲振,田若载,N,N
