Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,清华大学,窗边明月,11,1704,杨骏昭,陈孙立,徐翊轩,Gold,N,N,+3(200),+2(48),+1(239),+2(81),+2(109),+4(69),+1(12),+6(297),,-3,+1(24),+1(93),+1(267)
2,2,北京大学,重生之我是菜狗,10,917,王展鹏,罗煜翔,蒋凌宇,Gold,N,N,+2(155),+1(11),+1(147),+1(65),+1(57),+1(26),+1(43),,-5,+4(202),+1(39),+1(87),
3,,清华大学,一更人,10,1109,周欣,叶卓睿,虞皓翔,Gold,N,N,+2(121),+1(29),+1(165),+2(60),+1(72),+4(202),+2(14),,-4,+3(169),+2(23),+2(49),
4,,北京大学,巨大的金刚鸽子,10,1486,郭城志,陈宇,徐舟子,Gold,N,N,+5(297),+4(65),+1(150),+1(89),+1(80),+4(25),+1(28),-1,-4,+2(228),+1(37),+4(202),
5,,北京大学,十三陵小丑,10,1705,任轩笛,吴瑾昭,黄致焕,Gold,N,N,+5(266),+3(173),+1(92),+1(122),+2(43),+2(113),+1(47),-27,,+1(238),+2(29),+8(259),
6,,清华大学,老年组,10,1768,陈雨昕,林昊翰,周镇东,Gold,N,N,+1(247),+1(32),+1(198),+1(31),+1(178),+15(230),+1(58),,,+1(267),+2(67),+2(136),
7,3,南京邮电大学,Citrus,9,1657,何乐晗,陈以信,赵一舟,Gold,N,N,+4(295),+3(110),+2(228),+3(35),+2(202),+2(112),+1(79),,,,+1(15),+5(298),
8,4,南京大学,白日,8,984,王淳扬,冉雨杭,张昕渊,Gold,N,N,+2(172),+1(61),+1(189),+2(106),,+1(30),+1(17),,,,+1(29),+4(277),
9,5,北京理工大学,ddl战神,8,1446,林恺,邹知秋,朱子林,Gold,N,N,+3(266),+1(72),-1,+2(128),+1(99),+11(280),+1(76),,,,+1(31),+2(210),
10,6,浙江大学,Heltion & l1ll5 & SSerxhs,7,1113,赵广泽,吕耀维,凌子恒,Gold,N,N,+4(191),+2(227),-2,+2(60),,+5(88),+1(33),,,,+3(61),+1(232),
11,7,北京航空航天大学,大吉大利，今晚吃 mian();,7,1234,潘天蔚,刘佳睿,郝泽钰,Gold,N,N,+1(290),+1(217),+1(51),+3(170),,+10(145),+1(75),,,,+2(42),,
