Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K
1,金奖,Shanghai Jiao Tong University,All-in at the River,8,825,+1(19),,+2(51),+1(222),+1(72),+1(77),+1(160),-4,+2(146),,+2(15)
2,金奖,Tsinghua University,The Great Ball,8,978,+1(20),,+5(165),+2(227),+2(79),+2(46),+2(93),+1(176),-14,,+1(8)
3,金奖,Beihang University,Poor Math,7,838,+1(23),,+2(82),,+2(147),+2(88),+2(185),,+1(215),,+1(15)
4,金奖,University of Science and Technology of China,Firezox,7,923,+1(20),,+2(106),-1,+2(245),+1(65),+5(206),,+2(124),,+1(14)
5,金奖,Peking University,3Jokers,7,945,+1(32),-2,+1(131),+1(177),+3(118),+1(60),+3(259),,-13,,+4(26)
6,金奖,Xi'an Jiaotong University,__builtin_clz,7,976,+1(6),,+5(162),,+1(62),+1(71),+6(249),,+2(201),,+1(22)
7,金奖,Southern University of Science and Technology,SUSTech-shiranai,7,1014,+1(16),,+5(210),+1(274),+2(90),+1(128),+1(167),,-16,,+1(26)
8,金奖,Harbin Institute of Technology,The tragedy of Macbeth,7,1297,+1(29),,+4(298),+1(272),+1(170),+3(278),,,+2(92),,+1(34)
9,金奖,South China University of Technology,Fat head fish has a fat head,6,653,+1(18),,+2(215),,+2(185),+1(63),+1(108),,-10,,+1(21)
10,金奖,Beihang University,AAUB,6,815,+1(18),,+3(159),,+2(188),+1(77),+1(262),,-7,,+1(48)
11,银奖,University of Electronic Science and Technology of China,UESTC_MagicalGirls,6,825,+1(7),,+2(81),-25,+3(259),+1(98),+4(232),,-2,,+1(25)
12,银奖,Tsinghua University,Nattofan,6,903,+3(25),,+5(223),-2,+4(107),+1(174),+1(155),,-1,,+1(37)
13,银奖,Peking University,mahoushoujyo,6,943,+1(26),,+6(266),,-9,+1(78),+2(248),,+3(143),,+1(19)
14,银奖,University of Electronic Science and Technology of China,UESTC_Remake of Oiers,6,954,+1(32),,-7,+1(218),+2(169),+1(98),+4(292),,-3,,+2(43)
15,银奖,University of Electronic Science and Technology of China,UESTC_ManInStack,6,982,+1(16),,+4(144),+1(190),,+3(166),+3(279),,,,+1(46)
16,银奖,Beijing University of Posts and Telecommunications,Three konjaks,6,1082,+1(9),,+8(196),,+5(215),+1(95),+6(227),-3,,,+1(17)
17,银奖,The Chinese University of Hong Kong,"ICPCP[O(log n), O(1)]",5,562,+2(17),,+2(90),,+5(227),+2(38),-6,,,,+1(48)
18,银奖,Hong Kong University of Science and Technology,HKUST1,5,653,+2(25),,+1(143),,,+1(109),+1(293),,,,+1(61)
19,银奖,Hangzhou Dianzi University,HDU-T17,5,714,+1(28),,+4(186),-1,,+5(217),+1(121),,,,+1(19)
20,银奖,Shanghai Jiao Tong University,Wandering with straw sandals,5,759,+2(13),,+3(91),,+5(176),+7(192),-6,,-7,,+1(24)
21,银奖,Zhejiang University of Technology,Tekkadan,5,760,+1(20),,+3(169),-2,,+3(165),+2(258),,,,+1(46)
22,银奖,Hunan University,Try Our Best,5,821,+1(13),,+2(145),,+6(287),+4(153),,,,,+1(42)
23,银奖,Northeastern University at Qinhuangdao,The Duiming Can't Pass Shenhe,4,364,+1(20),,+1(171),,,+1(105),-9,,,,+1(66)
24,银奖,Tongji University,Zimba,4,384,+2(47),,+1(156),-1,,+3(89),,,-8,,+1(31)
25,银奖,Zhengzhou University,Whateam,4,386,+1(20),,+3(165),,,+1(116),-2,,,,+1(44)
26,银奖,Hangzhou Dianzi University,HDU-T16,4,433,+1(22),,+4(216),,-4,+1(96),,,-3,,+1(37)
27,银奖,University of Science and Technology Beijing,UEP,4,501,+1(28),,+3(196),,,+1(161),,,,,+1(75)
28,银奖,Southern University of Science and Technology,SUSTech-Catalonian,4,502,+1(38),,+3(254),,-11,+1(114),,,,,+1(54)
29,银奖,Zhongshan (Sun Yat-sen) University,SYSU_404,4,520,+1(28),,-10,,,+2(77),+5(297),,,,+1(16)
30,银奖,Huazhong University of Science & Technology,NEEDY DAIKON OVERDOSE,4,521,+6(45),,+2(112),,-4,+2(133),-10,,,,+2(70)
31,铜奖,Hangzhou Normal University,I'm brave,4,528,+1(23),,+4(281),,,+1(108),,,,,+1(54)
32,铜奖,Huazhong University of Science & Technology,fufu eating rice,4,540,+3(31),,-13,,,+2(88),+3(277),,,,+1(42)
33,铜奖,Nanjing University,debugging in NJU dormitories,4,568,+1(27),,-3,,+2(158),+1(293),-3,,,,+1(69)
34,铜奖,Hong Kong University of Science and Technology,HKUST2,4,570,+1(41),,+2(135),,,+4(211),-5,,,,+2(82)
35,铜奖,Xinjiang Institute of Technology,Newton-Leibniz,4,582,+1(39),,-4,,,+3(233),,,+2(182),,+1(66)
36,铜奖,The Chinese University of Hong Kong,MaLiuShui Newbies,4,603,+1(15),,+7(292),,,+2(93),,,,,+1(61)
37,铜奖,The Chinese University of Hong Kong,Creme Burlee,4,605,+2(21),,+5(297),,,+3(96),-8,,,,+1(49)
38,铜奖,Guilin University of Electronic Technology,QAQ,4,624,+4(17),,-4,-1,+10(262),+1(71),,,,,+1(32)
39,铜奖,Harbin Institute of Technology at Shenzhen,hanser my angel,4,634,+1(22),,+9(278),,,+1(124),,,,,+1(49)
40,铜奖,University of Science and Technology of China,about:blank,4,810,+2(53),,+4(231),,+5(277),-10,,,,,+1(88)
41,铜奖,Renmin University of China,Lifting the Veil,4,851,+1(37),,+3(244),,+9(276),-5,,,,,+2(73)
42,铜奖,Chengdu University of Technology,gogogo,4,888,+4(58),,+3(275),,,+4(214),,,,,+3(140)
43,铜奖,Zhejiang A & F University,we are iron man,4,906,+1(28),,+3(287),,,+1(197),,,,,+8(213)
44,铜奖,Hangzhou Dianzi University,HDU-T11,3,125,+1(26),,-12,-1,-5,+1(81),-2,,,,+1(17)
45,铜奖,Zhengzhou University,I lost heaven,3,155,+1(18),,-6,,,+1(99),,,-5,,+1(37)
46,铜奖,China University of Petroleum-Beijing,Run away,3,161,+1(38),,-5,,-1,+1(96),,,,,+1(26)
47,铜奖,Fuzhou University,three lads,3,221,+1(22),,-9,,,+1(135),,,,,+1(63)
48,铜奖,Southwest University of Science and Technology,Do not kaibai,3,227,+1(17),,-10,,,+2(116),,,,,+2(53)
49,铜奖,Harbin Institute of Technology at Shenzhen,BTW,3,255,+1(20),,-3,,,+2(132),,,,,+3(42)
50,铜奖,Beihang University,So You Also Play XCPC,3,255,+2(63),,-9,,-5,+1(112),,,,,+1(60)
51,铜奖,Zhejiang A & F University,Study make us happy,3,271,+3(44),,-13,,,+2(117),,,,,+1(49)
52,铜奖,Qingdao University,Tomato_Nanoda,3,275,+1(23),,,,,+3(151),,,,,+1(60)
53,铜奖,Zhongshan (Sun Yat-sen) University,SYSU_Not Guangdong,3,282,+1(42),,-7,,,+1(130),,,,,+3(68)
54,铜奖,Shandong University,we miss cym,3,288,+3(25),,,,,+1(145),,,,,+2(57)
55,铜奖,Jiangxi University of Science and Technology,one codes two thinks three to serve tea,3,307,+2(46),,-1,,,+1(160),,,,,+1(80)
56,铜奖,Jiaxing University,Our captain hasn't passed CET4 yet,3,331,+1(95),,-6,,,+2(138),,,,,+1(77)
57,铜奖,Tianjin University,TJU_team2,3,341,+1(94),,,,-1,+1(186),,,,,+1(59)
58,铜奖,Guangdong University of Technology,GDUT_WA_and_WA_again,3,341,+1(20),,-5,,,+3(167),,,,,+2(94)
59,铜奖,Fuzhou University,NewHandOfDiv1,3,343,+2(20),,-2,,,+1(138),,,,,+4(104)
60,铜奖,Shandong University,bengbengzhadan,3,353,+2(59),,-20,,,+2(189),,,,,+1(64)
61,,Tongji University,rm-rf,3,366,+4(47),,-1,,-5,+1(166),,,,,+1(92)
62,,Qingdao University,LOL automaton,3,402,+2(27),,-11,,,+1(172),,,,,+5(102)
63,,South China University of Technology,FishBattle,3,417,+2(56),,-2,,-1,+2(210),,,,,+1(109)
