Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,摆烂人,10,1290,+2(12),+2(260),+3(66),+1(29),+1(212),+1(25),+2(53),-,+3(151),-,+4(121),-,+4(101),56%,Gold,冯施源,彭博,钱易,N,N
2,2,清华大学,有手有脚,10,1444,+4(70),+3(218),+4(69),+1(26),+3(256),+1(35),+1(136),-,+1(117),-,+3(85),-,+3(152),58%,Gold,杨珖,罗恺,陈于思,N,N
3,3,北京航空航天大学,自由落体,9,1127,+2(61),+3(283),+2(67),+1(42),-1,+1(8),+3(124),-,+1(138),-,+2(27),-,+2(217),47%,Gold,唐怡浜,杨振炜,金炼凯,N,N
4,4,上海交通大学,柳,9,1280,+1(42),-10,+6(134),+1(12),+2(192),+1(10),+2(129),-,+1(197),-,+3(54),-,+4(270),57%,Gold,叶瑶琦,姜天乐,王照梓,N,N
5,5,华中科技大学,鸭鸭鱼鱼虫虫,9,1339,+1(63),+4(285),+4(86),+1(12),-,+1(18),+5(182),-,+1(199),-,+3(58),-,+2(176),59%,Gold,俞仲遥,郑欣,龚宸,N,N
6,6,南京大学,triple_dogs,8,688,+1(19),-5,+2(34),+1(9),-2,+1(6),+5(108),-,+1(126),-2,+2(51),-,+3(175),50%,Gold,刘弘洋,张昕渊,王淳扬,N,N
7,7,香港中文大学（深圳）,巴克利,8,997,+2(72),-,+2(42),+1(17),-1,+1(12),+1(97),-1,+4(229),-,+1(77),-,+9(191),61%,Gold,忙秋阳,李冬旭,郭青硕,N,N
8,,上海交通大学,风乎舞雩,8,1016,+1(51),-1,+2(97),+1(18),-,+2(15),+2(133),-,+4(273),-,+1(66),-,+2(223),46%,Gold,冯缘,唐靖淇,郭吉舟,N,N
9,8,浙江工业大学,地球猫猫,8,1113,+4(36),-,+1(88),+1(24),-,+1(22),+4(133),-,+4(232),-,+2(65),-,+2(293),57%,Gold,张宇翔,李亚伦,陈洁怡,N,N
10,,北京大学,淹园外被鸽的鸽子,8,1131,+1(21),-,+2(51),+2(29),+2(245),+1(44),+4(200),-,+3(267),-,+2(94),-,-,52%,Gold,吴清月,胡晋侨,袁傲慕飞,N,N
11,9,电子科技大学,UESTC_阿梓从小就不会算期望,8,1210,+2(93),-1,+3(45),+3(48),-,+2(27),+3(153),-,+1(195),-,+2(96),-,+6(273),63%,Gold,彭帅康,李纪甫,诸人豪,N,N
12,,北京大学,无名氏,8,1241,+6(99),-,+3(88),+1(16),-,+1(31),+2(215),-,+2(161),-,+1(116),-,+3(295),57%,Gold,任柯瑾,林帮才,肖千与,N,N
13,10,中南大学,明日之风的三重奏,7,593,+1(38),-,+2(69),+1(17),-,+1(6),+1(118),-,-1,-,+1(82),-,+2(223),22%,Gold,徐国琛,李玄靖,赵伯阳,N,N
14,11,福州大学,东北饺子馆,7,793,+2(52),-,+1(82),+1(19),-,+1(17),+4(154),-,-1,-,+2(56),-,+5(233),56%,Gold,丁凌烁,王奕然,邓宇凡,N,N
15,12,中国科学技术大学,ac 之恋,7,797,+2(63),-,+1(77),+2(24),-,+1(13),+8(191),-,+1(158),-,+1(91),-,-,56%,Gold,殷跃然,王涵斌,舒英特,N,N
