Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,12,1312,+1(79),+1(166),+1(49),+1(99),+2(11),-2,+2(71),+1(143),+2(259),+2(119),+1(12),+1(210),+1(14),25%,Gold,王展鹏,罗煜翔,蒋凌宇,N,N
2,2,清华大学,别人 ac 我们 g,11,1151,+1(82),+4(188),+1(22),+1(56),+1(37),-1,+1(138),+1(126),-9,+1(221),+1(30),+1(180),+1(11),21%,Gold,张隽恺,胡昊,胡杨,N,N
3,,清华大学,一更人,10,1117,+1(38),+2(172),+1(100),+2(213),+2(16),-,+1(114),+1(221),-,+1(159),+1(19),-2,+1(5),23%,Gold,叶卓睿,周欣,虞皓翔,N,N
4,3,浙江大学,虚空之梦,10,1357,+1(64),+1(182),+2(88),+1(148),+4(49),-,+4(184),+1(219),-8,+1(262),+1(10),-,+1(11),41%,Gold,彭博,褚写庭,陈逸,N,N
5,,北京大学,老年旅游队,9,1190,+2(76),-1,+1(66),+1(109),+1(36),-,+2(164),+4(273),-,-,+1(13),+2(253),+1(80),40%,Gold,刘和金,林枫,翁伟捷,N,N
6,4,湖南大学,金色传说,9,1248,+1(35),+1(296),+2(135),+2(200),+3(63),-,+1(83),+5(240),-,-,+1(13),-,+1(23),47%,Gold,廖曙康,苏杰,范则鸣,N,N
7,,清华大学,青蛙市中心,9,1303,+1(94),+3(204),+3(132),+1(233),+2(43),-,-2,+3(296),-,+3(107),+1(9),-,+1(5),50%,Gold,彭思进,李白天,黄子宽,N,N
8,5,香港大学,我不是密接，我是阳性,8,1037,+2(69),-1,+4(180),+1(231),+1(47),-,+1(147),+1(255),-,-,+1(11),-,+1(17),33%,Gold,劉澈,姜佳禾,王安哲,N,N
9,6,杭州电子科技大学,杭电 7 队,8,1066,+2(55),+5(298),+1(137),+1(126),+1(21),-,+2(268),-,-,-,+1(24),-,+1(17),42%,Gold,林圣钬,林炜钦,赵铁囝,N,N
10,,浙江大学,广告位招租,8,1101,+1(71),+4(299),+2(132),+3(197),+2(30),-,+2(188),-5,-,-,+1(9),-,+1(15),50%,Gold,任庭旭,徐琪杰,王楚淏,N,N
11,7,南京理工大学,立一摸断平三色猫猫头,8,1263,+1(92),-,+1(184),+3(163),+3(34),-,+4(260),+5(281),-4,-,+1(10),-,+1(19),57%,Gold,郭佳樊,金朝哲,陈一涵,N,N
12,8,南京大学,虚幻黄昏,8,1343,+8(191),+4(54),+2(219),+1(189),+3(69),-,+3(299),-,-,-,+1(10),-,+1(12),65%,Gold,丁天行,单启程,欧丰宁,N,N
13,9,中山大学,中山大学_铁匠,8,1366,+1(16),+3(265),+6(161),+1(249),+7(120),-,+1(276),-1,-,-1,+1(13),-,+1(6),61%,Gold,刘志源,赵肖睿,高诗豪,N,N
14,10,暨南大学,Reimei,7,696,+2(68),-,+1(109),+1(158),+3(38),-,+2(202),-,-,-,+1(16),-,+1(25),36%,Gold,文荫华,詹方榕,麦骏,N,N
15,11,哈尔滨工程大学,下北泽沼气动力学园学园偶像同好会兼恋恋的信仰者教团改二,7,787,+2(66),-1,+1(227),+1(128),+2(71),-,+2(210),-5,-,-,+1(16),-,+1(9),30%,Gold,彭金浩,徐子涵,王昊宇,N,N
16,,浙江大学,您有一个加三十三,7,802,+2(79),-3,+4(188),+2(242),+2(109),-,+1(41),-1,-,-,+1(15),-,+1(8),46%,Gold,叶佳昂,李克成,陈科睿,N,N
17,12,哈尔滨工业大学（深圳）,删库跑路,7,820,+1(63),-,+2(189),+1(148),+1(50),-,+4(272),-,-,-,+1(6),-,+1(12),36%,Gold,任秦江,卢郡然,梁珊,N,N
18,13,东南大学,我过了样例,7,834,+1(64),-,+3(160),+1(165),+2(47),-,-3,+1(266),-,-,+1(21),-,+2(31),36%,Gold,徐朔,戚雨林,汪子杰,N,N
19,14,山东大学,说好不秃,7,901,+3(109),-1,+2(232),+1(155),+1(20),-1,+1(266),-,-,-,+1(24),-,+2(15),36%,Gold,吴羲勇,张丁祎,门建彤,N,N
20,,清华大学,未名湖北路特一号,7,916,+1(54),-3,+5(174),-3,+3(45),-,+6(237),+4(89),-,-4,+1(29),-,+1(8),66%,Gold,吴泽文,周子安,赵子轩,N,N
21,15,北京邮电大学,三只蒟蒻,7,939,+1(86),+3(205),+2(227),+3(137),+3(60),-,-4,-,-,-,+2(23),-,+2(21),56%,Gold,区庆亮,张天泽,王佳禾,N,N
22,16,华中师范大学,烧冻鸡翅,7,940,+2(124),-,+2(217),+2(181),+1(46),-,+2(269),-,-,-,+1(10),-,+1(13),36%,Gold,熊吉祥,郭子寒,钟鸣,N,N
23,17,北京理工大学,雪崩团灭清一色,7,942,+1(107),-,+2(254),+3(237),+1(56),-,+1(146),-,-,-,+2(16),-,+2(26),41%,Gold,袁奕晨,费承昱,黄子越,N,N
24,,南京大学,流火,7,1002,+4(71),-,+3(291),+1(139),+2(36),-,-1,-,-,+2(286),+1(14),-,+1(25),50%,Gold,姚嘉和,曹逸中,陈弘毅,N,N
25,18,安徽大学,融合巨怪,7,1033,+5(139),-,+2(218),+1(138),+1(61),-,+4(282),-,-,-,+1(26),-,+1(9),53%,Gold,李骋,罗欣然,闵烁,N,N
26,19,四川大学,差分约束做不队,7,1068,+2(98),-,+2(175),+1(223),+3(42),-,+2(280),-1,-,-11,+2(56),-,+1(74),46%,Gold,徐子翔,杜毅衡,杨轶涵,N,N
27,,北京大学,寄点自由,7,1112,+4(138),-,+5(238),+1(270),+1(45),-,+2(231),-6,-,-,+1(16),-,+1(14),53%,Gold,吴孟周,曹原,陈胤戬,N,N
28,,杭州电子科技大学,杭电 6 队,7,1141,+5(174),-,+2(191),+1(219),+6(74),-,+1(264),-,-,-,+1(14),-,+1(5),58%,Gold,姜正,潘思成,陈载元,N,N
29,20,上海交通大学,破晓狂想曲,7,1173,+6(127),-,+3(231),+1(204),+2(47),-,+4(285),-,-,-,+1(13),-,+2(26),63%,Gold,肖景琦,袁莘睿,邵嘉南,N,N
30,21,北京航空航天大学,XCPC 的奇妙冒险,6,521,+1(69),-,-6,+1(119),+1(51),-,+1(214),-,-,-,+2(18),-,+2(10),25%,Gold,吕诚鑫,韦若皓,韩一,N,N
31,,哈尔滨工程大学,WA 自动机 Fail 树上建可持久化 RE 树,6,573,+2(79),-,+4(206),+1(135),+1(42),-,-3,-,-,-,+1(11),-,+1(20),40%,Gold,吴兆昕,杨春昊,黄凯鹏,N,N
32,,北京邮电大学,珊瑚宫心海,6,665,+1(63),-,-4,+2(181),+2(108),-,-,+1(250),-,-,+1(9),-,+1(14),25%,Gold,程泓涛,董凯文,高畅,N,N
33,22,浙江财经大学,秃如其来,6,698,+1(91),-,-,+2(202),+1(61),-,+2(270),-,-,-,+1(19),-,+1(15),25%,Gold,叶国钊,张垚垚,朱新宇,N,N
