Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L
1,金奖,Shanghai Jiao Tong University,Willow,10,1513,+1(51),+1(178),+5(195),,+1(128),+3(73),+1(282),+1(16),,+2(295),+1(31),+2(104)
2,金奖,Xi'an Jiaotong University,Dodo Kindergarten,9,1122,+1(34),+1(215),+2(298),,+1(92),+1(71),,+1(18),,+1(190),+1(15),+1(169)
3,金奖,Tsinghua University,Not UB Any More,9,1164,+1(40),+1(100),+1(252),,+1(149),+1(123),+4(284),+1(18),,,+1(32),+1(106)
4,金奖,Peking University,Not Found,9,1510,+1(23),+1(203),+2(295),,+2(137),+6(270),,+2(11),,+2(105),+2(44),+3(182)
5,金奖,Peking University,What's name,8,1094,+2(49),+1(145),+2(193),,+1(136),+3(214),,+2(20),,-4,+1(35),+2(182)
6,金奖,Beihang University,Dauntless Shield,7,684,+1(38),-1,,-5,+1(91),+7(176),+1(132),+1(14),,,+1(22),+2(71)
7,金奖,University of Electronic Science and Technology of China,UESTC_Hanabi,7,760,+1(34),+1(216),+2(205),,-8,+2(142),,+1(12),,,+2(26),+1(65)
8,金奖,University of Electronic Science and Technology of China,UESTC_Ashes_of_Sixpence,7,955,+1(38),+1(187),-3,,+2(149),+3(248),-1,+1(7),,,+2(62),+4(124)
9,金奖,"The Chinese University of Hong Kong, Shenzhen",*\( ^w^ )/*,7,971,+1(33),+1(204),+1(164),,+3(239),-20,,+2(21),,,+3(30),+3(140)
10,金奖,University of Hong Kong,I am not in danger. I am the danger.,7,985,+1(34),+3(278),-6,,+1(88),-8,+1(231),+1(47),,,+2(48),+3(159)
11,金奖,The Chinese University of Hong Kong,Zero Knowing Spore,7,1323,+2(52),+2(273),-2,,+4(250),+7(225),,+1(21),,,+3(29),+5(133)
12,银奖,Tsinghua University,No Lasting Luck,6,564,+1(87),+1(157),-3,,+1(122),-5,,+1(14),,,+2(9),+4(95)
13,银奖,Harbin Institute of Technology,Yeah Yeah Yeah,6,650,+1(69),-1,-12,,+1(79),+6(159),,+1(26),,,+4(50),+1(107)
14,银奖,Tsinghua University,SLYZ visiting group,6,889,+1(151),+2(259),+4(213),,+2(88),-2,,+1(15),,,+1(63),-6
15,银奖,University of Science and Technology of China,ustcteam1,6,1110,+2(76),,,,+3(287),+5(150),,+2(45),,,+1(48),+5(264)
16,银奖,Hong Kong University of Science and Technology,HKUST1,5,424,+1(36),,,,+1(196),-6,-1,+1(10),,,+2(25),+2(117)
17,银奖,University of Hong Kong,fake plastic tree,5,497,+1(64),,,,+1(227),-8,,+1(27),,,+2(24),+1(135)
18,银奖,Guangdong University of Technology,GDUT_Crossroads,5,532,+1(64),,,,+2(158),-3,,+1(10),,,+5(45),+2(135)
19,银奖,University of Hong Kong,Who didn't take the third dose,5,627,+1(60),,-3,,+3(166),-4,,+1(22),,,+2(30),+5(209)
20,银奖,Huazhong University of Science and Technology,Our Dorm are Fantastic!,5,648,+1(78),,,,+3(264),,,+1(18),,,+1(36),+3(172)
21,银奖,Guangdong University of Technology,GDUT_Pork chop and egg rice,5,685,+1(53),,,,+2(251),,,+2(21),,,+1(30),+4(230)
22,银奖,National University of Mongolia,NUM-JBKH,5,741,+1(60),,+5(210),,,-10,,+1(4),,,+6(37),+2(230)
23,银奖,Beihang University,fire and blood,5,755,+1(46),,-1,,+7(211),+4(170),,+1(30),,,+4(58),-3
24,银奖,Beihang University,3 handicapped coders,5,805,+1(65),,,,+3(183),+6(233),,+2(17),,,+6(47),-3
25,银奖,Shenzhen University,SZU_Tencent,5,957,+1(88),,,,+6(213),-7,,+2(35),,,+3(70),+6(291)
26,银奖,Xi'an Jiaotong University,qzdt,5,1003,+4(129),,+5(247),,,,,+2(32),,,+3(52),+4(283)
27,银奖,Nanjing University of Posts and Telecommunications,So Close,5,1005,+4(178),,,,+3(242),-14,,+1(10),,,+5(90),+2(285)
28,银奖,Hong Kong Baptist University,HKBU-T1,5,1023,+2(77),,,,+7(296),,,+1(33),,,+5(38),+9(199)
29,银奖,Xi'an Jiaotong University,What's up?,4,232,+1(36),,,,+1(87),-10,,+2(18),,,+3(31),-3
30,银奖,Northwestern Polytechnical University,too painful,4,288,+1(71),,,,,,-1,+1(24),,,+1(39),+1(154)
31,银奖,The Chinese University of Hong Kong,ACE,4,320,+1(56),,+3(162),,,-10,,+2(15),,,+1(27),-4
32,银奖,Henan University of Science and Technology,jwm,4,341,+1(84),,,,,,,+1(23),,,+1(54),+2(160)
33,银奖,The Chinese University of Hong Kong,any idea,4,385,+1(56),,,,-3,-1,,+1(9),,,+1(27),+4(233)
