Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,Dirt,Medal,Unofficial,Girl
1,1,Peking University,How to write tui in tuixueshenqing?,9,1443,+2(64),+4(288),+2(244),+1(136),+1(124),-,+5(183),+1(148),+1(41),+2(15),-,52%,Gold,N,N
2,2,Zhejiang University,Prismatic Encore,8,1260,+1(21),-,+1(299),+5(128),+2(161),-,+1(248),+1(181),+2(54),+1(48),-,42%,Gold,N,N
3,3,"The Chinese University of Hong Kong, Shenzhen",CUHK-SZ (TBD),7,978,+1(40),-,-,+2(145),+2(177),-,+1(226),+1(253),+1(81),+1(16),-,22%,Gold,N,N
4,4,Harbin Institute of Technology,Dolls in Pseudo Paradise,7,1048,+1(36),-,-,+4(171),+1(102),-,+7(270),+1(213),+1(34),+1(42),-,56%,Gold,N,N
5,5,The Chinese University of Hong Kong,HKOI 0,7,1088,+1(39),-,-21,+1(230),+1(165),-,+5(167),+1(251),+1(25),+5(51),-,53%,Gold,N,N
6,6,Hangzhou Dianzi University,Iron Law of Original Porridge,7,1106,+2(85),-,-,+2(154),+2(141),-15,+2(286),+3(233),+2(53),+1(14),-,50%,Gold,N,N
7,7,University of Hong Kong,huawei 15 pro max,6,632,+1(127),-,-,+3(61),+1(89),-,-6,+1(151),+1(75),+2(69),-1,33%,Gold,N,N
8,8,Hong Kong Baptist University,HKBU,6,718,+1(77),-,-,+1(110),+2(168),-,-5,+1(214),+2(20),+3(49),-,40%,Gold,N,N
9,9,Beihang University,It's Now or Never,6,801,+2(94),-,-4,+2(235),+1(197),-,-,+1(142),+1(43),+2(30),-,33%,Silver,N,N
10,10,University of Science and Technology of China,LooksLikeGirlTeam,6,830,+1(267),-,-,+1(175),+2(144),-,-,+1(107),+1(65),+2(32),-,25%,Silver,N,N
11,,"The Chinese University of Hong Kong, Shenzhen",dimension^3,6,895,+1(103),-,-,+2(249),+2(158),-,-8,+1(237),+2(59),+1(29),-,33%,Silver,N,N
12,11,Hong Kong Polytechnic University,Ichikawa Tobacco,6,989,+3(245),-,-,+2(137),+2(172),-,-,+1(199),+1(100),+2(36),-1,45%,Silver,N,N
13,12,Nanjing University of Aeronautics and Astronautics,"We can get AU, but can't get NPY",6,1093,+4(116),-,-,+3(264),+4(208),-,-,+1(223),+1(48),+3(34),-,62%,Silver,N,N
14,13,Southwest Jiaotong University,Making Money Happily,6,1108,+2(70),-,-,+5(304),+3(263),-,-1,+2(230),+1(42),+2(19),-,60%,Silver,N,N
15,14,Shanghai Jiao Tong University,Haruhi Kage,6,1198,+4(152),-,-,+3(175),+4(275),-,-,+1(196),+5(102),+2(38),-3,68%,Silver,N,N
16,15,Southern University of Science and Technology,SUSTech-Tampere,5,691,+2(40),-,-,+7(189),-3,-,-4,+1(222),+1(58),+2(22),-,61%,Silver,N,N
17,16,Sichuan University,SILENT BLUE,5,711,+2(83),-,-,+3(180),-6,-,-,+1(177),+2(104),+4(27),-,58%,Silver,N,N
18,17,University of Electronic Science and Technology of China,UESTC_Broforce,5,714,+3(156),-,-,+1(166),-6,-,-,+1(222),+1(79),+1(51),-,28%,Silver,N,N
19,18,Beijing University of Posts and Telecommunications,nepenthe,5,739,+5(137),-,-,+1(193),-8,-,-,+1(244),+1(63),+1(22),-,44%,Silver,N,N
