Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Unofficial,Girl,Member1,Member2,Member3
1,1,北京大学,赤橙黄绿蓝紫,10,1369,+1(26),-,+1(183),+1(287),+3(132),+3(88),+1(29),+2(123),+2(14),-,+1(136),+2(211),41%,Gold,N,N,钱易,蒋凌宇,
2,2,清华大学,一路向北,9,1134,+3(28),-6,+2(139),-,+2(212),+2(127),+1(28),+2(76),+2(18),-,+2(182),+1(164),47%,Gold,N,N,许庭强,周航锐,唐绍轩
3,,清华大学,world. search (you);,9,1584,+2(45),-,+1(243),-2,+2(185),+2(263),+1(69),+1(103),+1(24),-,+2(234),+3(298),40%,Gold,N,N,刘一平,张景行,万成章
4,3,浙江大学,十发罚时,8,1373,+2(36),-,-,-,+4(123),+3(154),+4(231),+4(271),+1(34),-,+1(79),+2(185),61%,Gold,N,N,吴与伦,万弘,徐锐扬
5,,北京大学,思路打开,8,1465,+5(35),-,+1(299),-,+4(173),+1(135),+2(118),+4(188),+1(22),-,-,+2(255),60%,Gold,N,N,张致,朱剑枫,管晏如
6,,浙江大学,来生,7,1022,+1(33),-,-,-,+2(69),+4(216),+2(122),+2(240),+1(25),-,+1(197),-4,46%,Gold,N,N,严子轩,彭博,张湫阳
7,4,北京交通大学,羊羊羊,7,1178,+1(33),-,-,-,+6(117),+4(283),+1(52),+2(146),+1(9),-,-,+5(278),65%,Gold,N,N,斯修远,郭昱哲,夏鹤鸣
8,,北京大学,随机匹配,7,1185,+2(43),-,-,-,+1(167),+3(201),+2(86),+4(238),+1(20),-,+2(270),-,53%,Gold,N,N,柯绎思,柯怿憬,谢梓涵
9,,浙江大学,又活一天,7,1233,+2(48),-,-,-,+5(223),+1(230),+1(78),+2(153),+1(26),-,+4(295),-,56%,Gold,N,N,高宏钧,王羽立,王楚淏
10,5,中国科学技术大学,丝路市西套村代表队,7,1328,+2(61),-,-1,-,+1(118),+3(243),+1(172),+4(297),+1(20),-,+2(277),-,50%,Gold,N,N,洪文杰,郭一航,周翟恩和
11,6,哈尔滨工业大学,蓬莱人形,7,1331,+1(31),-,-,-,+9(139),+4(239),+3(105),+1(217),+1(15),-,+3(285),-,68%,Gold,N,N,陈煜航,丁文涛,张彭凯
12,7,南京航空航天大学,错误,7,1406,+1(41),-,-,-,+7(183),+3(293),+1(105),+3(250),+2(24),-,-1,+4(230),66%,Gold,N,N,赵乐坤,胡昊天,吕俊琪
13,8,中山大学,中山大学_没有想法,6,673,+1(26),-,-,-,+1(49),+2(179),+1(101),+3(242),+1(16),-,-,-20,33%,Gold,N,N,薛炜鹏,吴永聪,陈景泰
14,9,北京理工大学,越野,6,858,+1(17),-,-,-,+2(127),+4(236),+2(78),+4(216),+1(24),-,-1,-,57%,Gold,N,N,邹知秋,于瀚文,廖嘉琦
15,10,北京航空航天大学,秋花追忆,6,889,+1(15),-,-,-,+3(119),+3(213),+3(155),+2(224),+1(23),-,-4,-4,53%,Gold,N,N,王大禹,董和军,蒋槟阳
16,11,南方科技大学,南方科技大学-奥斯陆,6,896,+1(41),-,-,-,+4(201),+3(143),+1(135),+1(257),+1(19),-,-4,-4,45%,Gold,N,N,张祺宇,杨博文,姜奕豪
17,12,厦门大学,闪光春日影,6,923,+1(12),-,-,-,+1(74),+2(176),-2,+5(282),+1(38),-,+1(241),-,45%,Gold,N,N,邹品聪,栾英石,陈朱迪
18,13,华中科技大学,邹知秋你昆明这么出题就是不想出线,6,951,+2(50),-,-,-,+5(276),+2(180),+1(44),+2(241),+1(20),-,-,-,53%,Gold,N,N,俞仲遥,刘兆硕,麦骏
19,14,上海大学,树上的忍者,6,959,+1(38),-,-,-,+1(99),+4(275),+1(129),-2,+1(24),-,-,+3(294),45%,Gold,N,N,耿鹏成,松浩然,陶钧
