Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach,A,B,C,D,E,F,G,H,I,J
1,华东师范大学,acm.ecnu.edu.cn,7,985,Gold,林方欣,周亦然,张羽戈,肖春芸,+2(170),+1(9),+3(60),+2(291),,-1,+5(118),,+1(123),+1(51)
2,上海交通大学,拉格朗,7,1056,Gold,李泊宁,陈冲,徐牧辰,俞勇,+1(136),+3(3),+1(65),+1(293),,,+5(58),,+2(113),+1(245)
3,复旦大学,假面之人,7,1417,Gold,周霖,温昕岳,苏津岳,张新宇,+2(120),+1(7),+1(52),+19(297),,,+10(89),,+2(79),+3(150)
4,上海交通大学,塔里斯曼,6,535,Gold,刘尔之,郭文轩,吴润哲,俞勇,+2(83),+2(12),+1(32),,,,+1(47),,+1(163),+1(156)
5,吉林大学,黑框眼镜,6,629,Gold,周植,张虎,王登泰,郭东伟,+1(94),+2(11),+2(51),,,-2,+2(112),-1,+1(167),+1(132)
6,南京大学,咖啡鸡,6,637,Gold,凌浩,刘弘洋,张扬播,马骏,+1(97),+1(7),+3(38),,,-1,+6(76),,+1(127),+1(150)
7,上海交通大学,NEW CODE!!,6,658,Gold,孙司宇,张芷萁,郭睿涵,俞勇,+1(123),+1(13),+2(46),,,,+5(94),,+1(129),+3(110)
8,北京大学,c++11(c++11),6,685,Gold,孙奕灿,黄致焕,黄臻祺,罗国杰,+7(126),+2(4),+3(36),,-1,,+3(26),-1,+1(157),+1(114)
9,北京大学,饥荒,6,700,Gold,季雨田,费凡,范寒威,罗国杰,+1(220),+1(6),+1(35),,,,+3(65),,+1(181),+1(150)
10,上海交通大学,凡性的提醒,6,724,Gold,李洛玄,陈宇轩,张宇恒,俞勇,+2(126),+1(12),+1(43),,,,+4(88),,+1(187),+1(185)
11,浙江大学,Dogeheads,6,724,Gold,马宁,田文杰,高辰翔,王灿,+2(220),+1(9),+2(40),,,-1,+2(75),,+1(151),+1(166)
12,西安交通大学,tfucju,6,754,Gold,丁聪,张博航,刘一凡,王灿,+2(147),+1(5),+2(36),,,,+3(85),-1,+1(103),+1(296)
13,电子科技大学,UESTC_Vici,6,830,Gold,刘宸睿,潘星霖,陈鑫,杨鹏,+2(200),+2(13),+1(63),-7,,,+1(42),,+1(126),+5(263)
14,中山大学,中山大学_气球一元一个,6,873,Gold,王凯祺,黄镇,范俭豪,郭嵩山,+4(121),+3(23),+1(73),-1,,,+4(84),-1,+1(158),+3(212)
15,东北大学,测试账号,6,969,Gold,李柏雨,武嘉鑫,陈久健,冷芳玲,+1(245),+1(4),+1(92),,,,+4(124),,+1(238),+1(204)
16,福建工程学院,小弟弟，你怎么回事,6,987,Gold,兰家旺,许伟骐,陈俊鸿,唐郑熠,+7(254),+2(11),+1(68),,,,+5(59),,+1(150),+2(202)
17,北京航空航天大学,比宇宙更远的地方,6,1049,Gold,杜昊,赵立晨,王嘉翼,梁明阳,+1(248),+2(27),+5(121),,,,+3(123),,+1(183),+1(205)
18,东南大学,艾斯易悠,5,478,Gold,张建东,陈曦,韩数,倪庆剑,+2(223),+1(10),+1(73),,,,+1(38),,+1(113),
19,哈尔滨工业大学,落日余晖,5,534,Gold,姚顺,于金鹭,陈海峰,孙大烈,+4(148),+1(9),+1(76),,,,+2(46),,+1(173),-2
20,河海大学,猪肘子我正在煮,5,535,Gold,郑涌,王文,张世伟,张雪洁,+2(152),+4(18),+1(34),,,,+2(74),,+1(155),-4
21,北京航空航天大学,啊，队友呢？队友呢？队友呢？！队友呢？！？！,5,580,Gold,钟金成,蒋泳波,胡智昊,梁明阳,+3(141),+1(10),+1(79),,,,+4(85),,+1(162),
22,复旦大学,征服者,5,613,Gold,曹野,张天翔,郑卓睿,张新宇,+3(124),+1(4),+2(65),,,,+4(117),,+1(181),
23,浙江大学,Repeaters,5,619,Gold,孙志博,沈霁,周义涵,王灿,-8,+1(10),+1(48),,,,+1(85),,+1(276),+1(199)
