Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,不渡轮回,12,1535,+1(55),+1(20),+2(294),+2(148),+1(201),+3(132),+1(164),+1(162),+1(3),+1(234),+1(27),-1,+1(15),25%,Gold,郭羽冲,沈吉滪,陈昕阳,N,N
2,2,浙江大学,乘着西风出发喽！,9,1217,+1(175),+1(54),+4(281),+3(121),-,+1(156),+1(192),-,+1(6),-2,+1(106),-,+1(26),35%,Gold,严子轩,张湫阳,侯之远,N,N
3,,北京大学,为你而来,8,892,+1(179),+1(49),-2,+4(224),-,+1(73),+1(209),-,+2(7),-,+1(52),-,+1(19),33%,Gold,焦思源,周泽坤,徐恺,N,N
4,,北京大学,呆呆鸟,8,1051,+5(264),+1(24),-3,+4(169),-,+4(207),+1(111),-,+1(7),-,+1(48),-,+1(21),55%,Gold,朱剑枫,王蔚澄,李羿辰,N,N
5,3,武汉大学,秘封俱乐部,8,1121,+2(254),+1(26),-,+3(179),-,+1(149),+2(269),-,+1(7),-,+3(77),-,+1(40),42%,Gold,李佳隆,熊师飏,潘非,N,N
6,4,西安交通大学,天狼星的心脏,7,804,+1(247),+1(47),-10,-,-,+2(152),+1(182),-,+3(9),-,+1(66),-,+2(21),36%,Gold,洪家庆,刘一可,许孜诚,N,N
7,,西安交通大学,六兆年零一夜的 ACM,7,809,-1,+1(49),+1(113),-,-,+5(290),+1(136),-,+2(13),-,+1(77),-,+1(31),41%,Gold,薛楠恺,黄万平,李子涵,N,N
8,5,哈尔滨工业大学,少女幻葬,7,848,+1(138),+2(44),-,-3,-,+3(247),+1(214),-,+3(13),-,+1(61),-,+1(31),41%,Gold,张城玮,张彭凯,丁文涛,N,N
9,6,中国科学技术大学,摸鱼之魂终将归来,7,875,+2(164),+2(65),-,-,-,+2(183),+2(212),-,+1(9),-,+1(49),-,+2(93),41%,Gold,温家睿,林度,陈凌峰,N,N
10,7,同济大学,于离别之朝束起约定之花,7,904,-,+1(50),+3(264),-,-,+5(176),+1(147),-,+2(6),-,+1(103),-,+1(18),50%,Gold,高胜寒,刘诗奇,靳嘉成,N,N
11,8,上海交通大学,青蘋之末,7,909,+1(70),+2(44),-,-,-,+3(257),+4(291),-,+1(10),-,+1(99),-,+1(18),46%,Gold,谭钧豪,江若泓,朱添翼,N,N
12,9,香港中文大学,酒心魚蛋派,7,913,+2(193),+2(35),-,+4(281),-,-7,+1(155),-,+1(6),-1,+1(83),-,+2(40),46%,Gold,谢昶豪,黄进,卢沂锋,N,N
13,10,南京大学,招魂时刻,7,926,+1(205),+3(85),-6,-,-,+5(165),+2(146),-,+1(44),-4,+1(92),-,+2(29),53%,Gold,杨涵宇,陈煜航,何平,N,N
14,11,中国人民大学,Distance,7,997,+1(215),+2(25),-,+3(231),-,+2(265),-4,-,+3(5),-1,+1(79),-,+1(57),46%,Gold,颜黎,江易洋,施涵森,N,N
15,,中国科学技术大学,这一世，我转生到了ustc,7,1110,+1(222),+1(43),-1,-,-,+6(256),+1(279),-,+1(7),-,+1(122),-,+1(81),41%,Gold,俞程,陈子载,王天竹,N,N
16,,北京大学,曾叶翔,7,1329,+6(201),+1(89),-,+2(296),-,-,+1(257),-,+1(12),-1,+2(267),-,+1(67),50%,Gold,官文翔,叶浩瀚,曾于轩,N,N
17,,西安交通大学,跟你嗦，认真的我啊敲级萌 等待,6,598,+3(157),+6(79),-,-,-,-6,+1(130),-,+2(7),-,+1(42),-,+1(23),57%,Gold,方亦晨,殷嘉鹏,陈儒恒,N,N
18,12,山东大学,海鸥灭火器,6,648,+1(238),+1(68),-,-,-,+1(181),-20,-,+2(13),-,+1(86),-,+1(42),14%,Gold,苏苏,王艺臻,刘子龙,N,N
19,13,西北工业大学,wanna be free,6,743,+1(134),+1(51),-,-,-,+2(225),-,-,+1(6),-1,+1(250),-,+2(37),25%,Gold,程文楷,龚熙尧,尹新祥,N,N
20,14,复旦大学,做AC梦,6,828,-2,+2(73),-,-,-,+5(295),+1(94),-,+3(24),-1,+1(183),-,+1(19),53%,Gold,张一博,王子铭,李泽昊,N,N
21,15,兰州大学,迷途之子,6,857,-1,+2(56),-1,-,-,+3(223),+3(273),-,+1(9),-,+1(154),-,+1(42),45%,Gold,吕澎,吴晨阳,张恩彬,N,N
22,16,华东师范大学,与夏之花,6,867,-,+1(49),-,-,-,+3(169),+3(264),-,+3(8),-,+1(201),-,+1(56),50%,Gold,谢书骁,杜霖,程籽实,N,N
23,,南京大学,该名称已被占用,6,868,+4(261),+1(66),-,-,-,+2(277),-,-,+2(14),-,+1(102),-5,+1(48),45%,Gold,罗荣鑫,卢林强,汪文韬,N,N
24,17,电子科技大学,UESTC_desuwa,6,902,-4,+5(45),-,-,-,+2(256),+2(271),-,+3(22),-,+1(67),-,+1(81),57%,Gold,包航,雷霖,覃子睿,N,N
25,18,北京交通大学,绮罗星距离,6,965,-1,+1(43),-,-,-,+3(277),+1(265),-,+3(17),-,+1(166),-,+3(77),50%,Gold,陈可致,杨展宇,李沛桐,N,N
26,19,北京航空航天大学,爱喝霸王茶姬的哈基米,5,402,-1,+2(36),-,-,-,+3(210),-,-,+1(4),-,+1(71),-,+1(21),37%,Gold,沈培森,华晓飞,孙一弘,N,N
27,20,西安电子科技大学,什么都不会也能参加ACM吗,5,434,-,+2(48),-,-,-,+3(193),-,-,+2(14),-,+1(67),-,+1(32),44%,Gold,汤修齐,吴晨,潘振,N,N
28,,北京航空航天大学,13 级大风,5,444,-,+2(55),-,-,-,+3(188),-,-,+1(11),-,+1(97),-,+1(33),37%,Gold,王肖鉴,敬若曦,李东骏,N,N
29,21,浙江理工大学,CF 关注 Fantasy_Blue 谢谢喵,5,452,-,+2(56),-,-,-,-7,+1(198),-1,+2(7),-,+1(107),-,+1(44),28%,Gold,姚仁杰,任麒源,卢一鸣,N,N
30,22,浙江农林大学,天河圣芒斩,5,465,-,+1(44),-,-,-,+1(176),-,-,+1(8),-,+1(189),-,+1(48),0%,Gold,任益超,陈柳,朱冠霖,N,N
31,,中国人民大学,睡眠零队,5,475,-1,+1(51),-,-,-,+1(240),-,-,+2(7),-,+1(95),-,+1(62),16%,Gold,吴致楷,张梓桐,段宇哲,N,N
32,23,华南理工大学,Callmeplayxcpc,5,475,-,+1(34),-,-,-,-1,+3(259),-,+1(7),-,+1(107),-,+1(28),28%,Gold,吕浩天,梁立州,徐睿,N,N
33,24,湘潭大学,无名之辈,5,500,+1(155),+1(53),-,-,-,-3,-,-,+1(8),-,+1(207),-,+1(77),0%,Gold,王兮,谭诚,吴凡雨,N,N
34,25,华中科技大学,落叶知秋,5,509,-,+1(52),-5,-1,-,+5(216),-,-,+2(22),-,+1(91),-,+1(28),50%,Gold,俞仲遥,臧业乾,麦骏,N,N
35,26,国防科技大学,再让我A一道,5,521,+3(113),+3(75),-,-,-,-1,-1,-,+2(11),-,+2(153),-,+1(49),54%,Gold,左智文,刘景毅,张航耀,N,N
36,27,河南大学,不协和音程,5,525,-,+1(62),-,-,-,-23,+1(264),-,+1(10),-,+2(99),-,+1(70),16%,Gold,曹家宁,孙小文,罗施达,N,N
37,28,东莞理工学院,心态就是力量,5,539,-18,+1(41),-,-,-,+1(257),-,-,+1(10),-,+1(127),-,+2(84),16%,Gold,黄海,林恬烁,林志龙,N,N
38,,国防科技大学,未忘花名,5,549,+1(271),+1(72),-,-,-,-3,-,-,+1(11),-,+1(142),-,+1(53),0%,Gold,宋怀源,刘宇林,习逸晗,N,N
39,,中国科学技术大学,冯诺曼波,5,550,-,+1(62),-,-,-,+4(213),-,-,+3(14),-,+1(79),-,+3(42),58%,Gold,陈鑫,梁家瑞,黄嘉玮,N,N
40,29,香港科技大学（广州）,我坐戏子楼台前,5,561,+3(260),+2(78),-,-,-,-4,-,-,+1(12),-,+1(110),-,+1(41),37%,Gold,郭沣,赖宣宇,宋锦儒,N,N
41,,电子科技大学,UESTC_MatchaParfait,5,565,-,+1(51),-,-,-,+4(225),-,-,+1(7),-,+1(188),-,+1(34),37%,Silver,李鸣宇,滕鎧泽,孙博林,N,N
42,30,南开大学,数智省身_山西大学附属中学校,5,583,-,+3(64),-,-,-,+2(162),-,-,+1(9),-4,+1(256),-,+1(32),37%,Silver,车昱辉,杨澍,王治中,N,N
43,,西北工业大学,阿比斯深渊,5,585,-,+2(81),-,-,-,-6,+1(177),-,+1(11),-,+1(204),-,+1(92),16%,Silver,吕昊临,欧阳家杰,黄知远,N,N
44,31,中山大学,中山大学-永不倒闭,5,592,-,+2(38),-,-,-,+4(232),-,-,+1(6),-,+1(171),-,+1(65),44%,Silver,何亮,陈浩贤,廖海涛,N,N
45,32,西北大学,忆月葬雪,5,601,+1(256),+1(69),-,-,-,-5,-,-,+1(9),-,+1(171),-,+1(96),0%,Silver,安俊杰,蒋宏烨,顾舜天,N,N
46,,复旦大学,所以我们队名叫啥 [思考],5,611,-,+2(71),-6,+5(286),-,-6,-,-,+2(5),-,+1(110),-,+1(19),54%,Silver,曾添琪,郑杞珩,李天呈,N,N
47,,电子科技大学,UESTC_BYR,5,621,-3,+2(82),-,-,-,+3(289),-,-,+1(13),-,+1(139),-,+1(38),37%,Silver,张诗杨,幸子豪,郑祯宇,N,N
48,33,北京理工大学,树状数组,5,626,-,+1(64),-,-,-,-,+2(202),-,+4(14),-,+2(174),-,+2(52),54%,Silver,张振宇,高天翔,谭笑,N,N
49,34,西湖大学,此时压力来到了我们队,5,632,+1(133),+2(110),-,-,-,-3,+2(274),-,+2(11),-,-,-,+1(44),37%,Silver,刘振豪,杨宇恒,李品樟,N,N
50,35,北京邮电大学,此队伍名由AI生成,5,653,-2,+6(98),-,-,-,+5(209),-,-,+1(9),-,+1(99),-1,+1(58),64%,Silver,蔡芝林,张鲁豫,赵思涵,N,N
51,36,华东理工大学,华理算法皇帝霸气侧漏毁天灭地,5,653,-,+1(87),-,-,-,-1,+1(207),-,+1(12),-,+4(230),-,+1(57),37%,Silver,丁文翰,曾子航,景梓云,N,N
52,,中山大学,中山大学-破晓之旅,5,683,+2(274),+2(53),-,-,-,-,-,-,+1(14),+4(205),-5,-,+1(37),50%,Silver,刘志源,赵肖睿,古鸣浩,N,N
53,37,武汉科技大学,赤色风铃,5,688,+2(242),+3(94),-,-,-,-1,-,-,+1(9),-,+1(170),-,+1(113),37%,Silver,王宇杰,明正阳,左新宇,N,N
54,38,杭州电子科技大学,杭电5队,5,711,-,+2(117),-,-,-,+9(290),-,-,+1(6),-9,+1(90),-,+1(28),64%,Silver,杨钧昊,徐中天,蔡睿诚,N,N
55,,武汉大学,我可以在这里一雪前耻吗,5,731,+2(232),+2(64),-,-,-,-,-,-,+2(8),-,+2(292),-,+1(55),44%,Silver,丁启航,李书纬,黄祯,N,N
56,39,大连理工大学,关注带工喵，关注带工谢谢喵(≧^.^≦),5,733,-,+3(103),-,-,-,+3(297),-,-,+1(12),-,+1(207),-,+1(34),44%,Silver,徐昊天,毛谦韵,李泽与,N,N
57,40,东南大学,三英荟寝室,5,815,-1,+4(94),-,-,-,+6(227),-,-,+1(8),-,+3(260),-,+1(26),66%,Silver,靳赫涛,杜鑫研,毛周祥,N,N
58,41,河海大学,从零开始的ACM生活,5,820,-,+2(76),-,-,-,+6(238),-,-,+1(8),-,+1(262),-,+1(116),54%,Silver,金炬光,曾国琳,罗誉,N,N
59,42,苏州大学,憧憬成为算竞糕手,5,845,-,+7(201),-,-,-,+4(273),-,-,+1(9),-,+1(132),-,+1(50),64%,Silver,张天伦,余睿,朱昊文,N,N
60,,电子科技大学,UESTC_______,5,905,-,+4(87),-,-,-,+7(296),+1(275),-,+1(7),-,-1,-,+1(60),64%,Silver,林子豪,吕东阳,赵聪,N,N
61,43,北京工业大学,铁牌也是牌,5,973,+10(215),+3(140),-,-,-,-1,-,-,+2(16),-,+1(257),-,+2(85),72%,Silver,冯际鸣,李俊良,孔翔宇,N,N
62,,湘潭大学,冬月既朔,4,202,-,+1(52),-,-,-,-3,-,-,+1(8),-,+1(118),-,+1(24),0%,Silver,谢东骏,谢先皓,李名杰,N,N
63,44,福州大学,世末歌者,4,215,-,+1(64),-,-,-,-2,-,-,+1(16),-,+1(100),-,+1(35),0%,Silver,郎易恒,方林升,王盛明,N,N
64,,同济大学,菜的 Fe 弃子队,4,222,-,+2(42),-,-,-,-5,-,-,+1(9),-3,+1(99),-,+1(52),20%,Silver,付伟吉,宋冠程,杨欣然,N,N
65,45,四川大学,算法捕猎队,4,229,-,+1(45),-,-,-,-1,+1(113),-,+1(10),-1,-2,-,+1(61),0%,Silver,付乙淼,陈启越,黄雨阳,N,N
66,,武汉大学,西柚柠檬气泡水,4,244,-,+1(79),-,-,-,-3,-,-,+1(5),-,+1(118),-,+1(42),0%,Silver,徐嘉浩,陶赞宇,金润禾,N,N
67,46,东北师范大学,运行错误,4,256,-,+1(63),-,-,-,-4,-,-,+1(8),-,+1(135),-,+1(50),0%,Silver,齐昊坤,曹勇麟,周文琦,N,N
68,,北京理工大学,动态树,4,257,-2,+2(33),-,-,-,-7,-,-,+1(6),-,+1(103),-,+2(75),33%,Silver,齐轩宇,邱昌威,张家诚,N,N
69,47,河北工程大学,喵喵喵,4,258,-1,+2(77),-,-,-,-5,-,-,+1(7),-,+1(92),-,+2(42),33%,Silver,郭圳涛,王宇乐,牟昱霖,N,N
