Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,上海交通大学,夏日影,10,1019,+1(170),+1(90),+1(195),-,-,+1(48),+1(5),-1,+1(62),+1(33),+1(231),+2(16),+2(129),16%,Gold,刘家宁,朱泽木,冯启豫,N,N
2,2,清华大学,击中月亮,10,1163,+3(239),+1(97),+3(137),-,-,+1(60),+1(3),-,+1(32),+1(41),+2(218),+2(19),+2(177),41%,Gold,戚朗瑞,程思元,魏佳泽,N,N
3,,清华大学,家里蹲,10,1254,+3(264),+1(109),+3(228),-5,-,+1(95),+1(3),-,+1(26),+1(59),+2(145),+1(32),+2(173),37%,Gold,李静榕,仲煦北,史家丞,N,N
4,3,北京大学,不渡轮回,10,1361,+7(269),+4(68),+4(246),-2,-,+1(31),+1(4),-,+1(51),+2(18),+1(261),+1(24),+1(129),56%,Gold,郭羽冲,陈昕阳,沈吉滪,N,N
5,4,中山大学,中大25一队,10,1402,+2(287),+1(45),+5(194),-,-,+2(95),+1(8),-,+1(108),+1(67),+1(247),+1(54),+2(157),41%,Gold,刘铭仁,孔德锐,董睿嘉,N,N
6,5,杭州电子科技大学,杭电一队,9,890,+3(280),+1(116),+3(201),-1,-,+1(52),+1(4),-,+1(15),+1(33),-3,+1(21),+2(68),35%,Gold,何卓锟,马文浩,黄光升,N,N
7,,北京大学,呜呜杂班,9,1249,-4,+2(155),+2(100),-,-,+1(112),+1(2),-,+1(120),+1(59),+2(248),+3(80),+5(193),50%,Gold,蔡立一,李嘉佑,马未然,N,N
8,,清华大学,能陪我延一辈子的毕吗？,9,1298,-4,+2(228),+2(268),-,-,+1(138),+1(8),-,+1(85),+2(70),+1(202),+1(33),+4(146),40%,Gold,魏辰轩,王思图,陈亮舟,N,N
9,6,中国科学技术大学,中科大少女班代表队,9,1358,-1,+3(164),+5(258),-,-,+1(64),+1(5),-,+2(31),+1(88),+1(281),+2(61),+2(226),50%,Gold,李俊辰,冯正桦,邵晓玮,N,N
10,7,东南大学,薄暮冥冥,9,1375,-,+2(284),+1(202),-,-,+1(78),+1(8),-,+1(33),+1(148),+2(296),+3(85),+1(161),30%,Gold,周天一,颜熙,杜岩旭,N,N
11,8,北京理工大学,Penalty这么高它的意思一定是分数吧,9,1631,+4(160),+13(262),-,-,-,+1(116),+1(8),-,+2(65),+1(173),+1(190),+1(36),+2(281),65%,Gold,黄康,柯宁皓,张思哲,N,N
12,,北京大学,补队,8,858,-,+2(146),-5,-,-,+1(83),+1(13),-,+1(100),+1(64),+4(256),+2(24),+2(52),42%,Gold,陈果熠,祁亮哲,陈威滔,N,N
13,9,浙江大学,杨桃星球,8,916,-1,+5(186),+1(231),-1,-,+2(36),+1(17),-,+1(44),+1(85),-2,+1(14),+2(183),42%,Gold,朱天煜,应宸宇,周学诚,N,N
14,,清华大学,不要再 ultra 了,8,994,-6,+2(151),+1(230),-,-,+1(57),+1(8),-,+1(98),+1(80),-3,+1(29),+4(261),33%,Gold,姚熙,李劲逸,赵英智,N,N
15,,中山大学,中山大学_无限天堂,8,1111,-,+5(205),+3(289),-,-,+3(101),+1(5),-,+1(68),+1(54),-1,+3(17),+2(152),57%,Gold,韩冠东,邱恺铭,李昊洲,N,N
16,10,复旦大学,五行缺金,8,1225,-,-9,+6(211),-,-,+1(119),+1(6),-,+1(136),+2(79),+1(284),+1(31),+1(239),42%,Gold,张勖扬,林诗航,沈子轩,N,N
17,11,四川大学,球状闪电,8,1358,-,+3(175),+4(288),-,-,+6(152),+1(5),-,+1(144),+2(78),-3,+2(57),+1(219),60%,Gold,韩子睿,林宸,李祉橙,N,N
18,12,浙江理工大学,你怎么知道我在cc网络赛用py拿全场一血,7,740,-1,+1(141),-5,-1,-1,+1(114),+1(4),-1,+1(78),+1(54),-1,+2(32),+2(277),22%,Gold,姚仁杰,任麒源,卢一鸣,N,N
19,13,浙江工业大学,ZJUT0,7,753,-,+1(190),-3,-,-,+1(68),+1(11),-,+2(171),+1(55),-6,+2(64),+2(134),30%,Gold,陆仙梁,陈泓睿,冯梓航,N,N
20,14,南京大学,平流层,7,806,-,+4(244),-2,-,-,+1(40),+2(11),-,+1(110),+1(84),-1,+2(21),+4(136),53%,Gold,陈梓睿,潘谟天,陆华均,N,N
21,15,哈尔滨工业大学（深圳）,潜水小怪,7,808,-,+2(240),-,-,-,+1(92),+1(7),-,+3(70),+2(120),-2,+1(32),+2(147),41%,Gold,孙宇开,羊柯伍,梁彬,N,N
22,,上海交通大学,空月之歌,7,811,-,+3(209),-1,-,-,+1(117),+1(6),-,+1(111),+1(81),-1,+1(27),+1(220),22%,Gold,任子杭,周学信,朱一铭,N,N
23,16,华中科技大学,零,7,826,-5,+1(185),-,-,-,+1(83),+1(7),-,+2(141),+1(55),-,+2(31),+2(264),30%,Gold,刘铖,刘星佳,黄暄骜,N,N
24,17,北京邮电大学,此队伍名由AI生成,7,856,-,+2(167),-,-,-,+1(100),+1(8),-,+3(62),+1(87),-,+1(57),+4(255),46%,Gold,赵思涵,张鲁豫,蔡芝林,N,N
25,18,南开大学,数智省身_比起xcpc我更喜欢拿铁,7,878,-,+3(191),-,-,-,+1(115),+1(8),-,+1(98),+1(89),-,+1(34),+2(283),30%,Gold,郭军凯,刘沛鑫,廖望,N,N
26,19,北京航空航天大学,双星很难吗？我rks12.66,7,878,-,+2(214),-,-,-,+1(100),+1(7),-,+1(62),+1(135),-,+1(29),+2(291),22%,Gold,金厚泽,陈文卓,刘睿知,N,N
27,,南京大学,拂晓之刃,7,887,-,+3(231),-,-,-,+1(49),+1(6),-,+1(64),+2(135),-,+6(109),+1(133),53%,Gold,钟佳伦,黄哲轩,张罗亮,N,N
28,20,东华大学,不可视境界线,7,925,-,+4(250),-,-,-1,+1(113),+1(5),-,+1(144),+1(64),-,+1(36),+2(233),36%,Gold,杨韵清,沈兴波,金浩帆,N,N
29,21,济南大学,花开之夜,7,936,-,+4(228),-,-,-,+1(86),+1(7),-,+5(130),+1(49),-,+1(28),+1(268),50%,Gold,丁浩宇,程明达,肖远志,N,N
30,22,华南理工大学,华工十队,7,961,-,+4(256),-,-,-,+1(114),+1(7),-,+1(122),+1(86),-,+1(40),+1(276),30%,Gold,王雅恒,黄烁韩,何嘉骅,N,N
31,,浙江工业大学,ZJUT2,7,981,-,+2(245),-,-,-,+1(132),+1(5),-,+2(118),+1(84),-,+2(44),+4(233),46%,Gold,周泳良,周睿,闵士轩,N,N
32,23,湖南师范大学,雾之湖,7,1025,-,+2(212),-5,-,-,+3(228),+1(10),-,+3(102),+1(48),-,+1(15),+3(270),50%,Gold,曾磊鑫,钟啸,段天琦,N,N
33,,复旦大学,奶龙的小七,7,1064,-,+3(170),-,-,-,+2(177),+1(8),-,+1(208),+1(122),-7,+2(45),+2(234),41%,Gold,沈高畅,邹丰羽,姚奕,N,N
34,,北京航空航天大学,天铸币,7,1105,-1,+5(288),-,-,-,+2(138),+1(5),-,+4(197),+1(98),-,+1(51),+1(168),53%,Gold,龚锦勋,徐宏烯,李博琛,N,N
35,24,上海纽约大学,小男娘,7,1106,-1,+1(272),-,-,-,+1(97),+1(13),-,+1(293),+2(69),-,+2(37),+3(245),36%,Gold,陈智谦,刘濮铭,郭凯越,N,N
36,25,西湖大学,拼尽全力无法战胜AI,7,1249,-,+5(291),-,-,-,+4(193),+1(8),-,+3(148),+1(77),-,+3(78),+1(234),61%,Gold,楼鑫浩,周扬帆,钱欣宇,N,N
37,,北京邮电大学,我太想进步了,7,1269,-1,+2(282),-2,-,-,+2(136),+1(8),-,+2(175),+1(78),-,+5(148),+4(242),58%,Gold,徐嘉晨,黄志阳,蔡佩霖,N,N
38,,西湖大学,此时压力来到了我们队,6,541,-,+2(229),-,-,-,+1(80),+1(10),-,+1(62),+1(107),-,+1(33),-5,14%,Gold,杨宇恒,刘振豪,李品樟,N,N
39,,浙江大学,透明哀歌,6,622,-,+2(220),-1,-,-,+1(56),+2(6),-,+1(44),+4(122),-,+2(54),-,50%,Gold,潘永健,周俊康,叶纳诚,N,N
40,26,吉林大学,久世浮倾,6,630,-22,+1(277),-,-,-,+1(70),+1(7),-,+1(154),+1(84),-,+1(38),-,0%,Gold,孔泉智,赵星宇,邱天,N,N
41,27,南方科技大学,南方科技大学-连科兰,6,638,-,+1(226),-,-,-,+1(100),+1(6),-,+2(156),+1(75),-,+2(35),-4,25%,Silver,曾沛宸,张业琛,光熠阳,N,N
42,,东南大学,西西弗斯,6,647,-,-1,-,-,-,+1(110),+1(7),-,+2(72),+2(176),-,+1(43),+1(199),25%,Silver,何辰玮,刘一鸣,王俊迪,N,N
43,,杭州电子科技大学,杭电四队,6,650,-,+1(209),-,-,-,+2(140),+2(10),-,+1(51),+2(112),-,+2(48),-9,40%,Silver,帅嘉洋,刘翔,王麒润,N,N
44,,南方科技大学,南方科技大学-卡拉巴赫,6,676,-,+3(170),-1,-,-,+1(201),+1(12),-,+1(92),+1(96),-,+2(45),-,33%,Silver,李钰曦,侯宇轩,娄午尘,N,N
45,28,上海科技大学,羽生萌萌香鱼子酱,6,690,-1,+3(209),-2,-,-,+1(125),+1(13),-,+2(83),+2(91),-3,+3(49),-,50%,Silver,李承熙,黄扬铭,陶孜铖,N,N
46,29,中国人民大学,字节无虞,6,722,-,-3,-,-,-,+2(200),+1(5),-,+1(83),+1(67),-,+3(74),+2(213),40%,Silver,钱泽瑄,陈礼邦,刘嘉俊,N,N
47,30,厦门大学,随机增量,6,739,-,+1(141),-,-,-,+3(165),+1(9),-,+6(216),+1(46),-,+1(22),-,53%,Silver,杨晟明,戴思杰,季裕杰,N,N
48,,北京航空航天大学,我队友得了MVP！,6,762,-,+5(281),-,-,-,+1(130),+1(10),-,+1(90),+1(76),-,+3(55),-,50%,Silver,廖俊麟,徐浩然,肖迪睿,N,N
49,,北京航空航天大学,你是永远的猫猫虫,6,765,-,-8,-,-,-,+1(159),+1(9),-,+3(182),+1(57),-,+3(58),+1(220),40%,Silver,华晓飞,孙一弘,沈培森,N,N
50,,南京大学,随家仓,6,789,-,-,-,-,-,+1(146),+1(7),-,+1(104),+4(137),-,+1(23),+4(252),50%,Silver,樊书岩,邓淇,李承泽,N,N
51,,北京大学,仨人成行,6,792,-,+7(289),-,-,-,+5(85),+1(8),-,+1(76),+2(70),-,+1(44),-3,64%,Silver,宋来恒,刘鹏飞,王冠尧,N,N
