Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
1,1,北京大学,Naive Birds,8,894,-,+1(47),+1(134),+3(281),-,+2(122),-27,+1(7),+2(82),+3(68),+1(33),-,42%,Gold,王蔚澄,朱剑枫,李羿辰,Qinjian Zhang ,N,N
2,2,复旦大学,DeepSleep,8,932,-,+2(91),+2(185),-6,-,+1(105),+1(235),+1(7),+2(142),+2(40),+1(47),-,33%,Gold,张圣皓,王瑞藻,朱翔宇,Weiwei Sun ,N,N
3,3,上海交通大学,Stella Primus,8,1348,-,+2(111),+2(285),-,-,+3(291),+2(252),+1(7),+1(132),+2(118),+1(32),-,42%,Gold,杨崇烨,李俊毅,唐星珣,Yong Yu ,N,N
4,4,哈尔滨工业大学,CQOI Flames,7,1082,-,+1(56),-,-,-,+7(219),+3(286),+1(4),+1(120),+3(125),+1(72),-,58%,Gold,杜沛键,方智鉴,雷钧森,Wenbo Zhao ,N,N
5,5,香港中文大学深圳,Mynoghra,6,679,-,+1(104),-5,-,-,+1(284),-,+1(4),+2(131),+1(64),+2(52),-,25%,Gold,周莫非,陈嘉年,王泽诚,Yixiang Fang ,N,N
6,6,厦门理工学院,Nice Nature,6,764,-,+1(231),-,-,-,+5(206),-1,+2(18),+1(126),+2(48),+1(15),-,50%,Gold,洪世炜,张子漠,凌恒,Weijiang Zhang ,N,N
7,7,香港大学,Hot Kpop Union,6,785,-,+3(135),+1(280),-,-,-4,-,+1(11),+1(149),+1(119),+1(51),-,25%,Gold,李其轩,吴语晨,夏铭飞,Qipeng Kuang ,N,N
8,8,吉林大学,The Defect,6,804,-,+1(122),+4(293),-,-,-4,-,+1(6),+1(145),+3(101),+1(37),-,45%,Gold,于之航,陈鹏旭,徐梓博,Shuai Lyu ,N,N
9,9,南方科技大学,SUSTech-Lyaki,6,829,-,+1(39),-,-,-,-1,+3(283),+1(6),+2(150),+4(145),+2(66),-,53%,Gold,易楚曦,蒲韦坤,陈恺桉,Bo Tang ,N,N
10,10,西安交通大学,Rinsed to Remote,6,851,-,+1(141),-1,-1,-,+1(192),-,+1(10),+2(62),+4(269),+2(77),-,45%,Gold,陈儒恒,殷嘉鹏,方亦晨,Longxiang Wang ,N,N
11,11,香港科技大学广州,"Fear WA, all in implementation",5,378,-,+1(89),-4,-,-,-3,-,+2(9),+1(152),+2(38),+1(50),-,28%,Gold,王向前,罗浩,储文皓,Hui Xiong ,N,N
12,12,杭州电子科技大学,HDU-T05,5,475,-,+3(112),-,-,-,-6,-,+1(5),+2(118),+2(92),+2(48),-,50%,Gold,杨钧昊,徐中天,蔡睿诚,Chunying Liu ,N,N
13,13,北京航空航天大学,lemonade factory,5,495,-,+3(46),-,-,-,-,-,+1(7),+1(141),+3(164),+1(57),-,44%,Gold,董和军,王大禹,蒋槟阳,You Song ,N,N
14,14,东南大学,Twilight,5,507,-,+3(89),-,-,-,-5,-,+1(9),+1(161),+2(141),+1(47),-,37%,Silver,杜岩旭,颜熙,周天一,Vincent Chau ,N,N
15,15,南京大学,Anohana,5,535,-,+1(124),-,-,-,-9,-,+1(7),+3(174),+4(66),+1(64),-1,50%,Silver,张瑞珉,朱羽宽,陈子达,Jun Ma ,N,N
16,16,南开大学,The Affiliated High School of Shanxi University,5,724,-,+2(136),-,-,-,-,-,+1(15),+1(209),+3(219),+2(65),-,44%,Silver,车昱辉,杨澍,王治中,Xiaoguang Liu ,N,N
17,17,清华大学,HFOI2018,5,838,-,+2(158),-,-,-,-1,-,+1(6),+3(190),+3(246),+3(98),-,58%,Silver,区庆亮,贺睿杰,罗以彬,Xiaojun Wu ,N,N
18,18,中山大学,SYSU_Fate of Waves,5,894,-,+1(203),-,-,-,-2,-,+1(11),+4(268),+4(170),+3(82),-,61%,Silver,何宇扬,杨立伟,Ruilin Qin,Hai Wan ,N,N
19,19,中国人民大学,1+1,4,362,-,-5,-,-,-,-2,-,+1(11),+1(167),+3(101),+1(43),-,33%,Silver,晏艺桓,房子珈,孙奕豪,Yunhai Wang ,N,N
20,20,南京航空航天大学,blossom of snow,4,383,-,-3,-,-,-,-3,-,+1(5),+2(195),+2(98),+1(45),-,33%,Silver,胡昊天,赵乐坤,匡显然,Chunran Zou ,N,N
21,21,北京邮电大学,GNOSIA,4,499,-,+3(145),-,-,-,-,-1,+1(16),-,+2(105),+1(173),-,42%,Silver,谭怡萱,许智彬,邢瑞林,Peng Xu ,N,N
22,22,电子科技大学,UESTC_lyc_fan_club,4,536,-,+1(196),-,-,-,-3,-,+1(8),-,+3(222),+1(70),-,33%,Silver,周蛰粼,赵城尧,徐明君,Peng Yang ,N,N
