Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl
1,浙江大学,Wheatfield with Crows,8,1380,Gold,邓浩然,陈昱文,林思仪,N,N
2,复旦大学,东乡美森是勇者,7,769,Gold,高铭鸿,温昕岳,吴明健,N,N
3,清华大学,咕咕咕（女队）,7,1090,Gold,黄天,毛嘉怡,张晨,N,N
4,北京大学,deceiver,7,1092,Gold,孔朝哲,陈俊恺,魏罗健,N,N
5,清华大学,我太难了,7,1141,Gold,张一玎,唐彬峪,贾昊瑞,N,N
6,南京大学,题都做不,7,1236,Gold,姚嘉和,林荣恩,张浩宇,N,N
7,重庆大学,这题不是随便搞吗,6,692,Gold,张博虓,徐茂凯,汪啸宇,N,N
8,上海交通大学,燕返,6,702,Gold,顾逸,陈彤,陈雪阳,N,N
9,华南理工大学计算机学院,SCUT_Ultimate_Team382,6,739,Gold,魏承东,黄仕嘉,林仕居,N,N
10,南京大学,圆狗粉丝团,6,749,Gold,王淳扬,王冬杨,单启程,N,N
11,上海大学,你以为你CF过了四题,6,757,Gold,蔡盛梁,苗伟华,周天澜,N,N
12,北京理工大学,森の妖精,6,762,Gold,沈云汉,龙水彬,周赫斌,N,N
13,华东师范大学,这是我的最强一击,6,794,Gold,陈宇琪,邵煜,王朝扬,N,N
14,浙江大学,除你武器,6,806,Gold,章可循,杨沛霖,余奥洋,N,N
15,同济大学,荠蒻,6,812,Gold,欧阳小伟,刘毅韬,赵屹雄,N,N
16,北京航空航天大学,咕咕鸽,6,813,Gold,伍俊洁,钟梓皓,邓一兴,N,N
17,上海交通大学,黑暗封印,6,831,Gold,谭博仁,杨宗翰,任一凡,N,N
18,武汉大学,未命名,6,930,Gold,郭宇梁,岑洋,蒋梦旭,N,N
19,安徽大学,墙角猫,6,1029,Gold,王唯臣,陈昱翔,汪敏瑞,N,N
20,南京邮电大学,三相之力,6,1075,Gold,陈锐,柏广凡,刁煜凡,N,N
21,浙江理工大学,钻石羊,6,1083,Gold,林航宇,罗晨宇,杨昊泽,N,N
22,北京理工大学,I题是个签到题,6,1090,Silver,徐子懋,周弈帆,张庚辰,N,N
23,华中科技大学,黑色切鸽者,6,1115,Silver,罗宇兵,鲁清新,王宇轩,N,N
24,西安交通大学,没有就空着吧,6,1175,Silver,齐智,唐宇轩,陈子谦,N,N
25,华中科技大学,春田花花幼稚园,5,588,Silver,樊炯言,陈梦雷,谢锦瑶,N,N
26,浙江大学,蓝泥湾（女队）,5,609,Silver,付冰洋,王宣煊,张龙姣,N,N
27,浙江工业大学,ZJUT7,5,743,Silver,徐远洋,程淦,钱滔,N,N
28,哈尔滨工业大学,守护全世界最好的凯妹,5,745,Silver,范天泷,刘青林,展宇宏,N,N
29,广东外语外贸大学,纸上牧羊,5,761,Silver,林冠权,曾迪鸿,邝江洲,N,N
30,重庆邮电大学,圆环之理,5,765,Silver,刘茜,何杨,周星宇,N,N
31,福建师范大学,中二少年,5,802,Silver,林炜,黄银,董璐瑜,N,N
32,复旦大学,蝴蝶梦,5,807,Silver,许逸培,力维辰,肖亚语,N,N
33,华南理工大学计算机学院,SCUT_赌徒,5,808,Silver,丁琪,陈烔晖,周瑞东,N,N
34,清华大学,夕阳的刻痕,5,821,Silver,李嘉尧,何昊天,曾晓龙,N,N
35,复旦大学,复读复读复读,5,838,Silver,孙若诗,陆佳艺,刘嘉辰,N,N
36,杭州师范大学,TI1050,5,844,Silver,薛鸿涛,潘律旨,罗天松,N,N
37,深圳大学,爆零,5,848,Silver,何嘉键,陈培豪,廖竞,N,N
38,绍兴文理学院元培学院,榜一扛着火车跑了,5,861,Silver,陈军,陈琢宇,周泽成,N,N
39,电子科技大学,香咕炖鸽,5,862,Silver,熊子良,雷金坪,金琪铠,N,N
40,东南大学,可持久化最小鸽,5,871,Silver,肖炯辰,刘朗麒,冉雨杭,N,N
41,哈尔滨工业大学(威海),蓝莓蛋挞,5,875,Silver,宋维晓,陈乔晟,储成伟,N,N
42,浙江师范大学,梅溪湖女孩说队名一定要长那就这么长,5,889,Silver,凌静,刘浩,余知航,N,N
43,杭州电子科技大学,轮到我了吧,5,890,Silver,崔倍宁,刘智杰,汤丰瑜,N,N
44,浙江中医药大学,ZCMU-去厦门喝茶,5,979,Silver,黄哲,李佳辉,陈程洁,N,N
45,北京航空航天大学,无限大の梦,5,987,Silver,沈中海,张凯杰,林昱同,N,N
46,电子科技大学,恋爱大师,5,998,Silver,王潇,颜禹焓,程曦,N,N
47,温州大学,阿尔法队,5,1008,Silver,钟庭彪,孙铤超,李克炼,N,N
48,武汉科技大学,就这么喜欢写代码吗？你这个小秃头,5,1050,Silver,孟钦宇,余凌紫,张嘉豪,N,N
49,西北工业大学,铸铁成金,5,1061,Silver,高恩豪,顾金晨,王煜伟,N,N
50,浙江工业大学,刃鸣近月，千恋万花,5,1069,Silver,吴泽成,杨俊尧,周阳,N,N
51,福州大学,新世纪AC战士,5,1103,Silver,郑晨阳,吴宜航,鲍子涵,N,N
52,河海大学,朴实无华且枯燥,5,1247,Silver,王克,汤明杰,罗旭江,N,N
53,长春理工大学,比速度,4,349,Silver,李泽鹏,陈昶文,孟令书,N,N
54,浙江财经大学,星光,4,421,Silver,柴奕,李欣阳,周人豪,N,N
55,长沙学院,为所欲为,4,478,Silver,许斌斌,吴轩,何邵炫,N,N
56,广州大学,我钟意食烧鸡翼,4,506,Silver,卢浩宇,余梓宁,陈浩珲,N,N
57,天津大学,背着队友偷偷WA,4,525,Silver,范一隆,施浩森,王艺达,N,N
58,浙江财经大学,天光,4,528,Silver,吕效华,徐心如,周崇凯,N,N
59,长春工业大学,加州汽车旅馆,4,572,Silver,蒋林,赵彬,马昂扬,N,N
60,北京大学,我们队的队名长达十七个字，你们能秒,4,575,Silver,彭轩宇,谢典霖,张俊逸,N,N
61,江苏科技大学,还好没考后缀自动机我？,4,594,Silver,张咏乐,夏康,唐清仙,N,N
62,宁波工程学院,牛顿的烈焰激光剑,4,598,Silver,郭吕建,傅剑琪,王发鸿,N,Y
63,哈尔滨工业大学(深圳),从不AC,4,617,Bronze,刘颂唐,陈迅,周卓涵,N,N
64,湘潭大学,完美谢幕 3.0,4,619,Bronze,屈京,代卓岑,杨舒文,N,N
65,北京化工大学,不是很懂你们div1,4,628,Bronze,张中豪,罗朝旭,金任任,N,N
66,四川大学,Dreamer,4,629,Bronze,任子尧,魏子豪,曾祥瑞,N,N
67,南昌航空大学,白日梦,4,647,Bronze,章文贵,刘辅强,陈肇杰,N,N
68,华南农业大学,SCAU_)(,4,664,Bronze,庄煜武,庄俊生,曹昭阳,N,N
69,南京航空航天大学,犹豫，就会白给,4,682,Bronze,胡天豪,茅涵俊,朱天齐,N,N
70,重庆大学,三个小黄人,4,700,Bronze,陈泱宇,张义,王志伟,N,N
71,浙江理工大学,养老观光团,4,704,Bronze,潘灵伟,王宣凯,蔡乐圆,N,N
72,东北大学秦皇岛分校,Thursday,4,710,Bronze,孙意,董明宇,黄鑫源,N,N
73,厦门大学,嗷嗷嗷,4,745,Bronze,赖睿朗,刘久一,李泽政,N,N
74,上海理工大学,给大家表演一个旋转卡壳,4,756,Bronze,任灏贇,金轩城,王必成,N,N
75,成都东软学院,喷火龙小队,4,766,Bronze,周征宇,宋澳,杜正磊,N,N
76,浙江师范大学,离子引擎,4,769,Bronze,伍泰炜,张恩,吕川一,N,N
77,湖南文理学院,梦中AC,4,778,Bronze,谭杨盈,唐京,吴宇斌,N,N
78,浙江大学宁波理工学院,侧耳倾听,4,787,Bronze,张秋阳,吴亦初,厉兆伦,N,N
79,北京林业大学,皮卡丘的电一块钱四度嘿嘿,4,791,Bronze,许哲楠,徐川晴,赵天元,N,N
80,合肥学院,搏击俱乐部,4,793,Bronze,闵德海,徐永强,方元中,N,N
81,北京邮电大学,你们这是个什么队,4,818,Bronze,许哲诚,兴淑鹏,陈建帅,N,N
82,山东农业大学,生死看淡,4,823,Bronze,冯硕,王俊杰,蔡东晓,N,N
83,西安电子科技大学,睡梦罗汉拳,4,840,Bronze,代玉泉,柴东辰,韦润民,N,N
84,杭州电子科技大学,三文鱼,4,855,Bronze,施毅恒,万仞峰,杨子江,N,N
85,大连理工大学,啥队（女队）,4,907,Bronze,董霄然,傅心语,何泾,N,N
86,北京航空航天大学,将来我一定比你聪明比你强（女队）,4,918,Bronze,赵婉如,黄云依,常容熇,N,N
87,青岛大学,AC主旋律,4,999,Bronze,赵心治,左一兵,王俊皓,N,N
88,电子科技大学,冻住不洗澡（女队）,4,1012,Bronze,唐钰晨,牟语嫣,陈菲菲,N,N
89,江南大学,WFT,3,309,Bronze,方梦成,王晨妮,谈天,N,N
90,杭州电子科技大学,杭电女一队（女队）,3,442,Bronze,单文田,屈英哲,任凌昕,N,N
91,福建师范大学,小胖墩梦圆厦门,3,442,Bronze,黄筱芸,林嘉妮,赵菲,N,N
92,青岛大学,粉红凤凰花凤凰,3,451,Bronze,祖亚君,李磊,李阳,N,N
93,重庆邮电大学,菜的魔力转圈圈,3,488,Bronze,秦锐锋,陈路遥,丁昊,N,N
94,哈尔滨工业大学,哈工大没有空调,3,491,Bronze,王翰坤,陈啸,吕岸桐,N,N
95,桂林电子科技大学,蒟蒻驿站,3,500,Bronze,李兆伦,智鑫,鲁智昊,N,N
96,贺州学院,meaqua贴贴,3,525,Bronze,黄铨章,文海峰,卢斐斐,N,Y
