Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,12,1259,+1(6),+2(162),+1(33),+1(112),+1(13),+2(126),+1(10),-,+3(98),+1(48),+2(34),+1(161),+4(296),40%,Gold,王展鹏,罗煜翔,蒋凌宇,N,N
2,2,浙江大学,Solitary Dream,12,1565,+1(20),+4(220),+2(74),+1(120),+1(8),+1(136),+2(48),-1,+2(123),+1(39),+2(103),+1(224),+2(290),40%,Gold,彭博,褚写庭,陈逸,N,N
3,3,清华大学,窗边明月,11,1148,+1(12),+3(231),+1(90),+1(80),+1(5),+2(62),+1(51),-,+1(101),+1(64),+2(210),+1(162),-,26%,Gold,徐翊轩,杨骏昭,陈孙立,N,N
4,,清华大学,上兵伐谋,10,1107,+1(30),+2(97),+1(104),+1(143),+2(40),+1(189),+3(63),-,+1(51),+3(39),+3(191),-,-,44%,Gold,潘佳奇,郑路明,陈扩文,N,N
5,4,杭州电子科技大学,杭电 6 队,9,1026,+1(35),-3,+2(140),+1(178),+1(16),+2(264),+1(49),-,+1(109),+1(60),+1(135),-,-,18%,Gold,姜正,潘思成,陈载元,N,N
6,5,浙江工业大学,地球猫猫,9,1076,+1(27),-,+1(113),+1(253),+1(8),+1(228),+2(42),-,+2(194),+1(20),+1(151),-,-,18%,Gold,张宇翔,李亚伦,陈洁怡,N,N
7,,北京大学,黎明与萤火,9,1183,+1(12),-4,+1(93),+1(240),+1(29),+1(256),+2(133),-,+3(198),+1(78),+3(44),-,-,35%,Gold,刘晨宇,李思杰,黄蔚尧,N,N
8,6,华侨大学,红日初升,9,1210,+1(16),+1(288),+1(153),+1(216),+1(22),-,+2(59),-,+1(180),+1(75),+3(141),-,-,25%,Gold,徐聪,赵雨扬,郑量,N,N
9,7,浙江师范大学,猫猫把师傅抓走了,9,1231,+1(23),-1,+1(100),+1(219),+1(9),+1(297),+1(55),-,+2(172),+1(89),+2(227),-,-,18%,Gold,厉文浩,温启涛,蒋润浩,N,N
10,8,哈尔滨工业大学（深圳）,删库跑路,9,1308,+1(22),-,+1(74),+1(194),+1(8),+1(282),+2(63),-,+1(149),+2(94),+8(242),-,-,50%,Gold,任秦江,卢郡然,梁珊,N,N
11,9,上海交通大学,梦想天生,9,1356,+1(40),-1,+1(104),+1(186),+1(13),+1(271),+2(65),-,+2(280),+1(88),+2(249),-,-,25%,Gold,张明驰,张景博,林一凡,N,N
12,,杭州电子科技大学,杭电 4 队,8,899,+1(16),-1,+1(140),+1(165),+1(28),-,+3(68),-,+1(110),+2(105),+1(207),-,-,27%,Gold,柴汉锋,赵章恺,高义雄,N,N
12,10,中山大学,中山大学 - 版本之子,8,899,+1(24),-1,+1(135),+1(198),+1(16),-,+1(105),-,+1(115),+1(60),+2(226),-,-,11%,Gold,梁梓豪,罗以彬,陈银超,N,N
14,11,吉林大学,Nan 上加 Nan,8,947,+2(26),-,+1(107),+1(266),+1(9),-,+2(64),-,+4(152),+1(52),+1(171),-,-,38%,Gold,周宇恒,方涵斌,李祯浩,N,N
15,,北京大学,我们队名叫啥啊,8,948,+2(31),-5,+3(127),+1(228),+1(15),-5,+2(93),-,+1(145),+1(53),+5(96),-,-,50%,Gold,何劲范,叶博文,黄骏齐,N,N
16,12,南京信息工程大学,跟不上榜,8,994,+1(32),-,+1(122),+1(204),+1(9),-,+1(99),-,+3(155),+2(85),+1(228),-,-,27%,Gold,洪伟,潘小康,董兆琦,N,N
17,13,复旦大学,天体交织,8,995,+1(13),-3,+1(58),+1(224),+1(17),-,+1(88),-,+1(164),+3(179),+2(192),-,-,27%,Gold,聂绍珩,陆佳艺,陈可汗,N,N
18,14,四川大学,纯真丁三郎,8,1103,+1(30),-,+1(138),+1(233),+1(12),-,+2(68),-,+1(192),+1(100),+2(290),-,-,20%,Gold,杨雨豪,楚博然,顾曦骏,N,N
19,15,北京航空航天大学,玄学过题,8,1117,+1(37),-4,+1(89),+1(160),+4(13),-,+2(32),-,+3(287),+1(60),+5(239),-,-,55%,Gold,吴湛宇,权尚浩然,王宇龙,N,N
20,16,武汉大学,啊啊啊黑猫警长,8,1132,+1(22),-,+1(176),+1(222),+1(17),+2(245),+1(49),-,+1(145),+5(156),-2,-,-,38%,Gold,杨宇杰,杨宇轩,陈昭宪,N,N
21,,北京航空航天大学,起床困难综合症,8,1142,+2(37),-,+4(119),+1(192),+3(13),-,+2(105),-,+1(169),+2(65),+3(242),-,-,55%,Gold,张殊睿,罗皓天,高湘一,N,N
22,17,大连理工大学,暂无名,8,1177,+1(27),-,+2(229),+1(279),+1(10),-,+1(52),-,+3(242),+2(165),+1(93),-,-,33%,Gold,夏鸿康,李胤驰,陈常杰,N,N
23,18,华中科技大学,偏远小渔村传统弱校,8,1204,+1(28),-,+2(100),+1(252),+1(10),+1(229),+1(104),-,+2(273),+2(148),-7,-,-,27%,Gold,李明翰,李根,陈贤坤,N,N
24,,清华大学,时来运转观光团,8,1224,+1(33),-,+1(79),+1(266),+2(25),+1(279),+1(103),-,-8,+1(202),+2(197),-,-,20%,Gold,宋学伟,杜盛全,魏亦翔,N,N
25,,浙江大学,Billboard for Rent,8,1230,+1(36),-,+5(167),+1(214),+2(18),-,+2(113),-,+1(201),+2(43),+2(278),-,-,50%,Silver,任庭旭,徐琪杰,王楚淏,N,N
26,,北京大学,老年旅游队,8,1233,+1(41),-,+2(142),+1(103),+1(15),-4,+1(55),-,+5(254),+1(147),+8(236),-,-,60%,Silver,刘和金,林枫,翁伟捷,N,N
27,19,北京理工大学,阿夸滑滑蛋喝冰红茶,8,1282,+1(31),-,+1(118),+1(239),+1(13),-,+1(62),-,+2(248),+2(61),+10(290),-,-,57%,Silver,彭程,李嘉政,李轩宇,N,N
28,,上海交通大学,吸风饮露,8,1284,+1(23),-,+4(224),+1(228),+1(10),-,+2(120),-,+3(269),+1(69),+2(201),-,-,46%,Silver,刘泳霖,杨崇烨,王鲲鹏,N,N
29,,上海交通大学,撸串的喵,8,1294,+1(26),-,+3(163),+2(170),+1(8),+4(297),+1(107),-,+3(229),+2(114),-2,-,-,52%,Silver,朱铭阳,王云骥,罗祺皓,N,N
30,,北京理工大学,为什么你们这么熟练啊,8,1330,+3(50),-6,+1(146),+1(245),+3(17),-,+1(98),-,+4(255),+1(81),+3(258),-,-,52%,Silver,廖嘉琦,张程,李坚辉,N,N
31,20,湖南大学,物竞选手再化竞,8,1428,+1(15),-,+4(190),+1(266),+2(10),-,+2(48),-,+3(129),+3(121),+10(289),-,-,69%,Silver,张龙韬,朱名扬,陈叹,N,N
32,,武汉大学,眼睛瞪得像铜铃,8,1575,+1(24),-,+17(207),+1(229),+1(12),-2,+2(53),-,+1(104),+5(168),+4(298),-,-,75%,Silver,卢凯宾,水熙锐,谷嘉良,N,N
33,21,湖南师范大学,师大之曐,7,586,+1(25),-,+1(107),+1(116),+1(13),-,+1(74),-,+1(188),+1(63),-7,-,-,0%,Silver,王辰宇,胡昀霏,黄沛遥,N,N
34,,浙江师范大学,二手摩托,7,793,+1(12),-,+1(75),+1(280),+1(16),-,+1(46),-,+1(220),+2(124),-2,-,-,12%,Silver,倪伟聪,王学远,陈增豪,N,N
35,22,哈尔滨工业大学,明日夜空哨戒班,7,825,+1(24),-,+1(117),+1(244),+1(5),-,+1(127),-,+3(178),+1(90),-,-,-,22%,Silver,徐琬,王子恺,王梓尧,N,N
36,23,武汉理工大学,不会计数怎么办,7,877,+1(28),-,+2(68),+1(237),+1(14),-,+3(142),-,+1(183),+3(105),-3,-,-,41%,Silver,奚兆阳,徐亚萌,罗越,N,N
37,24,东北大学,东北大学_毒,7,897,+1(22),-,+2(79),+1(220),+1(11),-,+1(246),-,+1(179),+1(120),-,-,-,12%,Silver,仝家驹,濮金骁,陈彦澍,N,N
38,25,西安交通大学,TidalBore,7,903,+2(31),-,+2(101),+1(210),+3(14),-,+2(39),-,+3(114),+3(214),-2,-,-,56%,Silver,张清扬,王禹皓,田雨阳,N,N
39,26,河南农业大学,Indigo,7,908,+1(24),-,+1(172),+1(263),+1(7),-,+2(136),-,+1(216),+1(70),-,-,-,12%,Silver,李治毅,贾懿,闫亚鑫,N,N
40,,杭州电子科技大学,杭电 2 队,7,916,+1(25),-,+1(95),+1(222),+2(14),-,+2(135),-,+3(221),+3(84),-4,-,-,46%,Silver,应以周,舒飘扬,郑豪杰,N,N
