Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,中南大学,明日之风的三重奏,9,1255,-3,+1(230),+2(31),-,+1(41),-,-,+1(101),+1(136),+2(244),+1(274),+1(10),+3(108),30%,Gold,徐国琛,李玄靖,赵伯阳,N,N
2,2,浙江大学,nameless story,8,916,+2(264),-,+1(167),+2(99),+1(19),-1,-,+1(44),+2(127),-,-5,+1(10),+3(86),38%,Gold,凌子恒,林响烨,胡家齐,N,N
3,3,上海交通大学,银色子弹,8,950,-,+3(237),-5,-,+1(31),-,-,+1(90),+1(59),+1(255),+1(150),+1(14),+1(74),20%,Gold,戚洋,江若泓,陈则佳,N,N
4,4,清华大学,运气选手走不远的,8,1051,-,+2(291),+1(58),-,+1(42),-6,-,+1(63),+1(128),+4(220),-,+1(9),+1(160),33%,Gold,彭志可,曹越,李天宇,N,N
5,,上海交通大学,柳,8,1166,-1,-1,+3(271),-,+1(19),-,-,+1(85),+1(46),+1(243),+2(292),+1(8),+2(122),33%,Gold,叶瑶琦,姜天乐,王照梓,N,N
6,,清华大学,城封了榜封了我也疯了,8,1239,-7,+2(87),+1(175),-,+1(118),-,-,+1(124),+1(128),+1(149),-,+1(94),+7(224),46%,Gold,曹天佑,袁无为,魏精,N,N
7,5,香港中文大学（深圳）,巴克利,7,659,-,-1,+1(153),-,+1(21),-,-,+2(56),+1(91),-,+1(213),+1(8),+1(97),12%,Gold,忙秋阳,李冬旭,郭青硕,N,N
8,6,暨南大学,Reimei,7,826,-,+2(217),+1(254),-,+1(40),-,-,+1(49),+1(127),-,-,+1(25),+1(94),12%,Gold,文荫华,麦骏,,N,N
9,7,复旦大学,天体交织,7,827,-,+1(226),+1(80),-,+1(38),-,-,+1(54),+2(245),-,-3,+2(15),+1(129),22%,Gold,聂绍珩,陆佳艺,陈可汗,N,N
10,8,南京理工大学,立一摸断平三色猫猫头,7,862,-,-,+1(202),-4,+2(32),-,-,+1(57),+1(186),-,+2(257),+1(11),+1(77),22%,Gold,郭佳樊,金朝哲,陈一涵,N,N
11,9,山东大学,大黑狗奶糖,7,929,-,+1(162),-5,-,+1(26),-,-,+1(49),+1(67),-,+11(298),+1(12),+1(115),58%,Gold,周何,王在烜,蔡汶澄,N,N
12,10,杭州电子科技大学,杭电 4 队,7,974,-,-,+1(121),-,+2(44),-,-,+1(65),+2(255),-,+4(286),+1(19),+1(84),41%,Gold,柴汉锋,赵章恺,高义雄,N,N
13,,浙江大学,Three AFOers,6,546,-,-1,+1(117),-,+1(22),-,-,+2(35),+3(210),-,-,+1(16),+1(86),33%,Gold,孙晨毓,谢集,赵天健,N,N
14,11,东南大学,我过了样例,6,555,-,-,+1(219),-,+1(29),-,-1,+1(45),+1(154),-,-,+1(8),+2(80),14%,Gold,徐朔,戚雨林,汪子杰,N,N
15,,香港中文大学（深圳）,龙大相遇，快乐划水,6,640,-,-1,+1(182),-,+1(32),-,-,+2(72),+2(164),-,-,+1(16),+1(134),25%,Gold,夏禹扬,蒋一歌,赵子逸,N,N
16,12,吉林大学,柴郡猫猫 QuQ,6,831,-1,+1(282),-1,-,+1(41),-,-,+1(55),+1(161),-,-,+1(17),+1(275),0%,Gold,李光赫,陈铭豪,黄昌盛,N,N
17,13,北京邮电大学,珊瑚宫心海,6,888,-,-,-,-,+1(42),-,-,+1(91),+2(296),+1(152),-,+1(27),+2(240),25%,Gold,程泓涛,董凯文,高畅,N,N
18,14,北京交通大学,羊羊羊,6,955,-,+3(242),+2(273),-,+1(35),-,-,+2(49),-,-,-,+1(20),+4(196),53%,Gold,夏鹤鸣,郭昱哲,韦正豪,N,N
19,15,北京航空航天大学,想抱住前面学长的大腿,6,1076,-,-,+4(173),-,+4(53),-,-,+2(64),+1(221),-,-,+2(21),+6(284),68%,Gold,吴昊恒,董雨润,钟煜奇,N,N
20,16,哈尔滨工业大学,魂魄出窍,6,1122,+5(295),-,+1(271),-,+3(49),-,-,+1(59),-,-,-,+1(9),+4(259),60%,Gold,祁展华,陈浩然,陈煜航,N,N
21,17,中国科学院大学,果壳挂科王,5,408,-,-,-2,-,+1(36),-,-,+2(68),+1(194),-,-,+1(23),+1(67),16%,Gold,徐亦周,徐致远,蓝天朗,N,N
22,,中南大学,千帆星河,5,461,-,-,-5,-,+1(46),-,-,+1(58),+1(143),-,-,+1(27),+1(187),0%,Gold,周硕,林谦豫,陈贤,N,N
23,18,华东理工大学,想队名比过题还难,5,474,-,-,-1,-,+2(37),-,-,+1(62),+1(97),+1(249),-,+1(9),-,16%,Gold,曾剑涛,杭业晟,胡文波,N,N
24,19,兰州大学,我们几乎又要拿到金牌了不是吗,5,476,-,-,-2,-,+3(49),-,-,+1(82),+1(176),-,-,+1(14),+1(115),28%,Gold,孟戴浓达,狄农雨,王徐笙,N,N
25,20,南京大学,超现实黄昏,5,489,-,-,+1(150),-,+1(10),-,-,+1(44),-,-1,-,+1(16),+5(189),44%,Silver,丁天行,欧丰宁,陈晓,N,N
26,21,福州大学,卡绒熊,5,532,-,-,-2,-,+2(38),-,-,+3(54),+1(131),-,-,+1(22),+2(207),44%,Silver,廖智炫,洪磊,陈昊旸,N,N
27,,哈尔滨工业大学,血字的研究,5,548,-,-,+2(143),-,+2(38),-,-,+1(60),-,-,-,+1(19),+1(248),28%,Silver,唐贝利,朱峰,王羽婷,N,N
28,22,大连理工大学,秋招没人要,5,551,-,-,+1(289),-,+1(30),-,-,+1(50),+2(151),-,-,+1(11),-8,16%,Silver,李冠霖,江雨桐,蔡廷漳,N,N
29,,山东大学,梦天使,5,578,-,-,-2,-,+1(43),-,-,+1(55),+1(230),-,-,+2(18),+1(212),16%,Silver,张昊雨,耿浩天,蒋裕成,N,N
30,23,国防科技大学,万有引力号,5,598,-2,-,-6,-,+1(46),-,-,+1(53),+1(196),-,-,+1(23),+1(280),0%,Silver,张睿达,李泽锴,王子恒,N,N
31,24,电子科技大学,UESTC_篝月明火,5,602,-3,-,-,-,+2(33),-,-,+1(63),+1(233),-,-,+1(64),+3(149),37%,Silver,李佳骏,李奕聪,陈奕可,N,N
32,25,四川大学,差分约束做不队,5,620,-,-5,-,-,+2(38),-,-,+1(66),+2(236),-,-,+1(18),+5(142),54%,Silver,徐子翔,杜毅衡,杨轶涵,N,N
33,26,浙江工商大学,希望代码一次敲队,5,622,-,-7,+1(278),-,+1(50),-,-,+1(55),-,-,-,+1(22),+2(197),16%,Silver,刘冠轩,徐晨威,田博宇,N,N
34,27,贵州大学,Wa 之勇者成名录,5,623,-,-,-1,-,+2(37),-,-,+1(57),+1(192),+2(281),-,+1(16),-,28%,Silver,姜春磊,胡梦昕,雷继翔,N,N
35,28,杭州电子科技大学信息工程学院,清蒸狮子头,5,627,-,-,-,-,+2(67),-,-5,+2(80),+1(164),-3,-,+1(18),+3(218),44%,Silver,尹凯乐,杨鑫,柳徐吉,N,N
35,,上海交通大学,风乎舞雩,5,627,-,-,+5(134),-,+1(25),-,-,+1(90),+2(265),-,-,+1(13),-,50%,Silver,冯缘,唐靖淇,郭吉舟,N,N
37,29,北京理工大学,雪崩团灭清一色,5,653,-,-,-3,-,+1(35),-,-,+1(60),+1(209),-,-,+2(22),+4(247),44%,Silver,袁奕晨,费承昱,黄子越,N,N
38,30,中国石油大学（华东）,白铃女子学院,5,668,-,+3(287),-3,-,+2(64),-,-,+2(59),-2,-,-,+1(21),+2(137),50%,Silver,徐锦洋,王川,陈恺毅,N,N
39,31,西安电子科技大学,超额剩余价值,5,678,-,-,+1(217),-,+3(38),-,-,+1(56),-,-,-,+1(36),+2(271),37%,Silver,何贯中,蒋叶桢,陈俊丞,N,N
40,32,同济大学,达拉崩吧班德贝迪卜多比鲁翁,5,681,-,-,-,-,+1(38),-,-,+1(134),+1(297),-,-,+1(6),+3(166),28%,Silver,刘依扬,孙治弘,张乐天,N,N
41,33,重庆大学,狂风之力,4,228,-4,-,-,-,+1(32),-,-,+2(48),+1(114),-,-,+1(14),-,20%,Silver,王冀鲁,黄思源,黄锐,N,N
42,34,厦门大学,点分治分点,4,233,-,-2,-2,-,+1(12),-,-,+1(75),+1(127),-,-,+1(19),-,0%,Silver,周正,徐铭逸,高言峰,N,N
43,35,哈尔滨工业大学（深圳）,机房老人,4,269,-,-,-,-,+1(30),-,-,+1(57),+1(162),-,-,+1(20),-9,0%,Silver,井然,周熙言,李源,N,N
