Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,重生之我是菜狗,11,1497,+1(16),+3(182),+1(80),-,+1(5),+1(20),-,+2(128),+2(291),+2(46),+4(238),+5(96),+1(155),52%,Gold,王展鹏,罗煜翔,蒋凌宇,N,N
2,,北京大学,摆烂人,10,1198,+1(119),+3(284),+2(34),-,+1(9),+2(50),-,+1(204),+4(176),+2(24),-1,+1(77),+1(61),44%,Gold,冯施源,彭博,钱易,N,N
3,2,清华大学,青蛙市中心,9,1096,+1(96),+3(217),+2(133),+1(145),+1(6),+2(37),-,-2,-,+1(49),-,+1(85),+1(248),30%,Gold,彭思进,李白天,黄子宽,N,N
4,,清华大学,有手有脚,8,879,+1(12),-3,+1(61),-,+1(17),+1(30),-,+4(239),-1,+4(53),-,+2(134),+1(193),46%,Gold,杨珖,罗恺,陈于思,N,N
5,3,浙江大学,nameless story,8,1206,+4(150),-1,+2(139),-1,+1(4),+2(41),-1,+2(230),-1,+2(46),-1,+2(167),+1(269),50%,Gold,凌子恒,林响烨,胡家齐,N,N
6,4,上海交通大学,柳,7,679,+2(113),-,+1(99),-,+1(10),+1(51),-,+2(208),-1,+3(79),-,+1(39),-14,36%,Gold,叶瑶琦,姜天乐,王照梓,N,N
7,5,北京理工大学,ddl战神,7,934,+1(216),-,+1(83),-,+1(13),+3(42),-,+1(285),-,+3(70),-,+2(125),-,41%,Gold,朱子林,林恺,邹知秋,N,N
8,6,杭州电子科技大学,杭电1队,7,1154,+1(193),-,+3(165),-,+1(9),+2(103),-,-,-,+3(60),-,+2(214),+1(290),46%,Gold,尹吴潇,戴志炜,赵政和,N,N
9,,浙江大学,Solitary Dream,6,500,+1(48),-,+1(52),-,+1(5),+1(28),-,-6,-,+2(91),-,+4(196),-,40%,Gold,彭博,褚写庭,陈逸,N,N
10,7,南京邮电大学,七叶寂照秘密主,6,593,+1(37),-,+3(30),-,+2(24),+1(46),-,-7,-,+3(91),-,+5(185),-2,60%,Gold,何乐晗,赵一舟,陈以信,N,N
11,8,华中科技大学,鸭鸭鱼鱼虫虫,6,636,+1(92),-,+1(142),-,+1(12),+2(31),-,-,-,+3(70),-,+3(189),-2,45%,Gold,俞仲遥,郑欣,龚宸,N,N
12,9,复旦大学,希望这次背后没有高大爷凝视,6,804,+1(250),-,+1(119),-,+1(13),+1(59),-,-,-,+3(49),-,+3(234),-,40%,Gold,程鹏志,聂绍珩,陈可汗,N,N
13,10,南京大学,超现实黄昏,6,810,+1(28),-,+1(117),-,+1(11),+6(146),-,-3,-2,+1(126),-,+6(182),-,62%,Gold,丁天行,欧丰宁,陈晓,N,N
14,,上海交通大学,银色子弹,6,820,-4,-,+1(129),-,+1(10),+3(60),-,-,-,+2(91),-,+2(163),+2(267),45%,Silver,戚洋,江若泓,陈则佳,N,N
15,11,华侨大学,红日初升,6,836,+2(74),-,+2(197),-,+1(11),+1(80),-,-,-,+5(136),-,+1(218),-2,50%,Silver,徐聪,赵雨扬,郑量,N,N
15,11,南京理工大学,平和猫猫头,6,836,+1(120),-,+2(97),-,+1(8),+2(36),-,-,-,+3(218),-,+3(237),-1,50%,Silver,何平,金朝哲,陈涣焕,N,N
17,13,中山大学,零压之旅,6,868,+1(169),-,+2(91),-,+1(14),+1(47),-,-6,-,+3(137),-,+4(290),-,50%,Silver,刘志源,赵肖睿,高诗豪,N,N
18,14,中南大学,明日之风的三重奏,6,910,+4(291),-,+1(66),-,+1(10),+1(35),-,-,-,+2(91),-,+3(297),-,50%,Silver,徐国琛,李玄靖,赵伯阳,N,N
19,15,国防科技大学,自然选择号,6,911,+2(267),-,+1(149),-,+1(10),+1(45),-,-,-,+2(121),-,+2(259),-1,33%,Silver,亢世嘉,吴佳英,王子恒,N,N
20,,华中科技大学,加权没了还想打ACM？,6,973,+3(280),-1,+1(165),-1,+1(14),+2(61),-1,-1,-1,+3(138),-1,+1(215),-1,45%,Silver,卞曜洋,罗劲豪,陈开宇,N,N
21,16,电子科技大学,UESTC_HappyCodingLife,6,1039,+5(253),-,+1(107),-,+1(5),+1(87),-,-,-,+2(103),-,+6(284),-,62%,Silver,吴立俊,山佩永,朱子涵,N,N
22,17,东南大学,我过了样例,6,1042,+1(253),-,+1(110),-,+1(11),+1(64),-,-,-,+2(116),-,+10(288),-,62%,Silver,徐朔,戚雨林,汪子杰,N,N
23,18,吉林大学,Nan 上加 Nan,6,1129,+4(273),-,+1(130),-,+1(15),+1(45),-,-,-,+3(99),-,+10(287),-,70%,Silver,周宇恒,方涵斌,李祯浩,N,N
24,19,河海大学常州校区,几何杀手,6,1137,+1(100),-,+1(128),-,+1(68),+1(72),-,-,-,+8(286),-,+5(263),-,64%,Silver,俞天骋,孙嘉昊,王英吉,N,N
25,20,天津大学,树状数组维护01背包,5,362,-4,-,+1(77),-,+1(6),+1(22),-,-,-,+1(70),-,+2(167),-,16%,Silver,何志凌,张博凯,杜鼎勋,N,N
26,,中山大学,中山大学_破晓,5,418,-2,-,+1(126),-,+1(13),+1(42),-,-7,-,+2(121),-,+1(96),-,16%,Silver,古鸣浩,吴景图,欧梓洋,N,N
27,21,哈尔滨工程大学,下北泽沼气动力学园学园偶像同好会兼恋恋的信仰者教团改二,5,505,-,-,+1(62),-,+1(19),+1(52),-,-,-,+4(90),-,+1(222),-,37%,Silver,彭金浩,徐子涵,王昊宇,N,N
28,22,北京建筑大学,RE：从爆零开始的ACM生活,5,512,+1(199),-,+1(126),-,+1(12),+2(41),-,-,-,+2(94),-,-5,-,28%,Silver,齐思恺,,,N,N
29,23,厦门大学,点分治分点,5,560,-7,-,+1(48),-,+1(8),+2(76),-,-,-,+1(108),-,+4(240),-,44%,Silver,周正,徐铭逸,邹品聪,N,N
30,24,南京信息工程大学,跟不上榜,5,578,-5,-,+2(110),-,+1(9),+1(59),-,-,-,+1(85),-,+3(255),-,37%,Silver,洪伟,潘小康,董兆琦,N,N
31,25,武汉理工大学,树上猫猫虫,5,579,-7,-,+1(79),-,+1(9),+1(45),-,-,-,+1(120),-,+5(246),-,44%,Silver,易琢然,赵家荣,闫卢昊,N,N
32,26,杭州电子科技大学信息工程学院,清蒸狮子头,5,590,-8,-,+1(127),-,+1(11),+1(48),-,-,-,+2(31),-,+5(273),-,50%,Silver,尹凯乐,杨鑫,柳徐吉,N,N
33,,复旦大学,Elegia fan and her friends,5,605,-,-,+1(127),-,+1(13),+1(52),-,-,-,+2(81),-,+4(252),-,44%,Silver,宋悦荣,张宇琪,陆佳艺,N,Y
34,27,北京交通大学,羊羊羊,5,614,+2(118),-,-12,-,+1(9),+2(58),-,-,-,+3(49),-,+3(260),-,54%,Silver,夏鹤鸣,杨佳昊,郭昱哲,N,N
35,28,香港中文大学（深圳）,香港中文大学（深圳）1队,5,645,-8,-,+4(128),-,+1(8),+3(88),-,-,-,+3(40),-,+3(201),-,64%,Silver,徐源,忙秋阳,郭青硕,N,N
36,29,同济大学,达拉崩吧班德贝迪卜多比鲁翁,5,657,-,-,+1(168),-,+2(10),+1(52),-,-,-,+1(99),-,+3(268),-,37%,Silver,刘依扬,孙治弘,张乐天,N,N
