Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,北京大学,摆烂人,10,1511,+2(28),-8,+2(15),+2(228),+2(48),-,+1(38),+3(77),+7(251),+2(241),-,+1(111),+2(194),58%,Gold,冯施源,彭博,钱易,N,N
2,2,浙江大学,Solitary Dream,9,912,+1(53),-10,+1(23),+2(123),+2(134),-2,+3(24),+3(62),-,+3(166),-,+2(109),+1(38),50%,Gold,彭博,褚写庭,陈逸,N,N
3,,北京大学,寄点自由,9,1062,+1(51),-,+1(17),+3(112),+1(126),-,+1(25),+1(128),-,+2(252),-3,+2(193),+2(58),35%,Gold,吴孟周,曹原,陈胤戬,N,N
4,,北京大学,大黄鸭信徒,9,1090,+1(32),-16,+1(15),+8(164),+2(228),-,+1(9),+1(30),-,+1(73),-,+4(275),+1(44),55%,Gold,孙嘉伟,张记僖,陈知轩,N,N
5,3,杭州电子科技大学,杭电 1 队,9,1223,+1(168),-,+1(22),+5(191),+1(101),-,+2(29),+1(52),-,+3(271),-5,+1(233),+1(16),43%,Gold,尹吴潇,戴志炜,赵政和,N,N
6,,杭州电子科技大学,杭电 6 队,9,1230,+1(120),-,+1(17),+3(165),+2(118),-,+1(26),+1(49),-,+3(279),-,+1(285),+2(51),40%,Gold,姜正,潘思成,陈载元,N,N
7,4,天津大学,文化先和初中生同步,9,1240,+1(96),-,+1(16),+6(245),+1(139),-,+6(70),+1(54),-,+2(168),-1,+1(205),+1(27),55%,Gold,张博凯,杜鼎勋,谢天驰,N,N
8,5,电子科技大学,UESTC_Guest_WiFi,9,1260,+1(102),-1,+1(22),+3(212),+6(227),-1,+1(39),+1(36),-1,+1(142),-2,+1(256),+1(84),43%,Gold,喻鹏云,弋竞为,朱铖昊,N,N
9,6,南京邮电大学,究竟怎么会是呢？,9,1309,+1(128),-,+1(24),+3(50),+3(287),-,+3(105),+1(106),-,+2(159),-2,+1(222),+1(88),43%,Gold,何乐晗,赵一舟,陈以信,N,N
10,7,北京邮电大学,三只蒟蒻,9,1355,+1(82),-,+1(12),+6(202),+3(238),-,+1(33),+1(51),-,+2(179),-,+1(293),+2(85),50%,Gold,区庆亮,张天泽,王佳禾,N,N
11,8,武汉大学,天胡四暗刻单骑字一色,9,1419,+1(102),-,+1(27),+4(257),+1(129),-,+4(55),+2(106),-,+4(190),-,+1(274),+1(79),52%,Gold,侯哲,冯烨聪,蔡玉聪,N,N
12,,北京大学,淹园外被鸽的鸽子,9,1473,+1(258),-,+2(27),+4(209),+4(104),-,+1(37),+2(34),-,+3(163),-,+3(241),+3(120),60%,Gold,吴清月,胡晋侨,袁傲慕飞,N,N
13,9,清华大学,前路会与过往不同,8,716,+1(60),-,+1(19),+3(168),+3(127),-,+1(28),+1(53),-,+1(115),-,-3,+1(66),33%,Gold,王泽远,陈亮舟,魏衍芃,N,N
14,10,哈尔滨工程大学,下北泽沼气动力学园学园偶像同好会兼恋恋的信仰者教团改二,8,961,+1(78),-,+1(22),+3(211),+1(156),-,+1(16),+1(31),-,+2(209),-,-1,+3(138),38%,Gold,彭金浩,徐子涵,王昊宇,N,N
15,11,湖南大学,金色传说,8,1012,+1(97),-,+1(22),+1(214),+6(173),-,+1(18),+1(73),-,+5(186),-,-,+1(49),52%,Gold,廖曙康,苏杰,范则鸣,N,N
16,,电子科技大学,UESTC_篝月明火,8,1086,+1(95),-,+1(17),+4(228),+5(258),-,+1(28),+1(42),-,+2(198),-4,-,+1(60),50%,Gold,李佳骏,李奕聪,陈奕可,N,N
17,12,上海交通大学,破晓狂想曲,8,1305,+1(116),-,+1(16),+4(232),+6(286),-,+1(33),+1(70),-,+1(269),-,-,+1(123),50%,Gold,肖景琦,袁莘睿,邵嘉南,N,N
18,13,中南大学,明日之风的三重奏,8,1336,+4(230),-,+1(20),+4(222),+1(168),-,+1(17),+3(134),-,-6,-,+2(294),+1(71),52%,Gold,徐国琛,李玄靖,赵伯阳,N,N
19,14,中国人民大学,怎么去拥有一道彩虹,8,1415,+2(126),-,+1(33),+7(285),+3(267),-,+1(41),+2(65),-,+4(189),-3,-,+3(109),65%,Gold,刘书玮,罗碚,陈志朋,N,N
20,15,东南大学,我过了样例,8,1522,+1(120),-,+1(21),+8(287),+13(292),-,+1(29),+1(47),-,+1(266),-,-,+1(80),70%,Gold,徐朔,戚雨林,汪子杰,N,N
21,16,中山大学,中山大学_无限,7,609,+1(48),-,+1(22),+2(143),+1(229),-,+1(15),+1(69),-,-2,-,-,+1(63),12%,Gold,叶成隆,张凯东,朱泰锟,N,N
