Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
1,1,清华大学,world.search(you);,11,1102,+1(264),+1(43),+1(72),+2(173),+1(128),-,+1(16),+3(155),+1(27),+1(94),+1(54),-6,+1(16),21%,Gold,刘一平,张景行,万成章,N,N
2,2,北京大学,重生之我是菜狗,11,1482,-3,+3(127),+1(43),+2(265),+1(254),-,+1(36),+1(134),+1(74),+1(179),+1(21),+4(152),+3(37),42%,Gold,蒋凌宇,罗煜翔,王展鹏,N,N
3,,清华大学,JSOI 摸鱼队,9,1231,-,+3(143),+1(118),-,+1(179),-,+1(31),+2(260),+1(72),+3(193),+2(105),-7,+1(10),40%,Gold,张庭瑞,袁浩天,孙若凡,N,N
4,3,南方科技大学,南方科技大学-赫尔辛基,9,1344,-,+1(128),+1(141),-,+1(279),-,+2(25),+1(203),+3(103),+3(237),+3(78),-,+1(10),43%,Gold,冯照航,何俞均,洪朝阳,N,N
5,,清华大学,Escape,9,1397,-,+2(230),+4(59),-,+1(262),-,+2(72),+2(285),+2(136),+1(122),+1(64),-7,+1(27),43%,Gold,任舍予,郭雨豪,郑玄晔,N,N
6,4,华侨大学,红日初升队,8,1058,-,+1(175),+3(82),-,-,-,+1(35),+1(210),+1(126),+1(264),+1(56),-,+2(50),27%,Gold,赵雨扬,危露平,苏明强,N,N
7,5,东北大学,东北大学_天狐座,8,1077,-1,+4(196),+1(83),-1,-1,-,+1(9),+2(268),+2(113),+2(179),+2(73),-1,+1(16),46%,Gold,陈少皇,徐越昊,苏焜,N,N
8,6,哈尔滨工业大学,蓬莱人形,8,1280,-,+1(189),+2(160),-,-,-,+1(32),+4(98),+5(86),+5(284),+1(150),-24,+1(41),60%,Gold,陈煜航,丁文涛,金义扬,N,N
9,7,杭州电子科技大学,2023杭电15队,8,1385,-,+5(203),+1(119),-1,-1,-1,+2(27),+2(275),+3(169),+4(272),+1(66),-2,+1(34),57%,Gold,马文浩,胡昊,何卓锟,N,N
10,,哈尔滨工业大学,玩原神玩的,7,689,-,-5,+1(82),-,+3(259),-,+1(17),+1(42),+2(154),-,+1(67),-,+1(8),30%,Gold,杜沛键,祁展华,杨一凡,N,N
11,8,武汉理工大学,萨卡班甲鱼,7,807,-,+1(112),+1(51),-,-2,-,+1(20),+3(225),+3(95),-,+3(172),-9,+1(12),46%,Gold,闫卢昊,侯哲昊,朱振傲,N,N
12,9,国防科技大学,自然选择号,7,844,-,+2(77),+2(142),-,-,-,+1(28),-,+1(72),+5(261),+2(101),-4,+1(23),50%,Gold,亢世嘉,吴佳英,王子恒,N,N
13,10,电子科技大学,UESTC_Host_WiFi,7,863,-,+5(216),+1(75),-,-,-,+2(28),+3(171),+2(119),-4,+1(77),-8,+1(17),53%,Gold,朱铖昊,喻鹏云,汪澄,N,N
14,11,北京理工大学,ddl战神,7,876,-,+5(159),+1(138),-,-,-,+2(47),-3,+2(105),+2(218),+1(32),-,+1(37),50%,Gold,林恺,朱子林,邹知秋,N,N
15,12,中山大学,中山大学_破晓之旅,7,890,-,+1(79),+1(98),-,-,-,+1(24),-,+5(215),+2(275),+1(63),-6,+2(16),46%,Gold,赵肖睿,刘志源,古鸣浩,N,N
16,13,北京交通大学,羊羊羊,7,923,-,+1(61),+1(107),-,-,-,+1(19),-12,+3(168),+7(280),+1(116),-,+1(12),53%,Gold,郭昱哲,夏鹤鸣,斯修远,N,N
17,14,华东师范大学,SEI1,7,934,-,+1(160),+3(152),-,-,-,+1(31),+1(244),+3(77),-,+3(105),-,+2(25),50%,Gold,漆宇祥,范晨阳,余东桦,N,N
18,15,上海交通大学,春日影,7,995,-,+3(136),+1(169),-,-,-,+1(18),+2(224),+6(94),-5,+2(148),-10,+1(26),56%,Gold,杨崇烨,林一凡,刘家宁,N,N
19,,南方科技大学,南方科技大学-伊卡利宁,7,1012,-,+3(152),+3(199),-,-,-,+1(23),+3(220),+3(162),-1,+1(60),-,+2(16),56%,Gold,林政宇,赵子悦,曾子华,N,N
20,16,哈尔滨工业大学（深圳）,骗分大队,7,1016,-1,+1(79),+1(270),-1,-5,-3,+2(43),+3(290),+2(139),-1,+1(97),-1,+1(18),36%,Gold,曹杨,潘思成,高子烽,N,N
21,17,南京邮电大学,Cirtrus,7,1021,-,+1(137),+1(54),-,-,-,+4(40),-1,+3(199),+3(246),+4(124),-5,+1(21),58%,Gold,何乐晗,陈以信,赵一舟,N,N
22,18,南京航空航天大学,队长十年单身换区域赛金牌,7,1024,-,+3(181),+1(106),-,-,-1,+1(19),+2(273),+3(109),-1,+2(192),-,+1(24),46%,Gold,吕俊琪,赵乐坤,胡昊天,N,N
23,,中山大学,中山大学_天选打工人,7,1039,-,+2(69),+2(299),-,-,-,+1(75),+1(134),+2(110),-4,+1(239),-,+2(33),36%,Gold,韩冠东,吴明禹,肖淇,N,N
24,19,南京理工大学,平和猫猫头,7,1078,-,+7(190),+2(119),-,-,-,+1(23),+1(264),+4(137),-1,+2(84),-3,+2(21),63%,Gold,何平,金朝哲,陈涣焕,N,N
25,20,南京大学,明明是我先来的,7,1101,-,+2(96),+1(226),-,-,-,+2(35),+1(196),+5(185),-,+1(173),-,+3(30),53%,Silver,黄文睿,王崧睿,谭泽晖,N,N
26,21,华中科技大学,双爸扶,7,1190,-,+4(180),+2(155),-,-,-,+3(63),+1(249),+3(207),-2,+1(123),-,+2(33),56%,Silver,汪文卓,杨治,金城根,N,N
27,22,武汉大学,乡间天使,7,1195,-,+1(139),+3(227),-,-,-,+4(39),+2(246),+1(161),-,+3(202),-,+1(21),53%,Silver,王旗玉,蒋敬,李佳隆,N,N
28,23,吉林大学,Nan 上加 Nan,7,1202,-,+1(201),+1(233),-,-,-,+2(41),+1(279),+3(124),-,+1(184),-,+3(40),41%,Silver,方涵斌,李祯浩,周宇恒,N,N
29,24,苏州大学,Blowback,6,595,-,+1(162),+1(134),-,-,-,+1(25),-,+2(110),-,+1(108),-,+2(16),25%,Silver,王宇轩,简嘉瑶,周骁逸,N,N
30,,上海交通大学,星尘幻想,6,617,-,+2(151),+1(187),-,-,-,+1(16),-6,+2(71),-,+1(130),-,+1(22),25%,Silver,张景博,胡豪达,范晓泽,N,N
31,25,四川大学,树上莫队,6,693,-,+1(215),+2(162),-,-,-,+1(35),-2,+1(113),-,+2(107),-,+1(21),25%,Silver,刘却桓,朱奕杰,黄云垄,N,N
32,26,复旦大学,有密码,6,694,-,+1(68),+2(152),-1,-,-,+1(23),-,+4(213),-3,+2(125),-,+1(13),45%,Silver,马成,刘皓蓝,陈可汗,N,N
33,,电子科技大学,UESTC_undefined,6,754,-,+2(101),+2(139),-,-,-,+2(32),-,+5(241),-,+1(90),-7,+1(11),53%,Silver,陈奕可,彭帅康,李奕聪,N,N
34,27,香港中文大学（深圳）,dimension^3,6,779,-,+2(187),+2(92),-,-,-,+1(21),-1,+2(173),-,+5(151),-,+1(15),53%,Silver,蒋一歌,张王美誉,孙悠然,N,N
35,28,福州大学,八年老兵,6,819,-,+2(254),+1(196),-,-,-,+2(40),-2,+4(105),-,+1(102),-,+1(22),45%,Silver,傅安,黄腾,傅晗,N,N
36,29,浙江师范大学,ZJNU_7队,6,829,-,+2(264),+2(136),-,-,-,+1(29),-,+2(210),-,+1(110),-,+1(20),33%,Silver,厉文浩,蒋润浩,王学远,N,N
37,30,长沙理工大学,干饭第一名,6,837,-,+1(105),+1(297),-,-,-,+1(24),-,+3(183),-,+1(141),-,+1(47),25%,Silver,刘振林,周臻,杨韬,N,N
38,,南京邮电大学,收收心找个电子厂上班了,6,847,-,+2(168),+2(292),-,-,-,+1(18),-,+1(194),-,+1(70),-,+2(45),33%,Silver,张禹健,冯一帆,文超航,N,N
39,31,大连理工大学,新二保一,6,884,-,+2(200),-1,-,-,-,+1(63),+1(228),+3(169),-,+1(119),-,+1(45),33%,Silver,袁振,陈常杰,高盛轩,N,N
40,32,北京航空航天大学,这是一场豪赌,6,912,-,+4(228),+2(190),-,-,-,+2(42),-,+6(82),-,+1(137),-,+1(33),62%,Silver,吴昊恒,董雨润,李秉翰,N,N
41,33,哈尔滨工程大学,我推的七海暴吃0721次罚时因为在原神启动,6,924,-,+1(207),+1(133),-,-,-,+2(75),-1,+4(140),-,+1(242),-,+1(47),40%,Silver,黄凯鹏,徐子涵,肖帆,N,N
42,34,中南大学,千帆星河,6,941,-,+2(257),+1(141),-,-,-,+1(36),-,+3(153),-1,+2(215),-,+2(39),45%,Silver,周硕,陈贤,郑逸程,N,N
